,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-04,0.205,0.205,0.205,0.205,570000,0.0
1,2006-08-10,0.19,0.19,0.19,0.19,10000,0.0
2,2006-08-11,0.205,0.205,0.205,0.205,200000,0.0
3,2006-08-14,0.205,0.22,0.205,0.22,5300000,8900.0
4,2006-08-15,0.205,0.22,0.2,0.205,2070000,-2000.0
5,2006-08-16,0.2,0.2,0.195,0.195,800000,40000.0
6,2006-08-17,0.195,0.195,0.185,0.19,900000,55100.0
7,2006-12-05,0.24,0.24,0.23,0.23,470000,0.0
8,2006-12-07,0.23,0.23,0.23,0.23,100000,0.0
9,2006-12-08,0.23,0.23,0.23,0.23,220000,0.0
10,2006-12-11,0.23,0.23,0.23,0.23,200000,0.0
11,2006-12-12,0.24,0.24,0.24,0.24,100000,0.0
12,2006-12-13,0.25,0.25,0.25,0.25,430000,0.0
13,2006-12-14,0.24,0.24,0.24,0.24,400000,0.0
14,2006-12-15,0.26,0.26,0.26,0.26,40000,0.0
15,2006-12-18,0.26,0.26,0.25,0.25,380000,0.0
16,2006-12-19,0.26,0.26,0.26,0.26,110000,0.0
17,2006-12-20,0.25,0.25,0.25,0.25,100000,0.0
18,2006-12-27,0.25,0.25,0.25,0.25,100000,0.0
19,2006-12-28,0.25,0.25,0.25,0.25,300000,0.0
20,2006-12-29,0.26,0.26,0.26,0.26,1600000,286000.0
21,2006-11-03,0.235,0.235,0.23,0.23,3700000,-207000.0
22,2006-11-06,0.23,0.23,0.23,0.23,200000,0.0
23,2006-11-07,0.23,0.23,0.225,0.225,1620000,225000.0
24,2006-11-08,0.22,0.225,0.22,0.225,1500000,0.0
25,2006-11-09,0.23,0.23,0.23,0.23,250000,0.0
26,2006-11-10,0.23,0.23,0.23,0.23,800000,0.0
27,2006-11-13,0.225,0.225,0.225,0.225,140000,0.0
28,2006-11-14,0.225,0.225,0.225,0.225,260000,0.0
29,2006-11-16,0.23,0.23,0.23,0.23,200000,0.0
30,2006-11-17,0.24,0.24,0.235,0.235,140000,0.0
31,2006-11-22,0.23,0.23,0.23,0.23,600000,0.0
32,2006-11-23,0.26,0.26,0.23,0.23,720000,0.0
33,2006-11-24,0.24,0.25,0.24,0.245,3350000,0.0
34,2006-11-27,0.25,0.26,0.245,0.26,2880000,0.0
