,Date,Open,High,Low,Close,Volume,OtherData
0,2010-07-21,0.66,0.66,0.66,0.66,160000,0
1,2010-07-23,0.7,0.7,0.7,0.7,100000,0
2,2010-07-27,0.75,0.76,0.75,0.76,242000,0
3,2010-07-28,0.76,0.76,0.76,0.76,40000,0
4,2010-07-29,0.76,0.76,0.76,0.76,40000,0
5,2010-07-30,0.6,0.6,0.6,0.6,100000,-60000
6,2010-08-02,0.63,0.63,0.62,0.62,220000,-136600
7,2010-08-03,0.7,0.7,0.7,0.7,3000,0
8,2010-08-04,0.7,0.72,0.68,0.72,112000,0
9,2010-08-05,0.75,0.8,0.75,0.8,1106000,0
10,2010-08-06,0.79,0.79,0.79,0.79,50000,0
11,2010-08-09,0.79,0.81,0.79,0.8,1138000,-641000
12,2010-08-10,0.81,0.85,0.8,0.85,390000,-165000
13,2010-08-11,0.83,0.84,0.83,0.83,835000,-246710
14,2010-08-12,0.78,0.79,0.78,0.79,324000,-237000
15,2010-08-16,0.79,0.79,0.79,0.79,500000,-316000
16,2010-08-17,0.79,0.82,0.79,0.82,1700000,-486000
17,2010-08-18,0.79,0.9,0.79,0.89,3287000,-537560
18,2010-08-19,0.92,0.95,0.92,0.95,112000,0
19,2010-08-20,0.97,1.04,0.97,1.04,560000,0
20,2010-08-23,1.04,1.04,1.04,1.04,450000,0
21,2010-08-24,0.98,0.98,0.97,0.97,221000,0
22,2010-08-26,1.0,1.0,1.0,1.0,7000,0
23,2010-09-02,1.0,1.0,1.0,1.0,4210000,-4206000
24,2010-09-03,1.02,1.08,1.02,1.06,301000,0
25,2010-09-06,1.09,1.1,1.07,1.07,294000,0
26,2010-09-13,1.1,1.33,1.1,1.33,1363000,0
27,2010-09-14,1.33,1.33,1.33,1.33,50000,0
28,2010-09-17,1.35,1.35,1.35,1.35,50000,0
29,2010-09-20,1.48,1.48,1.48,1.48,20000,0
30,2010-09-22,1.45,1.45,1.45,1.45,200000,0
31,2010-10-08,1.29,1.29,1.29,1.29,3000,0
32,2010-10-13,1.31,1.31,1.31,1.31,102000,0
33,2010-10-14,1.35,1.46,1.35,1.46,27000,0
34,2010-10-15,1.25,1.49,1.25,1.49,19000,0
35,2010-10-27,1.31,1.33,1.31,1.33,45000,0
36,2010-10-28,1.4,1.4,1.4,1.4,2000,0
37,2010-10-29,1.5,1.5,1.5,1.5,39000,0
38,2010-11-04,1.5,1.7,1.5,1.7,45000,0
39,2010-11-08,1.6,1.6,1.6,1.6,50000,0
40,2010-11-10,1.63,1.63,1.4,1.4,270000,0
41,2010-11-11,1.41,1.41,1.4,1.4,130000,0
42,2010-11-12,1.4,1.41,1.4,1.41,102000,0
43,2010-11-15,1.47,1.48,1.47,1.48,310000,0
44,2010-11-18,1.44,1.45,1.44,1.45,165000,0
45,2010-11-19,1.45,1.52,1.42,1.52,112000,0
46,2010-12-08,1.45,1.45,1.45,1.45,7000,0
47,2010-12-22,1.37,1.37,1.37,1.37,103000,0
48,2010-12-23,1.41,1.41,1.41,1.41,100000,0
49,2010-12-28,1.45,1.45,1.45,1.45,15000,0
50,2010-12-29,1.44,1.44,1.42,1.42,150000,0
51,2011-01-03,1.42,1.45,1.42,1.45,90000,0
52,2011-01-19,1.15,1.15,1.15,1.15,100000,0
53,2011-01-20,1.3,1.3,1.12,1.12,71000,0
54,2011-02-02,1.1,1.1,1.1,1.1,100000,0
55,2011-02-03,1.18,1.18,1.18,1.18,127000,0
56,2011-03-03,1.0,1.07,1.0,1.07,2820000,0
57,2011-03-09,1.09,1.13,1.09,1.13,1170000,0
58,2011-03-10,1.11,1.13,1.11,1.12,1050000,0
59,2011-03-14,1.11,1.12,1.11,1.12,200000,0
60,2011-03-15,1.14,1.15,1.08,1.08,600000,0
61,2011-03-16,1.09,1.09,1.09,1.09,84000,0
62,2011-03-23,1.02,1.02,1.02,1.02,50000,0
63,2011-03-25,1.01,1.01,1.01,1.01,200000,0
64,2011-03-31,1.1,1.1,1.05,1.1,39000,0
65,2011-04-04,1.1,1.18,1.1,1.18,1795000,0
66,2011-04-05,1.2,1.2,1.2,1.2,50000,0
