,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,1650.0,1650.0,1640.0,1640.0,90,0.0
1,2006-08-02,1630.0,1630.0,1630.0,1630.0,40,0.0
2,2006-08-03,1590.0,1590.0,1590.0,1590.0,1110,0.0
3,2006-08-04,1580.0,1590.0,1580.0,1590.0,200,0.0
4,2006-08-07,1590.0,1590.0,1540.0,1540.0,260,0.0
5,2006-08-08,1540.0,1555.0,1540.0,1555.0,2360,3348450.0
6,2006-08-09,1500.0,1600.0,1500.0,1600.0,350,512000.0
7,2006-08-10,1600.0,1610.0,1600.0,1610.0,920,1408000.0
8,2006-08-11,1610.0,1610.0,1610.0,1610.0,200,322000.0
9,2006-08-14,1610.0,1610.0,1605.0,1610.0,1100,1610000.0
10,2006-08-15,1610.0,1610.0,1610.0,1610.0,1000,1610000.0
11,2006-08-16,1620.0,1630.0,1620.0,1630.0,2940,2346450.0
12,2006-08-17,1610.0,1630.0,1610.0,1630.0,420,644000.0
13,2006-12-04,1600.0,1620.0,1600.0,1620.0,960,1548200.0
14,2006-12-05,1620.0,1640.0,1620.0,1640.0,2000,-450300.0
15,2006-12-06,1650.0,1660.0,1640.0,1650.0,1710,1784200.0
16,2006-12-08,1620.0,1650.0,1620.0,1650.0,1000,1006500.0
17,2006-12-11,1640.0,1640.0,1640.0,1640.0,10,0.0
18,2006-12-12,1620.0,1640.0,1620.0,1640.0,200,16400.0
19,2006-12-13,1640.0,1650.0,1640.0,1650.0,1520,1002400.0
20,2006-12-14,1640.0,1640.0,1640.0,1640.0,1360,1016800.0
21,2006-12-15,1640.0,1640.0,1640.0,1640.0,1200,0.0
22,2006-12-18,1640.0,1640.0,1640.0,1640.0,540,656000.0
23,2006-12-19,1620.0,1625.0,1620.0,1625.0,1000,696600.0
24,2006-12-20,1645.0,1645.0,1645.0,1645.0,1340,1381800.0
25,2006-12-21,1650.0,1650.0,1650.0,1650.0,700,412500.0
26,2006-12-22,1650.0,1650.0,1650.0,1650.0,350,495000.0
27,2006-12-27,1640.0,1640.0,1640.0,1640.0,110,0.0
28,2006-12-28,1640.0,1680.0,1640.0,1680.0,200,16800.0
29,2006-12-29,1650.0,1650.0,1650.0,1650.0,10,0.0
30,2006-11-02,1580.0,1585.0,1580.0,1585.0,3720,4176050.0
31,2006-11-03,1610.0,1650.0,1610.0,1650.0,2780,3052500.0
32,2006-11-06,1640.0,1650.0,1640.0,1650.0,310,330000.0
33,2006-11-07,1650.0,1650.0,1650.0,1650.0,1110,627000.0
34,2006-11-09,1630.0,1630.0,1630.0,1630.0,10,0.0
35,2006-11-13,1650.0,1650.0,1650.0,1650.0,660,660000.0
36,2006-11-14,1615.0,1615.0,1615.0,1615.0,110,0.0
37,2006-11-15,1620.0,1630.0,1620.0,1630.0,300,0.0
