,Date,Open,High,Low,Close,Volume,OtherData
0,2007-08-01,1.88,1.88,1.88,1.88,32000.0,0.0
1,2007-12-13,2.0,2.55,2.0,2.55,215000.0,0.0
2,2007-12-14,3.5,3.8,3.5,3.8,57000.0,17500.0
3,2007-12-17,5.7,5.7,5.7,5.7,54000.0,-11400.0
4,2007-12-18,6.3,6.8,6.0,6.0,33000.0,0.0
5,2007-12-19,4.0,4.0,4.0,4.0,25000.0,40000.0
6,2007-12-20,4.0,4.0,4.0,4.0,8000.0,0.0
7,2007-12-27,3.0,3.0,3.0,3.0,10000.0,0.0
8,2007-12-28,3.05,4.0,3.0,4.0,23000.0,0.0
9,2008-04-01,3.9,3.9,3.9,3.9,1000.0,0.0
10,2008-04-21,3.7,3.7,3.7,3.7,2000.0,-7400.0
11,2008-08-11,2.6,2.6,2.6,2.6,3000.0,0.0
12,2008-08-12,3.0,3.0,3.0,3.0,1000.0,0.0
13,2008-08-27,2.5,2.5,2.5,2.5,3000.0,0.0
14,2008-12-12,2.0,2.0,2.0,2.0,1000.0,0.0
15,2008-12-24,2.0,2.0,2.0,2.0,15000.0,0.0
16,2008-02-11,2.2,2.3,2.2,2.3,8000.0,0.0
17,2008-02-13,2.8,2.8,2.8,2.8,1000.0,0.0
18,2008-02-14,2.6,3.0,2.6,3.0,16000.0,0.0
19,2008-02-18,3.0,3.8,3.0,3.8,6000.0,0.0
20,2008-02-19,3.8,4.0,3.8,4.0,4000.0,0.0
21,2008-02-20,4.3,4.3,4.3,4.3,1000.0,0.0
22,2008-02-22,4.5,4.9,4.5,4.9,2000.0,0.0
23,2008-02-26,4.0,4.0,4.0,4.0,2000.0,-8000.0
24,2008-02-28,5.0,5.0,5.0,5.0,1000.0,0.0
25,2008-02-29,3.0,4.3,3.0,4.3,2000.0,0.0
26,2008-01-09,3.0,3.4,3.0,3.4,13000.0,0.0
27,2008-01-11,3.4,3.4,3.4,3.4,1000.0,0.0
28,2008-01-14,3.4,3.4,3.4,3.4,7000.0,0.0
29,2008-01-15,3.0,3.0,3.0,3.0,16000.0,0.0
30,2008-01-16,3.0,3.0,2.5,2.5,5000.0,0.0
31,2008-01-30,2.5,2.5,2.5,2.5,1000.0,0.0
32,2008-01-31,2.3,2.3,2.3,2.3,3000.0,0.0
33,2008-07-03,4.1,4.75,4.1,4.75,17000.0,0.0
34,2008-07-07,3.5,5.1,3.5,5.1,7000.0,0.0
35,2008-07-09,5.0,5.6,5.0,5.6,15000.0,0.0
36,2008-07-11,5.0,5.0,5.0,5.0,2000.0,0.0
37,2008-07-14,3.0,3.0,3.0,3.0,2000.0,0.0
38,2008-07-21,3.9,4.2,3.9,4.2,9000.0,4000.0
39,2008-06-02,3.8,3.8,3.8,3.8,2000.0,0.0
40,2008-06-23,3.8,3.8,3.8,3.8,1000.0,0.0
41,2008-06-24,3.8,3.8,3.8,3.8,19000.0,0.0
42,2008-06-25,4.0,5.7,4.0,5.7,71000.0,-68500.0
43,2008-06-26,5.7,5.7,5.5,5.6,4000.0,0.0
44,2008-06-27,5.2,5.2,5.2,5.2,5000.0,0.0
45,2008-06-30,5.4,6.0,5.4,5.9,46000.0,0.0
46,2008-03-19,3.0,3.0,3.0,3.0,5000.0,0.0
47,2008-03-24,2.6,2.6,2.6,2.6,8000.0,0.0
48,2008-05-05,3.2,3.2,3.2,3.2,1000.0,0.0
49,2008-05-16,3.0,3.0,3.0,3.0,1000.0,3000.0
50,2008-11-04,2.3,2.5,2.3,2.5,3000.0,0.0
51,2008-11-05,2.65,2.75,2.65,2.75,3000.0,0.0
52,2008-10-06,2.0,2.0,2.0,2.0,2000.0,4000.0
53,2008-10-07,2.0,2.0,2.0,2.0,4000.0,8000.0
54,2008-10-10,2.0,2.0,2.0,2.0,2000.0,0.0
55,2008-09-09,2.5,2.5,2.5,2.5,2000.0,0.0
56,2008-09-18,2.0,2.0,2.0,2.0,3000.0,0.0
57,2008-09-19,2.0,2.0,2.0,2.0,1000.0,0.0
58,2008-09-23,2.0,2.0,2.0,2.0,4000.0,0.0
59,2009-04-29,1.72,1.72,1.72,1.72,2000.0,0.0
60,2009-12-22,1.44,1.44,1.44,1.44,114000.0,0.0
61,2009-02-06,1.22,1.22,1.22,1.22,1000.0,1220.0
62,2009-01-05,2.0,2.0,2.0,2.0,8000.0,0.0
63,2009-01-30,1.22,1.22,1.2,1.2,2000.0,0.0
64,2009-06-08,2.0,2.0,2.0,2.0,10000.0,0.0
65,2009-06-09,2.0,2.0,2.0,2.0,10000.0,0.0
66,2009-06-26,1.9,1.9,1.8,1.8,18000.0,0.0
67,2009-05-11,1.8,1.8,1.72,1.72,2000.0,0.0
68,2009-05-12,2.0,2.0,2.0,2.0,2000.0,0.0
69,2009-05-13,2.0,2.0,2.0,2.0,11000.0,0.0
70,2009-05-19,2.0,2.0,2.0,2.0,1000.0,0.0
71,2009-05-20,2.0,2.0,2.0,2.0,9000.0,18000.0
72,2009-09-11,1.42,1.42,1.4,1.4,2000.0,0.0
73,2009-09-14,1.44,1.44,1.44,1.44,1000.0,0.0
74,2010-01-06,1.56,1.56,1.56,1.56,1000.0,0.0
75,2010-01-21,1.38,1.38,1.38,1.38,1000.0,0.0
76,2010-05-14,1.12,1.12,1.12,1.12,1000.0,0.0
77,2010-05-19,1.16,1.16,1.16,1.16,1000.0,0.0
78,2010-09-23,1.5,1.5,1.5,1.5,1000.0,0.0
79,2010-09-24,2.0,2.0,2.0,2.0,1000.0,0.0
80,2010-12-20,2.0,2.0,2.0,2.0,2000.0,0.0
81,2010-12-21,2.0,2.2,2.0,2.2,3000.0,0.0
82,2010-12-30,2.5,2.5,2.5,2.5,1000.0,0.0
83,2011-01-03,2.5,2.5,2.5,2.5,8000.0,0.0
84,2011-01-27,1.53,1.53,1.53,1.53,23000.0,0.0
85,2011-02-01,1.54,2.0,1.54,2.0,16000.0,0.0
86,2011-02-07,2.5,2.5,2.5,2.5,1000.0,0.0
87,2011-02-08,2.6,2.6,2.6,2.6,1000.0,0.0
88,2011-02-10,1.56,1.56,1.56,1.56,9000.0,0.0
89,2011-05-30,2.1,2.1,2.1,2.1,2000.0,0.0
90,2011-07-08,2.2,2.2,2.2,2.2,1000.0,0.0
91,2011-08-03,2.5,2.5,2.5,2.5,1000.0,0.0
92,2011-08-15,2.5,2.5,2.5,2.5,1000.0,0.0
93,2011-08-18,2.5,2.5,2.5,2.5,1000.0,0.0
94,2011-08-31,2.6,2.6,2.6,2.6,1000.0,0.0
95,2011-10-10,1.31,1.31,1.3,1.3,9000.0,0.0
96,2011-10-25,1.95,1.95,1.93,1.93,2000.0,0.0
97,2011-10-26,2.2,2.2,2.2,2.2,997000.0,0.0
98,2011-11-04,2.2,2.2,2.2,2.2,610000.0,0.0
99,2011-11-08,2.2,2.2,2.2,2.2,252000.0,0.0
100,2011-11-09,3.3,3.3,3.3,3.3,4000.0,0.0
101,2012-02-27,2.6,2.6,2.4,2.4,18000.0,0.0
102,2012-04-13,3.6,3.6,3.6,3.6,10000.0,0.0
103,2012-07-17,3.6,3.6,3.6,3.6,3000.0,0.0
104,2012-11-29,3.0,3.0,3.0,3.0,10000.0,0.0
