,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-08,0.26,0.26,0.26,0.26,100000.0,0.0
1,2006-08-11,0.26,0.26,0.26,0.26,10000.0,0.0
2,2006-08-14,0.27,0.35,0.27,0.31,2480000.0,-16000.0
3,2006-08-15,0.32,0.41,0.32,0.39,3980000.0,8800.0
4,2006-08-16,0.38,0.38,0.35,0.35,900000.0,-9700.0
5,2006-08-17,0.37,0.38,0.34,0.36,690000.0,0.0
6,2006-12-04,1.7,1.78,1.64,1.66,6705000.0,0.0
7,2006-12-05,1.66,1.7,1.66,1.66,1511000.0,0.0
8,2006-12-06,1.66,1.68,1.64,1.66,1346000.0,0.0
9,2006-12-07,1.64,1.72,1.62,1.66,1921000.0,0.0
10,2006-12-08,1.72,1.72,1.6,1.68,2076000.0,0.0
11,2006-12-11,1.68,1.68,1.6,1.62,685000.0,0.0
12,2006-12-12,1.66,1.66,1.6,1.62,499000.0,0.0
13,2006-12-13,1.66,1.66,1.6,1.64,412000.0,0.0
14,2006-12-14,1.62,1.64,1.6,1.62,222000.0,0.0
15,2006-12-15,1.64,1.64,1.56,1.58,1417000.0,0.0
16,2006-12-18,1.6,1.64,1.58,1.62,1917000.0,0.0
17,2006-12-19,1.62,1.62,1.54,1.58,1220000.0,0.0
18,2006-12-20,1.6,1.6,1.5,1.54,1278000.0,0.0
19,2006-12-21,1.56,1.58,1.54,1.58,1429000.0,390000.0
20,2006-12-22,1.6,1.6,1.54,1.58,1703000.0,0.0
21,2006-12-27,1.58,1.64,1.54,1.6,267000.0,0.0
22,2006-12-28,1.62,1.62,1.52,1.58,462000.0,0.0
23,2006-12-29,1.58,1.62,1.54,1.54,653000.0,0.0
24,2006-11-02,1.6,1.66,1.6,1.64,2935000.0,197640.0
25,2006-11-03,1.64,1.66,1.58,1.58,941000.0,0.0
26,2006-11-06,1.62,1.64,1.6,1.6,1217000.0,160380.0
27,2006-11-07,1.62,1.62,1.6,1.6,671000.0,0.0
28,2006-11-08,1.6,1.64,1.54,1.62,2796000.0,-47400.0
29,2006-11-09,1.64,1.66,1.62,1.62,975000.0,0.0
30,2006-11-10,1.64,1.64,1.58,1.58,897000.0,0.0
31,2006-11-13,1.62,1.62,1.54,1.54,787000.0,0.0
32,2006-11-14,1.52,1.54,1.48,1.52,1732000.0,-183260.0
33,2006-11-15,1.52,1.62,1.52,1.6,5134000.0,395000.0
34,2006-11-16,1.62,1.64,1.56,1.56,1452000.0,0.0
35,2006-11-17,1.6,1.6,1.54,1.58,1550000.0,0.0
36,2006-11-20,1.58,1.58,1.52,1.56,2864000.0,-190320.0
37,2006-11-21,1.56,1.6,1.52,1.56,768000.0,0.0
38,2006-11-22,1.52,1.6,1.52,1.52,2261000.0,0.0
39,2006-11-23,1.54,1.6,1.52,1.52,2738000.0,0.0
40,2006-11-24,1.56,1.56,1.52,1.54,1771000.0,0.0
41,2006-11-27,1.54,1.58,1.52,1.52,2592000.0,0.0
42,2006-11-28,1.52,1.66,1.5,1.64,7697000.0,0.0
43,2006-11-29,1.7,1.72,1.62,1.66,13202000.0,-433500.0
44,2006-11-30,1.68,1.7,1.66,1.7,4510000.0,0.0
45,2006-10-02,1.22,1.26,1.2,1.2,1381000.0,0.0
46,2006-10-03,1.22,1.24,1.1,1.18,1993000.0,0.0
47,2006-10-04,1.18,1.2,1.12,1.14,474000.0,0.0
48,2006-10-05,1.18,1.6,1.12,1.6,15974000.0,-72400.0
49,2006-10-06,1.68,1.78,1.56,1.56,25865000.0,136440.0
50,2006-10-09,1.56,1.64,1.44,1.46,3700000.0,0.0
51,2006-10-10,1.5,1.62,1.46,1.58,8605000.0,15800.0
52,2006-10-11,1.6,1.66,1.58,1.64,15380000.0,0.0
53,2006-10-12,1.66,1.68,1.58,1.58,7562000.0,0.0
54,2006-10-13,1.6,1.64,1.54,1.56,2836000.0,0.0
55,2006-10-16,1.54,1.6,1.48,1.48,3848000.0,150000.0
56,2006-10-17,1.48,1.48,1.4,1.42,3911000.0,0.0
57,2006-10-18,1.42,1.52,1.38,1.44,2597000.0,0.0
58,2006-10-19,1.5,1.68,1.5,1.64,15252000.0,0.0
59,2006-10-20,1.68,1.72,1.62,1.64,7788000.0,-25100.0
60,2006-10-23,1.68,1.78,1.64,1.74,14353000.0,103800.0
61,2006-10-25,1.78,1.86,1.76,1.8,17623000.0,34800.0
62,2006-10-26,1.82,1.82,1.74,1.76,4602000.0,-159300.0
63,2006-10-27,1.82,1.86,1.74,1.74,7666000.0,-15080.0
64,2006-10-30,1.74,1.74,1.66,1.66,3657000.0,58100.0
65,2006-10-31,1.66,1.7,1.56,1.58,3658000.0,0.0
66,2006-09-01,1.44,2.12,1.44,2.12,56998000.0,15840.0
67,2006-09-04,2.2,3.15,2.2,3.15,27379000.0,-34800.0
68,2006-09-05,3.2,3.4,2.3,2.5,42881000.0,258000.0
69,2006-09-06,2.55,2.75,2.12,2.22,21608000.0,18000.0
70,2006-09-07,2.12,2.36,1.96,2.0,17009000.0,-180000.0
71,2006-09-08,2.0,2.0,1.2,1.2,29056000.0,167000.0
72,2006-09-11,1.2,1.56,1.2,1.4,13382000.0,35040.0
73,2006-09-12,1.42,1.42,1.16,1.3,5323000.0,-120000.0
74,2006-09-13,1.34,1.34,0.98,0.99,6925000.0,0.0
75,2006-09-14,1.0,1.26,0.98,1.26,17430000.0,0.0
76,2006-09-15,1.3,1.4,1.28,1.32,16977000.0,-400.0
77,2006-09-18,1.4,1.52,1.38,1.44,13955000.0,7200.0
78,2006-09-19,1.42,1.46,1.34,1.36,3515000.0,-40800.0
79,2006-09-20,1.34,1.36,1.24,1.34,4569000.0,0.0
80,2006-09-21,1.38,1.42,1.34,1.34,3698000.0,0.0
81,2006-09-22,1.4,1.4,1.26,1.26,2472000.0,0.0
82,2006-09-25,1.3,1.32,1.22,1.26,5022000.0,0.0
83,2006-09-26,1.3,1.3,1.2,1.22,3258000.0,0.0
84,2006-09-27,1.24,1.26,1.22,1.22,1562000.0,12400.0
85,2007-04-02,2.48,2.48,2.4,2.46,3036000.0,0.0
86,2007-04-03,2.48,2.48,2.42,2.42,1996000.0,122000.0
87,2007-04-04,2.42,2.48,2.42,2.46,3106000.0,0.0
88,2007-04-10,2.46,2.46,2.42,2.44,344000.0,0.0
89,2007-04-11,2.46,2.46,2.38,2.42,480000.0,0.0
