,Date,Open,High,Low,Close,Volume,OtherData
0,2009-08-04,0.55,0.55,0.55,0.55,100000,0
1,2009-12-15,0.64,0.64,0.64,0.64,30000,0
2,2009-07-03,0.49,0.49,0.49,0.49,40000,0
3,2009-07-16,0.49,0.49,0.49,0.49,300000,0
4,2009-11-27,0.55,0.55,0.55,0.55,30000,0
5,2010-04-06,1.2,1.2,1.2,1.2,2000,0
6,2010-04-20,1.18,1.2,1.18,1.2,37000,0
7,2010-04-27,0.76,0.76,0.76,0.76,50000,0
8,2010-02-18,1.26,1.5,1.26,1.5,170000,0
9,2010-02-19,1.7,1.7,1.7,1.7,10000,0
10,2010-02-23,1.1,1.1,1.1,1.1,60000,0
11,2010-02-25,1.1,1.1,1.1,1.1,10000,0
12,2010-02-26,1.1,1.1,1.1,1.1,30000,0
13,2010-01-06,0.5,0.5,0.5,0.5,140000,0
14,2010-01-08,0.74,0.74,0.74,0.74,10000,0
15,2010-01-12,0.9,0.9,0.9,0.9,20000,0
16,2010-01-14,0.95,1.2,0.95,1.2,150000,0
17,2010-01-15,1.56,1.72,1.44,1.6,189000,0
18,2010-01-18,1.6,1.6,1.6,1.6,2000,0
19,2010-01-19,1.38,1.38,1.38,1.38,32000,0
20,2010-01-21,1.38,1.38,1.3,1.3,2000,0
21,2010-01-25,1.2,1.2,1.2,1.2,1000,0
22,2010-01-27,1.02,1.02,1.02,1.02,3000,0
23,2010-01-28,1.0,1.0,1.0,1.0,1000,0
24,2010-03-01,1.1,1.1,1.1,1.1,10000,0
25,2010-03-02,1.04,1.04,1.04,1.04,30000,0
26,2010-03-04,1.04,1.04,1.04,1.04,10000,0
27,2010-03-05,1.06,1.06,1.06,1.06,10000,0
28,2010-03-08,1.06,1.06,1.04,1.04,20000,0
29,2010-03-10,1.04,1.04,1.04,1.04,30000,0
30,2010-03-11,1.08,1.08,1.08,1.08,1000,0
31,2010-03-15,1.06,1.08,1.06,1.08,10000,0
32,2010-03-16,1.2,1.2,1.2,1.2,1000,0
33,2010-03-23,1.02,1.02,1.02,1.02,1000,0
34,2010-03-29,1.04,1.2,1.04,1.2,14000,0
35,2010-05-06,1.0,1.0,1.0,1.0,20000,0
36,2010-05-20,1.0,1.0,1.0,1.0,20000,0
37,2010-08-11,0.6,0.7,0.6,0.7,13000,0
38,2010-08-12,0.58,0.58,0.58,0.58,5000,0
39,2010-08-16,0.86,0.86,0.86,0.86,13000,0
40,2010-09-14,0.61,0.61,0.61,0.61,8000,0
41,2010-09-15,0.65,0.65,0.65,0.65,21000,0
42,2010-09-20,0.92,0.92,0.92,0.92,20000,0
43,2010-09-22,1.1,1.1,1.1,1.1,10000,0
44,2010-09-24,1.1,1.1,1.1,1.1,87000,0
45,2010-09-27,1.28,1.28,1.28,1.28,1000,0
46,2010-10-11,0.73,0.73,0.73,0.73,5000,0
47,2010-10-13,1.0,1.0,1.0,1.0,12000,0
48,2010-10-28,1.1,1.1,1.1,1.1,10000,0
49,2010-10-29,1.1,1.15,1.1,1.15,16000,0
50,2010-11-03,1.15,1.15,1.15,1.15,4000,0
51,2010-11-04,1.25,1.3,1.2,1.3,145000,0
52,2010-11-09,1.25,1.25,1.25,1.25,40000,0
53,2010-11-10,1.25,1.25,1.25,1.25,56000,0
54,2010-11-24,1.1,1.1,1.1,1.1,10000,0
55,2010-12-01,1.1,1.1,1.1,1.1,15000,0
56,2010-12-23,1.17,1.58,1.17,1.58,68000,0
57,2011-01-12,1.2,1.2,1.2,1.2,29000,0
58,2011-01-21,1.25,1.25,1.25,1.25,22000,0
59,2011-01-25,1.25,1.25,1.25,1.25,15000,0
60,2011-01-27,1.25,1.25,1.25,1.25,96000,0
61,2011-02-28,1.25,1.25,1.25,1.25,12000,0
62,2011-03-04,1.25,1.25,1.25,1.25,38000,0
63,2011-03-11,1.25,1.25,1.25,1.25,10000,0
64,2011-04-06,1.26,1.26,1.26,1.26,3000,0
65,2011-04-08,1.35,1.35,1.35,1.35,5000,0
66,2011-04-12,1.35,1.35,1.35,1.35,20000,0
67,2011-04-13,1.35,1.35,1.35,1.35,20000,0
68,2011-04-14,1.58,1.58,1.58,1.58,1000,0
69,2011-04-26,1.5,1.5,1.5,1.5,10000,0
70,2011-04-28,1.5,1.5,1.5,1.5,32000,0
71,2011-04-29,1.5,1.5,1.5,1.5,10000,0
72,2011-05-04,1.5,1.5,1.5,1.5,97000,0
73,2011-05-05,1.55,1.55,1.5,1.55,35000,0
74,2011-05-06,1.56,1.56,1.56,1.56,1000,0
75,2011-05-09,1.59,1.59,1.55,1.55,66000,0
76,2011-05-10,1.55,1.55,1.55,1.55,50000,0
77,2011-05-11,1.55,1.55,1.55,1.55,50000,0
