,Date,Open,High,Low,Close,Volume,OtherData
0,2008-10-14,2.95,3.0,2.95,3.0,25000,0
1,2008-10-16,3.0,3.0,3.0,3.0,10000,0
2,2008-10-24,2.0,2.0,2.0,2.0,1000,0
3,2008-10-27,2.0,2.0,2.0,2.0,2000,0
4,2008-10-29,1.8,1.8,1.8,1.8,10000,0
5,2008-10-30,1.6,1.6,1.6,1.6,8000,0
6,2009-04-08,1.4,1.4,1.4,1.4,2000,0
7,2009-08-07,3.3,3.3,3.0,3.25,17000,0
8,2009-08-12,1.98,3.3,1.98,3.3,999000,0
9,2009-08-13,3.35,3.35,3.35,3.35,11000,0
10,2009-02-10,1.5,1.8,1.5,1.8,3000,0
11,2009-02-11,2.0,2.0,2.0,2.0,1000,0
12,2009-01-30,1.12,1.2,1.12,1.2,11000,0
13,2009-07-13,1.8,1.8,1.8,1.8,5000,0
14,2009-07-14,1.3,1.3,1.3,1.3,10000,0
15,2009-07-22,1.5,1.5,1.5,1.5,6000,0
16,2009-07-27,2.24,2.24,2.2,2.24,13000,0
17,2009-07-28,2.24,2.24,2.24,2.24,23000,0
18,2009-07-30,2.5,2.8,2.5,2.8,55000,0
19,2009-03-26,1.2,1.2,1.2,1.2,5000,0
20,2009-03-27,1.2,1.2,1.2,1.2,1000,0
21,2009-05-14,1.4,1.4,1.4,1.4,4000,0
22,2009-05-15,2.1,2.1,2.1,2.1,1000,0
23,2009-10-05,2.44,2.44,2.44,2.44,3000,0
24,2009-10-06,3.1,3.1,3.1,3.1,14000,0
25,2009-10-19,3.1,3.1,3.1,3.1,1000,0
26,2009-10-28,3.0,3.8,3.0,3.8,11000,0
