,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-04,2.8,2.8,2.8,2.8,20000.0,0.0
1,2006-08-10,2.7,2.7,2.7,2.7,10000.0,0.0
2,2006-08-15,2.7,2.9,2.7,2.9,181000.0,0.0
3,2006-12-05,2.8,2.8,2.8,2.8,30000.0,0.0
4,2006-11-08,2.7,2.7,2.7,2.7,10000.0,0.0
5,2006-11-09,2.7,2.7,2.7,2.7,5000.0,0.0
6,2006-11-10,2.7,2.7,2.7,2.7,15000.0,0.0
7,2006-11-13,2.7,2.7,2.7,2.7,151000.0,0.0
8,2006-11-17,2.8,2.8,2.8,2.8,3000.0,0.0
9,2006-11-21,2.8,2.8,2.8,2.8,2000.0,0.0
10,2006-11-27,2.7,2.7,2.7,2.7,10000.0,0.0
11,2006-11-29,2.8,2.8,2.8,2.8,2000.0,0.0
12,2006-10-02,2.8,2.8,2.8,2.8,10000.0,0.0
13,2006-10-06,2.7,2.7,2.7,2.7,47000.0,0.0
14,2006-10-10,2.7,2.7,2.7,2.7,15000.0,0.0
15,2006-10-11,2.9,2.9,2.9,2.9,20000.0,0.0
16,2006-10-18,2.7,2.7,2.7,2.7,5000.0,0.0
17,2006-10-26,2.7,2.7,2.7,2.7,19000.0,0.0
18,2006-09-13,2.85,2.85,2.85,2.85,123000.0,0.0
19,2006-09-14,2.7,2.7,2.7,2.7,3000.0,0.0
20,2006-09-27,2.8,2.8,2.8,2.8,10000.0,0.0
21,2007-04-11,3.5,3.5,3.2,3.2,156000.0,0.0
22,2007-04-12,3.6,3.6,3.6,3.6,20000.0,0.0
23,2007-04-20,3.6,3.6,3.6,3.6,40000.0,0.0
24,2007-04-27,3.6,3.6,3.6,3.6,36000.0,0.0
25,2007-08-03,4.5,4.5,4.5,4.5,20000.0,0.0
26,2007-08-28,4.75,4.75,4.5,4.75,10000.0,0.0
27,2007-08-29,4.75,4.75,4.75,4.75,20000.0,0.0
28,2007-12-10,4.5,4.5,4.5,4.5,7000.0,0.0
29,2007-12-18,4.5,4.5,4.2,4.2,175000.0,0.0
30,2007-12-28,4.5,4.5,4.5,4.5,10000.0,0.0
31,2007-02-01,3.9,3.9,3.9,3.9,4000.0,0.0
32,2007-02-14,3.7,3.7,3.7,3.7,24000.0,0.0
33,2007-02-20,3.7,3.7,3.7,3.7,18000.0,0.0
34,2007-02-22,3.7,3.7,3.7,3.7,10000.0,0.0
35,2007-02-23,3.6,3.6,3.6,3.6,10000.0,0.0
36,2007-02-27,3.7,3.7,3.7,3.7,647000.0,0.0
37,2007-01-03,2.7,2.7,2.7,2.7,43000.0,0.0
38,2007-01-05,2.8,2.8,2.8,2.8,25000.0,0.0
39,2007-01-08,3.0,3.0,3.0,3.0,102000.0,0.0
40,2007-01-09,2.9,2.9,2.9,2.9,60000.0,0.0
41,2007-01-10,2.9,2.9,2.9,2.9,58000.0,0.0
42,2007-01-15,3.0,3.0,3.0,3.0,32000.0,0.0
43,2007-01-17,3.0,3.0,3.0,3.0,241000.0,0.0
44,2007-01-19,3.0,3.0,3.0,3.0,50000.0,0.0
45,2007-01-22,3.0,3.5,3.0,3.4,134000.0,0.0
46,2007-01-24,3.1,3.5,3.1,3.5,63000.0,0.0
47,2007-01-25,3.55,4.0,3.55,3.8,57000.0,0.0
48,2007-01-31,3.9,3.9,3.9,3.9,5000.0,0.0
49,2007-07-04,5.0,5.0,5.0,5.0,4000.0,0.0
50,2007-07-05,5.0,6.1,5.0,6.1,201000.0,0.0
51,2007-07-06,6.3,6.6,6.1,6.1,98000.0,0.0
52,2007-07-10,5.7,6.6,5.7,6.6,55000.0,0.0
53,2007-07-11,5.2,6.0,5.2,6.0,14000.0,0.0
54,2007-07-19,5.5,5.5,5.5,5.5,20000.0,0.0
55,2007-06-01,4.6,4.6,4.6,4.6,90000.0,0.0
56,2007-06-05,4.8,4.8,4.8,4.8,65000.0,0.0
57,2007-06-08,4.9,5.0,4.9,5.0,253000.0,0.0
58,2007-06-13,5.2,5.2,4.9,4.9,190000.0,0.0
59,2007-06-18,5.0,5.0,5.0,5.0,10000.0,0.0
60,2007-06-20,5.0,5.0,5.0,5.0,58000.0,0.0
61,2007-06-22,5.0,5.0,5.0,5.0,130000.0,0.0
62,2007-06-26,5.0,5.0,4.9,5.0,862000.0,0.0
63,2007-06-27,4.9,4.9,4.8,4.8,1036000.0,0.0
64,2007-06-28,4.9,5.0,4.9,5.0,59000.0,0.0
65,2007-06-29,5.0,5.0,5.0,5.0,19000.0,0.0
66,2007-03-01,3.7,3.7,3.7,3.7,160000.0,0.0
67,2007-03-20,3.7,3.7,3.5,3.5,113000.0,0.0
68,2007-03-22,3.6,3.6,3.6,3.6,15000.0,0.0
69,2007-03-26,3.6,3.6,3.5,3.6,400000.0,0.0
70,2007-03-27,3.6,3.6,3.6,3.6,300000.0,0.0
71,2007-03-28,3.5,3.5,3.5,3.5,251000.0,0.0
72,2007-03-30,3.6,3.6,3.6,3.6,20000.0,0.0
