,Date,Open,High,Low,Close,Volume,OtherData
0,2008-01-08,2.5,2.5,2.5,2.5,20000,0
1,2010-09-20,3.75,3.75,3.75,3.75,30000,0
2,2010-09-21,5.62,5.62,5.62,5.62,2000,0
3,2010-09-23,8.43,8.43,8.43,8.43,1000,0
4,2010-09-24,12.64,12.64,12.64,12.64,1000,0
5,2010-09-27,18.96,18.96,18.96,18.96,3000,0
6,2010-09-28,28.4,28.4,28.4,28.4,4000,0
7,2010-09-29,42.6,42.6,42.6,42.6,8000,0
8,2010-10-01,63.8,63.8,60.0,60.0,4200,0
9,2010-10-04,59.5,59.5,54.0,55.5,3230,17400
10,2010-10-05,50.0,50.0,42.0,42.0,800,0
11,2010-10-07,42.5,48.0,42.5,48.0,600,0
12,2010-10-08,41.0,41.0,41.0,41.0,100,0
13,2010-10-11,54.5,54.5,54.5,54.5,100,0
14,2010-10-12,41.0,41.0,41.0,41.0,90,0
15,2010-10-13,55.0,61.45,55.0,61.45,2100,0
16,2010-10-14,61.5,65.0,60.0,65.0,480,0
17,2010-10-15,63.5,63.5,63.0,63.0,100,0
18,2010-10-18,60.0,94.0,57.0,83.9,2620,0
19,2010-10-19,83.0,83.0,70.0,70.0,360,0
20,2010-10-20,69.0,80.0,60.0,80.0,1520,0
21,2010-10-21,90.0,95.0,65.0,65.0,2150,0
22,2010-10-22,64.5,69.0,55.0,69.0,2250,0
23,2010-10-26,57.0,65.0,57.0,60.0,1170,0
24,2010-10-27,61.0,65.0,61.0,65.0,30,0
25,2010-10-29,57.0,65.0,57.0,65.0,1170,0
26,2010-11-03,53.0,53.0,53.0,53.0,80,0
27,2010-11-05,55.0,65.0,55.0,65.0,980,0
28,2010-11-18,97.5,97.5,97.5,97.5,1310,0
29,2010-11-19,112.1,145.0,110.0,145.0,800,0
30,2010-11-22,195.0,217.4,195.0,217.4,1840,0
