,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,0.26,0.27,0.25,0.25,28680000,0
1,2006-08-02,0.25,0.25,0.24,0.25,10180000,-245000
2,2006-08-03,0.245,0.25,0.24,0.24,11890000,0
3,2006-08-04,0.245,0.25,0.245,0.25,6380000,0
4,2006-08-07,0.25,0.25,0.24,0.24,8100000,0
5,2006-08-08,0.24,0.24,0.235,0.24,6940000,-192000
6,2006-08-09,0.24,0.245,0.24,0.24,3690000,0
7,2006-08-10,0.24,0.24,0.24,0.24,2920000,-264000
8,2006-08-11,0.24,0.24,0.235,0.24,4690000,0
9,2006-08-14,0.235,0.24,0.235,0.24,2660000,0
10,2006-08-15,0.235,0.235,0.235,0.235,1030000,0
11,2006-08-16,0.235,0.235,0.23,0.235,2970000,0
12,2006-08-17,0.235,0.235,0.23,0.235,2570000,0
13,2006-11-02,2.2,2.2,1.96,1.96,2654000,39200
14,2006-11-03,1.96,1.96,1.56,1.6,2496000,0
15,2006-11-06,1.6,1.84,1.6,1.84,1659000,32000
16,2006-11-07,1.84,2.22,1.7,2.18,4041000,0
17,2006-11-08,2.24,2.24,2.06,2.08,1394000,0
18,2006-11-09,2.06,2.06,1.82,1.96,1183000,70000
19,2006-11-10,1.92,2.04,1.92,2.02,863000,0
20,2006-11-13,2.0,2.06,1.98,2.06,1407000,-2040
21,2006-11-14,2.0,2.12,2.0,2.1,1896000,-41200
22,2006-11-15,2.1,2.22,2.1,2.2,1736000,0
23,2006-11-16,2.2,2.26,2.18,2.26,880000,0
24,2006-11-17,2.2,2.22,2.06,2.1,5251000,35220
25,2006-11-20,2.04,2.08,1.98,1.98,1820000,79200
26,2006-11-21,1.9,2.14,1.9,2.12,1243000,0
27,2006-11-22,2.0,2.26,2.0,2.08,4897000,0
28,2006-10-02,3.45,3.45,3.4,3.4,574000,-144900
29,2006-10-03,3.45,3.45,3.2,3.25,755000,707250
30,2006-10-04,3.2,3.35,3.15,3.3,800000,0
31,2006-10-05,3.3,3.35,3.25,3.35,287000,0
32,2006-10-06,3.35,3.4,3.3,3.35,246000,0
33,2006-10-09,3.3,3.4,3.25,3.25,425000,0
34,2006-10-10,3.3,3.3,3.3,3.3,82000,0
35,2006-10-11,3.25,3.25,3.1,3.15,801000,0
36,2006-10-12,3.15,3.25,3.1,3.15,815000,0
37,2006-10-13,3.2,3.2,3.2,3.2,523000,0
38,2006-10-16,3.2,3.2,3.15,3.15,243000,0
39,2006-10-17,3.15,3.25,3.15,3.15,513000,0
40,2006-10-18,3.2,3.2,3.15,3.2,86000,0
41,2006-10-19,3.25,3.35,3.2,3.3,787000,0
42,2006-10-20,3.35,3.35,3.3,3.35,229000,548150
43,2006-10-23,3.25,3.25,3.05,3.05,2051000,0
44,2006-10-25,3.05,3.05,2.65,2.7,2546000,210250
45,2006-10-26,2.65,2.65,2.42,2.48,3330000,0
46,2006-10-27,2.48,2.5,2.32,2.34,2033000,41540
47,2006-10-30,2.3,2.48,2.3,2.38,618000,0
48,2006-10-31,2.36,2.38,2.2,2.22,1219000,44400
49,2006-09-11,4.0,4.4,3.2,3.65,1330000,157000
50,2006-09-12,3.4,3.6,3.3,3.6,1139000,264000
51,2006-09-13,3.6,3.7,3.5,3.5,724000,140000
52,2006-09-14,3.45,3.45,3.4,3.4,469000,0
53,2006-09-15,3.4,3.65,3.4,3.6,333000,-170000
54,2006-09-18,3.65,3.8,3.65,3.8,425000,-26300
55,2006-09-19,3.9,4.0,3.85,3.9,378000,0
56,2006-09-20,3.8,3.8,3.75,3.75,124000,0
57,2006-09-21,3.7,3.7,3.55,3.55,610000,-591750
58,2006-09-22,3.55,3.55,3.5,3.5,229000,0
59,2006-09-25,3.55,3.55,3.5,3.5,451000,0
60,2006-09-26,3.55,3.55,3.5,3.5,235000,0
61,2006-09-27,3.5,3.5,3.4,3.4,781000,102500
