,Date,Open,High,Low,Close,Volume,OtherData
0,2006-12-18,3.0,3.0,3.0,3.0,60000,0
1,2006-12-19,3.0,3.0,2.4,2.6,224000,48400
2,2006-12-20,3.5,4.0,3.25,3.8,5276000,1661200
3,2006-12-21,3.8,5.0,3.8,4.9,5742000,-136250
4,2006-12-22,4.8,5.2,4.15,4.15,5162000,-657000
5,2006-12-27,4.3,4.3,3.7,3.7,514000,0
6,2006-12-28,3.6,3.65,3.45,3.55,796000,18250
7,2006-12-29,3.55,3.85,3.55,3.6,868000,-263100
8,2007-04-02,3.3,3.3,3.3,3.3,80000,0
9,2007-04-03,3.3,3.3,3.3,3.3,60000,0
10,2007-04-04,3.35,3.45,3.35,3.45,240000,0
11,2007-04-10,3.5,4.0,3.5,3.55,145000,0
12,2007-04-11,3.6,3.7,3.55,3.55,488000,0
13,2007-04-12,3.5,3.6,3.4,3.6,50000,0
14,2007-04-13,3.4,3.4,3.35,3.35,50000,0
15,2007-04-17,3.35,3.35,3.35,3.35,138000,0
16,2007-04-18,3.3,3.45,3.3,3.45,203000,0
17,2007-04-19,3.4,3.4,3.35,3.35,207000,0
18,2007-04-20,3.4,3.45,3.35,3.4,107000,0
19,2007-04-23,3.35,3.35,3.3,3.3,115000,0
20,2007-04-24,3.35,3.4,3.35,3.35,150000,0
21,2007-04-25,3.2,3.45,3.2,3.45,189000,0
22,2007-04-26,3.45,3.45,3.45,3.45,64000,0
23,2007-04-27,3.2,3.25,3.2,3.25,27000,0
24,2007-04-30,3.25,3.3,3.25,3.3,213000,0
25,2007-08-01,2.95,2.95,2.95,2.95,3000,0
26,2007-08-02,2.95,2.95,2.9,2.9,67000,0
27,2007-08-06,2.8,2.8,2.7,2.7,75000,0
28,2007-08-08,2.8,2.85,2.8,2.8,158000,0
29,2007-08-09,2.8,2.8,2.8,2.8,50000,0
30,2007-08-10,2.75,2.75,2.75,2.75,92000,0
31,2007-08-13,2.75,2.75,2.75,2.75,25000,0
32,2007-08-14,2.75,2.75,2.75,2.75,40000,0
33,2007-08-15,2.7,2.7,2.7,2.7,33000,-13500
34,2007-08-16,2.65,2.65,2.5,2.5,100000,0
35,2007-08-17,2.5,2.5,2.2,2.2,39000,0
36,2007-08-21,2.55,2.55,2.55,2.55,40000,0
37,2007-08-23,2.9,2.9,2.8,2.8,78000,0
38,2007-08-24,3.0,3.0,2.9,2.9,23000,0
39,2007-08-28,2.9,2.9,2.85,2.85,63000,0
40,2007-08-29,2.7,2.7,2.65,2.65,39000,-81000
41,2007-08-31,2.75,2.75,2.75,2.75,10000,0
42,2007-12-03,2.6,2.6,2.55,2.6,554000,0
