,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,0.27,0.3,0.27,0.3,550000.0,0.0
1,2006-08-04,0.235,0.24,0.235,0.24,250000.0,0.0
2,2006-08-07,0.25,0.28,0.25,0.25,900000.0,0.0
3,2006-08-08,0.27,0.27,0.27,0.27,10000.0,0.0
4,2006-08-09,0.27,0.29,0.27,0.29,2980000.0,114000.0
5,2006-08-10,0.29,0.29,0.29,0.29,10000.0,0.0
6,2006-08-11,0.29,0.29,0.29,0.29,10000.0,0.0
7,2006-08-16,0.29,0.3,0.29,0.3,410000.0,0.0
8,2006-08-17,0.29,0.29,0.26,0.26,210000.0,0.0
9,2006-12-04,0.39,0.39,0.36,0.36,1630000.0,389500.0
10,2006-12-05,0.36,0.36,0.35,0.36,1400000.0,0.0
11,2006-12-06,0.36,0.39,0.36,0.39,720000.0,0.0
12,2006-12-07,0.39,0.39,0.39,0.39,10000.0,0.0
13,2006-12-08,0.4,0.4,0.4,0.4,20000.0,0.0
14,2006-12-11,0.34,0.34,0.34,0.34,100000.0,0.0
15,2006-12-12,0.35,0.35,0.35,0.35,100000.0,0.0
16,2006-12-13,0.36,0.38,0.36,0.38,790000.0,0.0
17,2006-12-14,0.38,0.38,0.36,0.36,1250000.0,-72000.0
18,2006-12-15,0.38,0.38,0.37,0.37,2290000.0,0.0
19,2006-12-18,0.38,0.38,0.36,0.38,1470000.0,0.0
20,2006-12-19,0.39,0.42,0.37,0.38,8980000.0,0.0
21,2006-12-20,0.37,0.4,0.37,0.38,1090000.0,0.0
22,2006-12-21,0.36,0.4,0.36,0.38,800000.0,0.0
23,2006-12-22,0.39,0.4,0.38,0.38,1750000.0,0.0
24,2006-12-27,0.36,0.36,0.35,0.36,1330000.0,-180000.0
25,2006-12-28,0.36,0.36,0.35,0.35,2600000.0,-916000.0
26,2006-12-29,0.38,0.39,0.37,0.38,1010000.0,0.0
27,2006-11-02,0.36,0.36,0.34,0.34,1590000.0,0.0
28,2006-11-03,0.34,0.34,0.34,0.34,120000.0,0.0
29,2006-11-06,0.33,0.33,0.33,0.33,50000.0,0.0
30,2006-11-07,0.34,0.36,0.33,0.35,1680000.0,0.0
31,2006-11-08,0.33,0.33,0.33,0.33,180000.0,0.0
32,2006-11-09,0.33,0.36,0.33,0.35,1060000.0,0.0
33,2006-11-10,0.35,0.36,0.34,0.34,1530000.0,0.0
34,2006-11-13,0.34,0.34,0.34,0.34,1090000.0,0.0
35,2006-11-14,0.34,0.35,0.34,0.35,1740000.0,-51000.0
36,2006-11-15,0.35,0.37,0.35,0.36,4980000.0,0.0
37,2006-11-16,0.38,0.38,0.35,0.36,1370000.0,0.0
38,2006-11-17,0.35,0.36,0.35,0.36,10300000.0,0.0
39,2006-11-20,0.37,0.38,0.36,0.36,900000.0,0.0
40,2006-11-21,0.35,0.35,0.35,0.35,230000.0,0.0
41,2006-11-22,0.36,0.36,0.35,0.36,720000.0,0.0
42,2006-11-23,0.35,0.36,0.35,0.36,110000.0,0.0
43,2006-11-24,0.36,0.37,0.36,0.36,1250000.0,0.0
44,2006-11-27,0.36,0.38,0.36,0.37,2510000.0,0.0
45,2006-11-28,0.38,0.42,0.38,0.41,23450000.0,1475600.0
46,2006-11-29,0.43,0.43,0.37,0.38,9130000.0,210900.0
47,2006-11-30,0.38,0.38,0.37,0.37,470000.0,0.0
48,2006-10-06,0.25,0.25,0.24,0.24,130000.0,0.0
49,2006-10-09,0.25,0.27,0.25,0.27,20000.0,0.0
50,2006-10-10,0.27,0.27,0.27,0.27,80000.0,0.0
51,2006-10-11,0.25,0.26,0.25,0.25,520000.0,0.0
52,2006-10-12,0.27,0.3,0.27,0.28,670000.0,0.0
53,2006-10-13,0.3,0.3,0.27,0.29,290000.0,0.0
54,2006-10-16,0.3,0.39,0.28,0.39,34850000.0,-117500.0
55,2006-10-17,0.4,0.41,0.33,0.33,21810000.0,-59500.0
56,2006-10-18,0.34,0.36,0.33,0.34,5000000.0,0.0
57,2006-10-19,0.35,0.36,0.35,0.36,2370000.0,0.0
58,2006-10-20,0.36,0.36,0.34,0.34,1500000.0,0.0
59,2006-10-23,0.35,0.37,0.35,0.35,6020000.0,0.0
60,2006-10-25,0.36,0.36,0.34,0.34,1170000.0,0.0
61,2006-10-26,0.34,0.34,0.32,0.34,430000.0,-40800.0
62,2006-10-27,0.35,0.38,0.35,0.38,8850000.0,0.0
63,2006-10-30,0.38,0.39,0.35,0.35,2310000.0,0.0
64,2006-10-31,0.36,0.37,0.34,0.35,760000.0,0.0
65,2006-09-01,0.3,0.31,0.29,0.31,970000.0,0.0
66,2006-09-04,0.32,0.32,0.31,0.31,70000.0,0.0
67,2006-09-05,0.28,0.28,0.26,0.26,400000.0,0.0
68,2006-09-06,0.26,0.27,0.26,0.27,810000.0,0.0
69,2006-09-07,0.29,0.3,0.25,0.25,70000.0,0.0
70,2006-09-08,0.25,0.28,0.25,0.28,520000.0,0.0
71,2006-09-11,0.27,0.27,0.27,0.27,400000.0,0.0
72,2006-09-12,0.26,0.26,0.26,0.26,50000.0,0.0
73,2006-09-14,0.25,0.26,0.25,0.26,510000.0,-18200.0
74,2006-09-20,0.25,0.25,0.25,0.25,30000.0,0.0
75,2006-09-21,0.3,0.31,0.26,0.3,340000.0,0.0
76,2006-09-22,0.24,0.24,0.24,0.24,70000.0,0.0
77,2006-09-25,0.28,0.28,0.25,0.25,230000.0,0.0
78,2006-09-26,0.28,0.29,0.28,0.29,100000.0,0.0
79,2007-04-02,0.79,0.82,0.79,0.81,5710000.0,160000.0
80,2007-04-03,0.82,0.83,0.79,0.79,3430000.0,81000.0
81,2007-04-04,0.81,0.81,0.79,0.8,2040000.0,79000.0
82,2007-04-10,0.79,0.81,0.79,0.8,2850000.0,-152000.0
83,2007-04-11,0.79,0.82,0.79,0.82,6380000.0,0.0
84,2007-04-12,0.82,0.82,0.79,0.79,1610000.0,0.0
85,2007-04-13,0.79,0.79,0.77,0.77,1410000.0,0.0
86,2007-04-16,0.77,0.8,0.77,0.78,1650000.0,0.0
87,2007-04-17,0.81,0.81,0.77,0.77,2620000.0,164100.0
88,2007-04-18,0.77,0.78,0.77,0.78,1870000.0,0.0
