,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,0.73,0.73,0.65,0.65,30000,0.0
1,2006-08-02,0.64,0.64,0.64,0.64,70000,0.0
2,2006-08-04,0.66,0.66,0.66,0.66,50000,0.0
3,2006-08-08,0.66,0.66,0.66,0.66,10000,0.0
4,2006-12-14,0.62,0.62,0.62,0.62,10000,0.0
5,2006-12-15,0.52,0.62,0.52,0.62,180000,0.0
6,2006-12-18,0.62,0.62,0.62,0.62,50000,0.0
7,2006-12-20,0.62,0.63,0.62,0.63,100000,0.0
8,2006-12-21,0.63,0.63,0.63,0.63,30000,0.0
9,2006-12-22,0.62,0.62,0.62,0.62,10000,0.0
10,2006-12-27,0.64,0.64,0.64,0.64,10000,0.0
11,2006-12-29,0.6,0.64,0.6,0.64,100000,0.0
12,2006-11-08,0.64,0.64,0.64,0.64,50000,0.0
13,2006-11-09,0.62,0.62,0.62,0.62,20000,0.0
14,2006-11-10,0.62,0.62,0.62,0.62,240000,0.0
15,2006-11-13,0.62,0.62,0.62,0.62,160000,0.0
16,2006-11-22,0.63,0.63,0.63,0.63,60000,0.0
17,2006-10-04,0.7,0.7,0.7,0.7,10000,0.0
18,2006-10-11,0.55,0.55,0.55,0.55,20000,0.0
19,2006-10-12,0.6,0.6,0.6,0.6,50000,0.0
20,2006-10-23,0.62,0.62,0.62,0.62,10000,0.0
21,2006-10-25,0.66,0.66,0.66,0.66,130000,0.0
22,2006-10-26,0.64,0.64,0.64,0.64,100000,0.0
23,2006-10-27,0.62,0.68,0.62,0.68,380000,0.0
24,2006-09-07,0.64,0.64,0.64,0.64,120000,0.0
25,2006-09-08,0.63,0.63,0.63,0.63,10000,0.0
26,2006-09-11,0.61,0.61,0.61,0.61,20000,0.0
27,2006-09-12,0.61,0.63,0.61,0.63,30000,0.0
28,2006-09-13,0.62,0.62,0.62,0.62,10000,0.0
29,2006-09-14,0.62,0.62,0.62,0.62,10000,0.0
30,2006-09-15,0.62,0.62,0.62,0.62,50000,0.0
31,2006-09-22,0.61,0.61,0.61,0.61,80000,0.0
32,2006-09-25,0.61,0.61,0.61,0.61,40000,0.0
33,2006-09-26,0.61,0.61,0.61,0.61,90000,0.0
34,2007-04-03,0.66,0.66,0.66,0.66,10000,0.0
35,2007-04-04,0.73,0.73,0.72,0.73,400000,-145000.0
36,2007-04-11,0.68,0.68,0.68,0.68,10000,0.0
37,2007-04-13,0.71,0.71,0.71,0.71,140000,0.0
38,2007-04-18,0.72,0.72,0.72,0.72,100000,-64800.0
39,2007-04-23,0.7,0.7,0.7,0.7,20000,0.0
40,2007-04-24,0.52,0.52,0.52,0.52,10000,0.0
41,2007-04-27,0.63,0.63,0.63,0.63,80000,0.0
42,2007-08-01,1.02,1.02,0.98,0.99,112000,0.0
43,2007-08-02,0.98,0.98,0.98,0.98,30000,0.0
44,2007-08-06,0.98,0.98,0.98,0.98,100000,0.0
45,2007-08-07,0.96,0.96,0.96,0.96,100000,0.0
46,2007-08-09,1.0,1.0,1.0,1.0,250000,0.0
47,2007-08-14,0.96,0.96,0.96,0.96,50000,0.0
48,2007-08-15,0.96,0.96,0.96,0.96,50000,0.0
49,2007-08-16,0.9,0.9,0.9,0.9,50000,0.0
50,2007-08-21,0.95,0.95,0.95,0.95,40000,0.0
51,2007-08-28,1.0,1.0,1.0,1.0,220000,0.0
52,2007-08-30,1.0,1.0,1.0,1.0,200000,0.0
53,2007-12-05,0.86,0.86,0.86,0.86,10000,0.0
54,2007-12-10,0.86,0.86,0.86,0.86,30000,0.0
55,2007-12-11,1.0,1.18,0.88,0.88,1660000,0.0
56,2007-12-14,0.88,0.88,0.88,0.88,10000,0.0
57,2007-12-20,0.86,0.86,0.86,0.86,190000,0.0
58,2007-02-01,0.65,0.65,0.65,0.65,10000,0.0
59,2007-02-02,0.65,0.65,0.65,0.65,10000,0.0
60,2007-02-07,0.65,0.65,0.65,0.65,10000,0.0
61,2007-02-08,0.65,0.65,0.65,0.65,130000,0.0
62,2007-02-12,0.65,0.65,0.65,0.65,10000,0.0
63,2007-02-15,0.66,0.69,0.66,0.69,90000,0.0
64,2007-02-20,0.69,0.73,0.69,0.73,390000,0.0
65,2007-02-23,0.7,0.7,0.7,0.7,10000,0.0
66,2007-02-26,0.71,0.71,0.71,0.71,200000,0.0
67,2007-02-27,0.71,0.71,0.71,0.71,100000,0.0
68,2007-02-28,0.51,0.51,0.51,0.51,20000,0.0
69,2007-01-04,0.6,0.6,0.6,0.6,10000,0.0
70,2007-01-05,0.61,0.61,0.61,0.61,20000,0.0
71,2007-01-08,0.61,0.61,0.61,0.61,30000,0.0
72,2007-01-09,0.62,0.62,0.62,0.62,20000,0.0
73,2007-01-10,0.62,0.62,0.62,0.62,10000,0.0
74,2007-01-16,0.62,0.62,0.62,0.62,100000,0.0
75,2007-01-18,0.6,0.62,0.6,0.62,150000,0.0
76,2007-01-19,0.63,0.64,0.63,0.64,310000,0.0
77,2007-01-22,0.61,0.61,0.61,0.61,70000,0.0
78,2007-01-23,0.61,0.61,0.61,0.61,110000,0.0
79,2007-01-25,0.61,0.65,0.61,0.65,180000,0.0
80,2007-01-26,0.65,0.67,0.65,0.67,200000,0.0
81,2007-07-02,1.22,1.22,1.2,1.2,349000,0.0
82,2007-07-04,1.12,1.12,1.12,1.12,23000,0.0
83,2007-07-05,1.2,1.2,1.2,1.2,237000,0.0
84,2007-07-06,1.2,1.2,1.18,1.18,645000,-175840.0
85,2007-07-09,1.16,1.18,1.16,1.18,141000,0.0
86,2007-07-10,1.18,1.22,1.18,1.2,437000,-26400.0
87,2007-07-11,1.2,1.2,1.2,1.2,14000,0.0
88,2007-07-12,1.24,1.24,1.24,1.24,154000,0.0
89,2007-07-13,1.24,1.26,1.24,1.24,490000,0.0
90,2007-07-17,1.2,1.2,1.2,1.2,6000,0.0
91,2007-07-18,1.2,1.26,1.2,1.24,150000,0.0
92,2007-07-19,1.24,1.24,1.2,1.24,492000,0.0
93,2007-07-23,1.24,1.24,1.24,1.24,150000,0.0
94,2007-07-25,1.2,1.2,1.2,1.2,130000,0.0
95,2007-07-26,1.2,1.2,1.18,1.18,205000,0.0
96,2007-07-30,1.02,1.02,1.02,1.02,167000,0.0
97,2007-06-01,0.69,0.69,0.69,0.69,20000,0.0
98,2007-06-04,0.72,0.72,0.69,0.69,120000,0.0
99,2007-06-05,0.7,0.72,0.7,0.72,100000,0.0
100,2007-06-06,0.72,0.74,0.72,0.74,120000,0.0
101,2007-06-07,0.74,0.74,0.74,0.74,90000,0.0
102,2007-06-08,0.74,1.1,0.74,1.1,237250000,0.0
103,2007-06-12,1.2,1.32,1.1,1.2,1963000,0.0
104,2007-06-13,1.2,1.2,1.06,1.06,799000,0.0
105,2007-06-14,1.06,1.06,1.02,1.02,794000,0.0
106,2007-06-15,1.02,1.04,1.02,1.04,310000,0.0
107,2007-06-18,1.06,1.1,1.04,1.1,1768000,0.0
108,2007-06-19,1.12,1.34,1.12,1.32,2422000,0.0
109,2007-06-20,1.32,1.32,1.26,1.32,1287000,0.0
110,2007-06-21,1.3,1.38,1.3,1.36,1128000,-328800.0
111,2007-06-22,1.36,1.4,1.36,1.36,1211000,-278000.0
112,2007-06-25,1.36,1.38,1.32,1.38,320000,0.0
113,2007-06-26,1.42,1.46,1.3,1.3,1751000,0.0
114,2007-06-27,1.3,1.3,1.24,1.24,832000,0.0
115,2007-06-28,1.24,1.26,1.24,1.26,210000,0.0
116,2007-06-29,1.22,1.28,1.22,1.26,208000,0.0
117,2007-03-01,0.6,0.6,0.6,0.6,300000,0.0
118,2007-03-02,0.62,0.65,0.62,0.65,80000,0.0
119,2007-03-05,0.52,0.52,0.52,0.52,10000,0.0
120,2007-03-12,0.55,0.55,0.55,0.55,10000,0.0
121,2007-03-13,0.76,0.76,0.75,0.75,200000,0.0
122,2007-03-14,0.57,0.57,0.57,0.57,10000,0.0
123,2007-03-15,0.63,0.67,0.63,0.67,20000,0.0
124,2007-03-21,0.69,0.69,0.69,0.69,80000,0.0
125,2007-03-22,0.7,0.7,0.7,0.7,150000,0.0
126,2007-03-23,0.7,0.7,0.7,0.7,150000,0.0
127,2007-03-26,0.71,0.78,0.71,0.78,480000,0.0
128,2007-03-27,0.78,0.82,0.78,0.82,310000,0.0
129,2007-05-09,0.66,0.66,0.66,0.66,20000,0.0
130,2007-05-10,0.66,0.66,0.66,0.66,60000,0.0
131,2007-05-17,0.62,0.62,0.62,0.62,10000,0.0
132,2007-05-18,0.65,0.65,0.65,0.65,20000,0.0
133,2007-05-22,0.65,0.65,0.65,0.65,10000,0.0
134,2007-05-24,0.65,0.65,0.65,0.65,60000,0.0
135,2007-05-25,0.67,0.67,0.67,0.67,30000,0.0
136,2007-05-28,0.67,0.67,0.67,0.67,40000,0.0
137,2007-05-29,0.67,0.69,0.67,0.69,40000,0.0
138,2007-05-30,0.69,0.69,0.69,0.69,10000,0.0
139,2007-05-31,0.7,0.7,0.69,0.69,50000,-6900.0
140,2007-11-15,0.85,0.85,0.85,0.85,70000,0.0
141,2007-11-16,0.85,0.85,0.85,0.85,260000,0.0
142,2007-11-22,0.8,0.85,0.8,0.85,110000,0.0
143,2007-11-23,0.85,0.85,0.85,0.85,50000,0.0
144,2007-11-26,0.87,0.87,0.86,0.86,60000,0.0
145,2007-11-28,0.86,0.86,0.86,0.86,50000,0.0
146,2007-11-29,0.86,0.86,0.86,0.86,60000,0.0
147,2007-10-02,1.02,1.02,1.0,1.0,201000,0.0
148,2007-10-04,1.0,1.0,1.0,1.0,10000,0.0
149,2007-10-05,1.0,1.0,0.98,1.0,280000,0.0
150,2007-10-08,1.02,1.04,1.0,1.04,330000,0.0
151,2007-10-09,1.0,1.0,1.0,1.0,90000,0.0
152,2007-10-10,1.0,1.0,1.0,1.0,60000,0.0
153,2007-10-11,1.0,1.0,1.0,1.0,20000,0.0
154,2007-09-03,1.0,1.0,1.0,1.0,60000,0.0
155,2007-09-04,0.95,0.95,0.95,0.95,10000,0.0
156,2007-09-05,1.0,1.0,1.0,1.0,10000,0.0
157,2007-09-10,1.0,1.0,1.0,1.0,50000,0.0
158,2007-09-12,1.0,1.0,1.0,1.0,100000,0.0
159,2007-09-18,1.02,1.02,1.02,1.02,120000,0.0
160,2007-09-19,0.62,1.02,0.62,1.0,200000,0.0
161,2007-09-20,1.02,1.02,1.02,1.02,20000,0.0
162,2007-09-21,1.0,1.0,1.0,1.0,104000,0.0
163,2007-09-25,1.0,1.0,1.0,1.0,70000,0.0
164,2007-09-26,1.0,1.0,1.0,1.0,50000,0.0
165,2007-09-27,1.02,1.04,1.0,1.04,580000,40800.0
166,2008-04-04,0.6,0.6,0.6,0.6,100000,0.0
167,2008-04-23,0.5,0.62,0.5,0.52,100000,0.0
168,2008-04-29,0.65,0.65,0.65,0.65,80000,0.0
169,2008-08-01,0.56,0.56,0.56,0.56,1110000,0.0
170,2008-08-04,0.55,0.55,0.55,0.55,150000,0.0
171,2008-08-06,0.56,0.56,0.56,0.56,20000,0.0
172,2008-08-08,0.58,0.61,0.58,0.61,550000,0.0
173,2008-08-11,0.66,0.66,0.66,0.66,1110000,0.0
174,2008-08-15,0.58,0.58,0.58,0.58,50000,0.0
175,2008-08-20,0.59,0.59,0.59,0.59,1110000,0.0
176,2008-08-26,0.6,0.6,0.6,0.6,90000,0.0
177,2008-08-27,0.6,0.6,0.6,0.6,600000,0.0
178,2008-08-28,0.6,0.6,0.6,0.6,160000,0.0
179,2008-08-29,0.6,0.6,0.6,0.6,60000,0.0
180,2008-12-03,0.37,0.37,0.37,0.37,820000,0.0
181,2008-12-11,0.37,0.37,0.37,0.37,100000,0.0
182,2008-12-12,0.37,0.37,0.37,0.37,590000,0.0
183,2008-12-18,0.4,0.4,0.4,0.4,760000,0.0
184,2008-12-22,0.4,0.4,0.4,0.4,690000,0.0
185,2008-12-24,0.4,0.4,0.4,0.4,760000,0.0
186,2008-02-04,0.7,0.7,0.7,0.7,20000,0.0
187,2008-02-06,0.61,0.61,0.61,0.61,10000,0.0
188,2008-02-07,0.7,0.7,0.7,0.7,10000,0.0
189,2008-02-08,0.68,0.68,0.68,0.68,10000,0.0
190,2008-02-11,0.7,0.81,0.7,0.8,1390000,0.0
191,2008-02-15,0.75,0.8,0.75,0.8,100000,0.0
192,2008-02-28,0.8,0.8,0.78,0.78,140000,0.0
193,2008-01-04,0.85,0.85,0.85,0.85,10000,0.0
