,Date,Open,High,Low,Close,Volume,OtherData
0,2014-12-03,105.0,105.0,101.0,102.0,56970.0,0.0
1,2014-12-04,101.5,102.5,101.5,102.0,81880.0,0.0
2,2014-12-05,101.5,101.5,101.0,101.5,10750.0,0.0
3,2014-12-09,101.0,102.5,101.0,102.0,181980.0,-512500.0
4,2014-12-11,101.2,101.2,101.2,101.2,16770.0,0.0
5,2014-12-12,101.2,102.5,101.2,102.5,164400.0,0.0
6,2014-12-15,101.8,102.0,101.5,101.5,80800.0,0.0
7,2014-12-16,102.0,102.0,102.0,102.0,500.0,0.0
8,2014-12-17,102.0,102.0,101.5,101.5,3000.0,0.0
9,2014-12-18,101.1,101.2,101.0,101.0,60120.0,0.0
10,2014-12-22,101.5,102.5,101.5,102.5,1000.0,0.0
11,2014-12-29,102.5,103.0,102.5,103.0,1250.0,0.0
12,2015-01-05,102.0,102.0,102.0,102.0,500.0,0.0
13,2015-01-07,102.8,103.0,102.8,103.0,30750.0,0.0
14,2015-01-13,103.0,103.6,103.0,103.6,19290.0,0.0
15,2015-01-19,102.5,102.5,102.5,102.5,170100.0,0.0
16,2015-01-20,103.0,103.0,103.0,103.0,13500.0,0.0
17,2015-01-21,102.0,103.0,102.0,103.0,30500.0,0.0
18,2015-01-23,103.5,103.5,103.5,103.5,100.0,0.0
19,2015-01-26,103.0,103.0,103.0,103.0,10000.0,0.0
20,2015-01-27,103.0,103.0,103.0,103.0,4700.0,0.0
21,2015-01-28,103.0,103.0,103.0,103.0,32100.0,0.0
22,2015-01-29,103.0,103.0,103.0,103.0,11250.0,0.0
23,2015-01-30,103.8,103.8,103.5,103.5,600.0,0.0
24,2015-02-02,103.0,103.0,103.0,103.0,1000.0,0.0
25,2015-02-04,103.0,103.1,103.0,103.1,1000.0,0.0
26,2015-02-05,103.1,103.1,103.0,103.0,34000.0,0.0
27,2015-02-06,103.5,103.5,103.5,103.5,5000.0,0.0
28,2015-02-09,103.5,103.5,103.0,103.0,82750.0,0.0
29,2015-02-10,103.1,103.1,103.1,103.1,10000.0,0.0
30,2015-02-11,103.5,105.0,103.5,105.0,66750.0,0.0
31,2015-02-12,105.0,105.0,105.0,105.0,39160.0,-1575000.0
32,2015-02-16,105.3,105.5,105.3,105.5,7100.0,0.0
33,2015-02-17,105.5,105.5,103.0,103.0,12550.0,0.0
34,2015-02-18,103.0,109.0,103.0,109.0,46020.0,0.0
35,2015-02-20,109.0,109.0,108.7,108.7,790.0,0.0
36,2015-02-25,106.0,106.0,106.0,106.0,10500.0,0.0
37,2015-02-26,106.0,106.0,106.0,106.0,270.0,0.0
38,2015-02-27,106.0,107.8,106.0,106.0,6640.0,0.0
39,2015-03-02,106.0,106.0,106.0,106.0,80390.0,0.0
40,2015-03-03,106.0,106.0,106.0,106.0,14500.0,0.0
41,2015-03-04,107.0,107.5,107.0,107.5,31000.0,0.0
42,2015-03-05,108.5,108.5,108.5,108.5,29000.0,0.0
43,2015-03-06,107.5,108.0,107.5,108.0,38600.0,0.0
44,2015-03-09,108.0,108.5,108.0,108.0,8020.0,0.0
45,2015-03-10,108.0,108.0,107.0,107.5,90710.0,0.0
46,2015-03-11,107.5,107.5,107.5,107.5,1000.0,0.0
47,2015-03-12,108.4,108.5,107.8,108.5,44800.0,0.0
48,2015-03-13,108.4,108.5,108.4,108.5,27570.0,0.0
49,2015-03-16,108.5,108.5,108.2,108.5,26450.0,-1990975.0
50,2015-03-17,108.5,109.0,108.2,108.2,33400.0,-2488600.0
51,2015-03-18,108.2,108.2,108.2,108.2,26050.0,0.0
52,2015-03-19,108.3,108.3,108.2,108.2,34000.0,0.0
53,2015-03-20,109.0,109.0,108.3,108.9,28800.0,0.0
54,2015-03-23,109.0,110.0,109.0,110.0,22200.0,0.0
55,2015-03-24,109.0,109.0,108.8,108.8,40000.0,0.0
56,2015-03-25,109.0,110.0,109.0,110.0,70000.0,0.0
57,2015-03-26,111.0,111.0,111.0,111.0,20000.0,0.0
58,2015-03-27,111.0,111.0,111.0,111.0,70.0,0.0
59,2015-03-30,111.0,111.0,110.0,110.0,2190.0,0.0
60,2015-03-31,109.8,109.8,109.0,109.0,15100.0,0.0
61,2015-04-01,108.9,108.9,108.9,108.9,500.0,0.0
62,2015-04-06,108.8,108.8,108.8,108.8,3000.0,0.0
63,2015-04-07,109.0,109.0,109.0,109.0,2630.0,0.0
64,2015-04-08,109.0,109.0,109.0,109.0,26000.0,0.0
65,2015-04-10,109.0,109.0,108.8,108.8,9400.0,0.0
66,2015-04-13,109.0,109.0,109.0,109.0,145630.0,0.0
67,2015-04-14,109.0,109.0,109.0,109.0,131350.0,0.0
68,2015-04-16,110.0,111.0,110.0,111.0,10000.0,0.0
69,2015-04-17,111.0,111.0,111.0,111.0,270.0,0.0
70,2015-04-20,111.0,111.0,111.0,111.0,280.0,0.0
71,2015-04-21,111.0,111.0,110.0,110.0,430.0,0.0
72,2015-04-22,111.0,111.0,110.9,111.0,12840.0,0.0
73,2015-04-23,111.0,111.0,111.0,111.0,6700.0,0.0
74,2015-04-24,111.0,111.0,110.0,110.0,51430.0,0.0
75,2015-04-27,111.0,111.0,111.0,111.0,74280.0,0.0
76,2015-04-28,111.0,113.0,111.0,113.0,6730.0,0.0
77,2015-04-29,113.0,113.5,113.0,113.5,7000.0,0.0
78,2015-04-30,113.5,113.5,112.0,113.5,120.0,0.0
79,2015-05-04,115.9,115.9,115.9,115.9,170.0,0.0
