,Date,Open,High,Low,Close,Volume,OtherData
0,2007-04-27,4.5,5.0,4.4,4.5,179755000,80631850.0
1,2007-04-30,4.5,4.55,4.2,4.3,53291000,-5147750.0
2,2007-08-01,4.0,4.1,4.0,4.05,6277000,16501600.0
3,2007-08-02,4.1,4.1,3.9,4.0,10472000,28200150.0
4,2007-08-03,4.05,4.05,3.5,3.8,5952000,12019550.0
5,2007-08-06,3.8,3.8,3.5,3.65,3416000,-21300.0
6,2007-08-07,3.75,3.85,3.75,3.8,5146000,4933600.0
7,2007-08-08,3.75,3.85,3.75,3.8,1339000,-26600.0
8,2007-08-09,3.9,3.9,3.85,3.9,1160000,-206600.0
9,2007-08-10,3.7,3.7,3.6,3.65,5990000,0.0
10,2007-08-13,3.65,3.65,3.5,3.6,3848000,1825000.0
11,2007-08-14,3.6,3.6,3.4,3.5,2962000,3600.0
12,2007-08-15,3.5,3.5,3.25,3.3,1729000,79800.0
13,2007-08-16,3.3,3.3,2.95,3.05,4988000,0.0
14,2007-08-17,3.05,3.15,2.95,3.0,3730000,15750.0
15,2007-08-21,3.15,3.25,3.1,3.15,9144000,-1520300.0
16,2007-08-22,3.15,3.15,3.05,3.15,3322000,-9426850.0
17,2007-08-23,3.25,3.35,3.2,3.25,3902000,-3597500.0
18,2007-08-24,3.3,3.3,3.15,3.15,2620000,-869200.0
19,2007-08-28,3.15,3.3,3.15,3.3,2232000,-3582750.0
20,2007-08-29,3.15,3.15,3.05,3.1,4357000,-13073350.0
21,2007-08-30,3.15,3.3,3.15,3.25,7538000,-19278050.0
22,2007-08-31,3.25,3.45,3.25,3.35,8346000,-11591850.0
23,2007-12-03,3.0,3.15,3.0,3.05,1516000,-1430700.0
24,2007-12-04,3.1,3.2,3.05,3.2,2468000,2359250.0
25,2007-12-05,3.1,3.35,3.1,3.3,3331000,1892350.0
26,2007-12-06,3.35,3.35,3.3,3.3,11513000,27020400.0
27,2007-12-07,3.35,3.4,3.25,3.25,995000,-1125200.0
28,2007-12-10,3.2,3.3,3.2,3.3,838000,-162500.0
29,2007-12-11,3.3,3.45,3.3,3.45,6008000,-892400.0
30,2007-12-12,3.3,3.35,3.3,3.3,1162000,-1343250.0
31,2007-12-13,3.35,3.35,3.25,3.25,1362000,26000.0
32,2007-12-14,3.25,3.25,3.2,3.2,1291000,-312000.0
33,2007-12-17,3.15,3.25,3.1,3.2,1607000,154250.0
34,2007-12-18,3.1,3.2,3.05,3.2,855000,437000.0
35,2007-12-19,3.15,3.15,3.1,3.15,1157000,1240000.0
36,2007-12-20,3.15,3.2,3.15,3.2,261000,47250.0
37,2007-12-26,3.35,3.35,3.2,3.25,2526000,7465550.0
38,2007-12-27,3.25,3.35,3.25,3.35,6739000,5694000.0
39,2007-12-28,3.3,3.35,3.2,3.3,8313000,3167750.0
40,2007-07-02,4.35,4.4,4.25,4.4,5076000,4196900.0
41,2007-07-03,4.35,4.45,4.35,4.35,2090000,-31300.0
42,2007-07-04,4.4,4.4,4.35,4.35,3026000,-17400.0
43,2007-07-05,4.35,4.35,4.3,4.35,3246000,210800.0
44,2007-07-06,4.35,4.4,4.3,4.3,2332000,-104400.0
45,2007-07-09,4.3,4.4,4.3,4.35,6577000,-8977400.0
46,2007-07-10,4.4,4.4,4.25,4.3,10536000,-13680800.0
47,2007-07-11,4.3,4.3,4.2,4.25,2896000,-7089150.0
48,2007-07-12,4.25,4.3,4.25,4.25,2106000,242250.0
49,2007-07-13,4.3,4.35,4.25,4.3,5504000,11648700.0
50,2007-07-16,4.35,4.45,4.35,4.35,10715000,19230650.0
51,2007-07-17,4.35,4.35,4.35,4.35,6966000,18644100.0
