,Date,Open,High,Low,Close,Volume,OtherData
0,2013-07-25,0.34,5.99,0.01,2.99,11719000,8400.0
1,2013-07-26,2.9,2.9,2.5,2.64,55000,0.0
2,2013-07-29,2.52,2.52,1.7,2.19,1285000,117000.0
3,2013-07-30,2.19,2.19,1.94,1.96,151000,0.0
4,2013-07-31,1.78,1.99,1.78,1.99,10000,0.0
5,2013-08-05,1.79,1.96,1.77,1.96,82000,0.0
6,2013-08-07,1.98,1.98,1.68,1.68,6000,0.0
7,2013-08-08,1.95,1.95,1.95,1.95,1000,0.0
8,2013-08-12,1.94,1.94,1.72,1.93,9000,0.0
9,2013-08-14,1.73,1.75,1.7,1.75,59000,0.0
10,2013-08-15,1.88,1.89,1.86,1.89,37000,0.0
11,2013-08-16,1.73,1.73,1.72,1.72,3000,0.0
12,2013-08-22,1.9,1.92,1.75,1.75,104000,0.0
13,2013-08-23,1.86,2.3,1.82,2.3,67000,0.0
14,2013-08-28,2.2,2.25,2.2,2.2,10000,0.0
15,2013-08-29,2.06,2.06,1.9,1.9,35000,0.0
16,2013-08-30,2.2,2.2,2.2,2.2,1000,0.0
17,2013-09-03,2.1,3.04,2.05,2.2,1027000,5400.0
18,2013-09-04,2.2,2.2,2.02,2.19,86000,0.0
19,2013-09-05,2.07,2.07,2.02,2.02,14000,0.0
20,2013-09-06,2.03,2.29,2.0,2.02,160000,0.0
21,2013-09-09,2.42,2.42,2.0,2.13,55000,0.0
22,2013-09-10,2.02,2.13,2.02,2.03,35000,0.0
23,2013-09-11,2.02,2.23,2.0,2.1,39000,0.0
24,2013-09-13,2.03,2.19,2.01,2.01,33000,0.0
25,2013-09-16,2.01,2.2,2.0,2.15,20000,0.0
26,2013-09-17,2.0,2.0,2.0,2.0,2000,0.0
27,2013-09-18,2.0,2.0,1.93,1.99,93000,0.0
28,2013-09-19,2.15,2.15,2.15,2.15,1000,0.0
29,2013-09-20,1.95,1.95,1.95,1.95,6000,0.0
30,2013-09-25,2.0,2.0,1.95,1.95,12000,0.0
31,2013-09-26,2.03,2.12,2.03,2.03,5000,0.0
32,2013-09-27,2.03,2.03,2.03,2.03,6000,0.0
33,2013-09-30,1.99,1.99,1.98,1.98,8000,0.0
34,2013-10-01,1.96,1.96,1.96,1.96,3000,0.0
35,2013-10-04,1.98,1.98,1.98,1.98,3000,0.0
36,2013-10-07,1.96,1.96,1.95,1.95,2000,0.0
37,2013-10-09,2.0,2.09,2.0,2.09,22000,-4100.0
38,2013-10-10,2.09,2.2,2.05,2.15,19000,0.0
39,2013-10-11,2.2,2.2,2.06,2.06,6000,0.0
40,2013-10-14,2.2,2.2,2.19,2.2,19000,0.0
41,2013-10-16,2.1,2.1,2.1,2.1,10000,0.0
42,2013-10-18,2.09,2.09,2.08,2.08,22000,0.0
43,2013-10-21,2.09,2.09,2.03,2.03,4000,0.0
44,2013-10-22,2.05,2.08,2.05,2.08,7000,0.0
45,2013-10-24,2.12,2.5,2.12,2.18,242000,0.0
46,2013-10-25,2.22,2.22,2.22,2.22,47000,0.0
47,2013-10-29,2.17,2.35,2.16,2.16,31000,0.0
48,2013-10-30,2.2,2.39,2.2,2.39,137000,0.0
49,2013-10-31,2.48,2.48,2.23,2.34,29000,0.0
50,2013-11-04,2.23,2.34,2.23,2.25,8000,0.0
51,2013-11-05,2.24,2.48,2.24,2.34,72000,-11700.0
52,2013-11-06,2.46,2.46,2.25,2.31,92000,0.0
53,2013-11-07,2.26,2.36,2.26,2.36,15000,0.0
54,2013-11-08,2.3,3.45,2.3,3.0,1441000,-121520.0
55,2013-11-11,3.05,4.5,3.05,4.47,1227000,853270.0
56,2013-11-12,4.65,6.5,4.65,6.02,1121000,-277070.0
57,2013-11-13,6.03,6.99,5.04,5.1,1135500,-1304389.0
