,Date,Open,High,Low,Close,Volume,OtherData
0,2007-12-19,3.15,3.3,3.0,3.2,67466000.0,-1497950.0
1,2007-12-20,3.1,3.1,3.0,3.05,28495000.0,0.0
2,2007-12-26,3.3,3.4,3.3,3.3,12622000.0,-33500.0
3,2007-12-27,3.25,3.4,3.25,3.4,10484000.0,-683400.0
4,2007-12-28,3.35,3.35,3.3,3.3,10701000.0,0.0
5,2008-04-02,1.84,1.88,1.84,1.84,358000.0,0.0
6,2008-04-03,1.82,1.82,1.82,1.82,100000.0,0.0
7,2008-04-04,1.84,1.88,1.8,1.88,236000.0,0.0
8,2008-04-08,1.9,1.9,1.9,1.9,200000.0,0.0
9,2008-04-09,1.88,1.88,1.88,1.88,50000.0,0.0
10,2008-04-10,1.9,2.26,1.9,2.22,5092000.0,0.0
11,2008-04-11,2.24,2.38,2.24,2.28,6242000.0,1026000.0
12,2008-04-14,2.22,2.22,2.1,2.16,699000.0,0.0
13,2008-04-15,2.1,2.12,2.04,2.08,1190000.0,0.0
14,2008-04-16,2.08,2.08,2.04,2.04,959000.0,0.0
15,2008-04-17,2.04,2.04,2.02,2.02,1101000.0,0.0
16,2008-04-18,2.04,2.1,1.98,2.0,642000.0,0.0
17,2008-04-21,1.96,2.0,1.96,1.96,167000.0,0.0
18,2008-04-22,2.0,2.0,1.92,1.92,140000.0,39200.0
19,2008-04-23,1.98,1.98,1.98,1.98,7000.0,0.0
20,2008-04-24,1.9,1.9,1.9,1.9,54000.0,38000.0
21,2008-04-25,1.9,1.9,1.88,1.88,91000.0,1900.0
22,2008-04-28,1.9,1.9,1.88,1.9,4000.0,0.0
23,2008-04-29,1.96,1.96,1.84,1.84,59000.0,0.0
24,2008-04-30,1.88,1.88,1.86,1.86,5082000.0,0.0
25,2008-08-01,1.16,1.16,1.14,1.14,10000.0,0.0
26,2008-08-04,1.14,1.14,1.1,1.1,17000.0,0.0
27,2008-08-05,1.12,1.12,1.1,1.1,100000.0,0.0
28,2008-08-06,1.16,1.16,1.16,1.16,21000.0,0.0
29,2008-08-07,1.16,1.3,1.16,1.22,728000.0,-63300.0
30,2008-08-08,1.24,1.26,1.22,1.22,108000.0,0.0
31,2008-08-11,1.28,1.3,1.26,1.26,351000.0,0.0
32,2008-08-12,1.22,1.22,1.2,1.2,282000.0,0.0
33,2008-08-15,1.18,1.18,1.18,1.18,3000000.0,0.0
34,2008-08-19,1.16,1.16,1.14,1.14,262000.0,0.0
35,2008-08-20,1.14,1.16,1.14,1.14,372000.0,0.0
36,2008-08-21,1.14,1.14,1.14,1.14,51000.0,0.0
37,2008-08-22,1.14,1.16,1.14,1.14,131000.0,0.0
38,2008-08-26,1.14,1.14,1.14,1.14,16000.0,0.0
39,2008-08-27,1.12,1.12,1.12,1.12,99000.0,0.0
40,2008-08-28,1.14,1.14,1.14,1.14,80000.0,0.0
41,2008-08-29,1.14,1.14,1.12,1.12,55000.0,0.0
42,2008-12-02,0.52,0.52,0.51,0.51,240000.0,0.0
43,2008-12-03,0.5,0.5,0.43,0.43,50000.0,0.0
44,2008-12-05,0.4,0.4,0.4,0.4,10000.0,0.0
45,2008-12-08,0.35,0.35,0.34,0.34,110000.0,0.0
46,2008-12-09,0.45,0.45,0.37,0.37,550000.0,0.0
47,2008-12-10,0.35,0.35,0.35,0.35,100000.0,0.0
48,2008-12-11,0.35,0.35,0.34,0.34,170000.0,0.0
49,2008-12-12,0.34,0.34,0.34,0.34,100000.0,0.0
50,2008-12-15,0.34,0.34,0.34,0.34,110000.0,0.0
51,2008-12-16,0.34,0.34,0.34,0.34,100000.0,0.0
52,2008-12-17,0.34,0.34,0.34,0.34,100000.0,0.0
53,2008-12-18,0.34,0.34,0.34,0.34,100000.0,0.0
54,2008-12-23,0.34,0.44,0.34,0.44,360000.0,107900.0
55,2008-12-24,0.36,0.44,0.36,0.44,60000.0,0.0
56,2008-02-01,2.5,2.55,2.5,2.55,1536000.0,0.0
57,2008-02-04,2.55,2.55,2.5,2.55,690000.0,0.0
58,2008-02-05,2.5,2.55,2.48,2.5,10959000.0,0.0
59,2008-02-06,2.46,2.5,2.46,2.46,10102000.0,0.0
60,2008-02-07,2.44,2.46,2.42,2.44,341000.0,0.0
61,2008-02-08,2.44,2.44,2.34,2.34,2853000.0,0.0
62,2008-02-12,2.4,2.4,2.4,2.4,6000.0,0.0
63,2008-02-13,2.1,2.24,2.08,2.08,1571000.0,0.0
64,2008-02-14,2.04,2.18,2.0,2.04,2006000.0,-120.0
65,2008-02-15,2.04,2.04,2.04,2.04,95000.0,0.0
66,2008-02-18,2.02,2.24,2.02,2.18,3108000.0,0.0
67,2008-02-19,2.2,2.24,2.18,2.18,623000.0,0.0
68,2008-02-20,2.12,2.12,2.06,2.06,721000.0,0.0
69,2008-02-21,2.04,2.1,2.04,2.1,156000.0,0.0
70,2008-02-22,2.08,2.08,2.0,2.0,790000.0,0.0
71,2008-02-26,2.0,2.0,1.9,2.0,436000.0,95000.0
72,2008-02-27,2.02,2.02,2.0,2.0,90000.0,0.0
73,2008-02-28,1.98,2.0,1.98,2.0,2113000.0,0.0
74,2008-02-29,2.0,2.0,1.98,2.0,329000.0,0.0
75,2008-01-02,3.3,3.3,3.25,3.3,2816000.0,0.0
76,2008-01-03,3.25,3.25,3.15,3.2,3906000.0,-472500.0
77,2008-01-04,3.15,3.15,3.1,3.1,2426000.0,-315000.0
78,2008-01-07,3.1,3.1,2.9,3.0,4332000.0,91500.0
79,2008-01-08,2.95,3.0,2.9,2.95,3025000.0,0.0
80,2008-01-09,2.9,3.15,2.9,3.15,5305000.0,-310000.0
81,2008-01-10,3.15,3.25,3.15,3.2,6575000.0,-128000.0
82,2008-01-11,3.2,3.2,3.2,3.2,1467000.0,64000.0
83,2008-01-14,3.2,3.2,3.15,3.15,914000.0,0.0
84,2008-01-15,3.2,3.2,3.15,3.2,1561000.0,0.0
85,2008-01-16,3.1,3.1,3.05,3.1,816000.0,0.0
86,2008-01-17,3.05,3.15,3.0,3.1,47348000.0,-8646500.0
87,2008-01-18,3.0,3.1,3.0,3.1,10188000.0,-15134100.0
88,2008-01-21,3.0,3.0,3.0,3.0,200000.0,0.0
89,2008-01-22,2.95,2.95,2.5,2.5,2256000.0,-2085650.0
90,2008-01-23,2.7,2.75,2.55,2.6,1694000.0,-2297000.0
91,2008-01-24,2.75,2.75,2.65,2.65,1193000.0,-1123000.0
92,2008-01-25,2.65,2.65,2.6,2.65,426000.0,0.0
93,2008-01-28,2.6,2.6,2.6,2.6,1015000.0,-1916200.0
94,2008-01-29,2.6,2.6,2.55,2.6,4813000.0,-6515250.0
95,2008-01-30,2.5,2.55,2.5,2.55,279000.0,0.0
