,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,1.28,1.28,1.28,1.28,412000,15360
1,2006-08-02,1.28,1.28,1.26,1.26,760000,378000
2,2006-08-03,1.24,1.28,1.24,1.28,205000,-176400
3,2006-08-04,1.24,1.36,1.24,1.32,2073000,1506580
4,2006-08-07,1.36,1.44,1.36,1.4,3984000,2426700
5,2006-08-08,1.36,1.36,1.32,1.36,1692000,774480
6,2006-08-09,1.34,1.34,1.32,1.34,480000,0
7,2006-08-11,1.32,1.32,1.3,1.3,1079000,0
8,2006-08-14,1.28,1.28,1.28,1.28,100000,0
9,2006-08-16,1.26,1.26,1.26,1.26,400000,0
10,2006-08-17,1.26,1.28,1.24,1.24,830000,0
11,2006-12-04,1.04,1.04,1.04,1.04,220000,0
12,2006-12-05,1.02,1.02,1.02,1.02,30000,0
13,2006-12-06,0.98,0.98,0.98,0.98,500000,-490000
14,2006-12-08,0.98,0.99,0.98,0.99,210000,0
15,2006-12-11,1.0,1.06,1.0,1.04,850000,0
16,2006-12-12,1.02,1.02,1.0,1.0,118000,0
17,2006-12-14,1.02,1.02,1.02,1.02,150000,0
18,2006-12-15,1.02,1.02,1.02,1.02,80000,0
19,2006-12-18,1.02,1.08,1.02,1.08,1558000,0
20,2006-12-19,1.02,1.04,1.02,1.04,725000,0
21,2006-12-20,1.02,1.02,1.0,1.02,2010000,-2010000
22,2006-12-21,1.02,1.02,1.02,1.02,10000,0
23,2006-12-22,1.0,1.0,1.0,1.0,113000,0
24,2006-12-27,1.0,1.06,0.99,1.06,7050000,0
25,2006-12-28,1.02,1.04,1.02,1.04,610000,102000
26,2006-11-02,0.97,0.97,0.96,0.96,110000,0
27,2006-11-03,0.96,0.96,0.96,0.96,70000,9600
28,2006-11-06,0.96,0.96,0.96,0.96,170000,57600
29,2006-11-07,0.95,0.95,0.95,0.95,80000,0
30,2006-11-08,0.95,0.95,0.95,0.95,50000,0
31,2006-11-09,0.95,0.95,0.94,0.94,250000,0
32,2006-11-10,0.94,0.94,0.93,0.93,70000,0
