,Date,Open,High,Low,Close,Volume,OtherData
0,2007-08-01,7.0,7.0,6.7,6.8,244000.0,0.0
1,2007-08-02,6.5,6.6,5.9,6.0,368000.0,0.0
2,2007-08-03,6.0,6.0,4.9,5.2,368000.0,0.0
3,2007-08-06,5.1,5.1,4.4,5.0,519000.0,0.0
4,2007-08-07,5.2,5.6,5.2,5.4,351000.0,0.0
5,2007-08-08,5.7,5.8,5.5,5.6,344000.0,0.0
6,2007-08-09,5.8,6.1,5.8,6.0,476000.0,0.0
7,2007-08-10,5.7,5.7,5.5,5.6,88000.0,0.0
8,2007-08-13,5.5,5.6,5.4,5.4,191000.0,0.0
9,2007-08-14,5.7,5.7,5.2,5.2,21000.0,0.0
10,2007-08-15,5.2,5.2,4.8,5.2,290000.0,0.0
11,2007-08-16,5.0,5.1,5.0,5.1,455000.0,-51000.0
12,2007-08-17,6.0,6.0,5.3,5.3,134000.0,0.0
13,2007-08-21,5.8,5.9,5.5,5.8,240000.0,46400.0
14,2007-08-23,5.9,5.9,5.8,5.8,158000.0,0.0
15,2007-08-24,5.7,5.7,5.7,5.7,6000.0,0.0
16,2007-08-28,5.7,5.9,5.7,5.8,308000.0,0.0
17,2007-08-29,5.8,5.8,5.6,5.8,15000.0,0.0
18,2007-08-30,5.9,6.0,5.9,6.0,50000.0,0.0
19,2007-08-31,6.1,7.0,6.1,6.8,946000.0,0.0
20,2007-12-03,5.6,5.6,5.5,5.5,32000.0,0.0
21,2007-12-04,5.5,5.5,5.5,5.5,19000.0,0.0
22,2007-12-05,5.6,5.6,5.6,5.6,11000.0,0.0
23,2007-12-06,5.6,6.0,5.6,6.0,4000.0,0.0
24,2007-12-07,6.0,6.8,6.0,6.5,132000.0,-67000.0
25,2007-12-10,6.7,6.9,6.7,6.9,288000.0,-6800.0
26,2007-12-11,6.9,6.9,6.8,6.9,40000.0,0.0
27,2007-12-12,6.9,6.9,6.3,6.6,5000.0,0.0
28,2007-12-14,6.6,6.6,6.3,6.3,32000.0,66000.0
29,2007-12-17,6.2,6.2,6.2,6.2,26000.0,0.0
30,2007-12-18,6.2,6.2,6.2,6.2,10000.0,0.0
31,2007-12-19,6.1,6.1,6.0,6.0,22000.0,0.0
32,2007-12-20,6.1,6.1,6.1,6.1,6000.0,0.0
33,2007-12-26,6.4,6.4,6.4,6.4,11000.0,0.0
34,2007-12-27,6.3,6.3,6.3,6.3,7000.0,0.0
35,2007-12-28,6.3,6.3,6.3,6.3,10000.0,0.0
36,2007-07-31,7.5,7.6,7.0,7.0,610000.0,0.0
37,2007-11-05,6.4,6.4,6.4,6.4,185000.0,0.0
38,2007-11-06,6.3,6.4,6.3,6.3,215000.0,0.0
39,2007-11-07,6.3,6.3,6.3,6.3,306000.0,0.0
40,2007-11-08,6.2,6.2,6.2,6.2,80000.0,-124000.0
41,2007-11-09,6.2,6.3,6.2,6.2,38000.0,0.0
42,2007-11-12,6.0,6.1,6.0,6.1,6000.0,0.0
43,2007-11-13,6.1,6.2,6.1,6.1,45000.0,-62000.0
44,2007-11-14,6.1,6.1,6.0,6.0,98000.0,0.0
45,2007-11-15,6.0,6.0,5.9,5.9,99000.0,0.0
46,2007-11-16,5.8,5.8,5.7,5.7,82000.0,0.0
47,2007-11-19,5.7,5.7,5.7,5.7,76000.0,0.0
48,2007-11-20,5.6,5.6,5.5,5.6,25000.0,-56000.0
49,2007-11-21,5.4,5.4,5.4,5.4,31000.0,0.0
50,2007-11-22,5.3,5.3,5.1,5.1,49000.0,0.0
51,2007-11-23,5.6,5.6,5.3,5.4,32000.0,0.0
52,2007-11-26,5.4,5.4,5.4,5.4,15000.0,0.0
53,2007-11-27,5.4,5.4,5.4,5.4,10000.0,0.0
54,2007-11-28,5.5,5.5,5.5,5.5,57000.0,0.0
55,2007-11-29,5.6,5.7,5.5,5.5,70000.0,0.0
56,2007-10-01,7.1,7.3,7.1,7.2,448000.0,0.0
57,2007-10-02,7.3,7.8,7.3,7.8,4854000.0,0.0
58,2007-10-03,8.1,8.5,8.0,8.5,7275000.0,1680000.0
59,2007-10-22,7.0,7.7,6.5,7.0,2484000.0,-716200.0
60,2007-10-23,7.2,7.4,7.0,7.0,840000.0,-73000.0
61,2007-10-24,7.1,7.3,7.1,7.1,344000.0,0.0
62,2007-10-25,7.0,7.1,6.9,6.9,578000.0,0.0
63,2007-10-26,7.0,7.0,6.7,6.7,319000.0,0.0
64,2007-10-30,6.7,6.7,6.4,6.4,185000.0,0.0
65,2007-10-31,6.3,6.4,6.3,6.4,108000.0,0.0
66,2007-09-03,7.0,7.4,6.9,7.4,881000.0,0.0
67,2007-09-04,7.5,7.6,7.1,7.2,541000.0,0.0
68,2007-09-05,7.2,7.3,7.2,7.3,137000.0,0.0
69,2007-09-06,7.2,7.3,7.1,7.1,187000.0,0.0
70,2007-09-07,7.2,7.4,7.2,7.3,448000.0,0.0
71,2007-09-10,7.0,7.0,6.9,7.0,123000.0,0.0
72,2007-09-11,7.0,7.0,6.8,6.8,176000.0,0.0
73,2007-09-12,7.0,7.0,6.9,6.9,17000.0,0.0
74,2007-09-13,7.0,7.1,7.0,7.0,127000.0,0.0
75,2007-09-14,7.0,7.1,6.9,6.9,177000.0,0.0
76,2007-09-17,6.5,7.0,6.5,6.9,189000.0,0.0
77,2007-09-18,7.0,7.1,7.0,7.0,106000.0,0.0
78,2007-09-19,7.0,7.0,7.0,7.0,122000.0,0.0
79,2007-09-20,7.1,7.1,7.0,7.0,36000.0,0.0
80,2007-09-21,7.0,7.1,7.0,7.1,326000.0,0.0
81,2007-09-24,7.0,7.0,7.0,7.0,39000.0,0.0
82,2007-09-25,6.9,7.0,6.9,7.0,106000.0,0.0
