,Date,Open,High,Low,Close,Volume,OtherData
0,2010-07-02,7.6,7.6,7.6,7.6,4000,-30400
1,2010-07-05,8.0,8.0,7.9,7.9,3000,0
2,2010-07-06,7.9,7.9,7.9,7.9,1000,0
3,2010-07-07,7.9,7.9,7.9,7.9,1000,0
4,2010-07-08,7.9,7.9,7.7,7.7,3000,0
5,2010-07-09,7.6,7.7,7.5,7.7,7000,0
6,2010-07-12,7.7,7.7,7.7,7.7,2000,0
7,2010-07-14,7.9,7.9,7.7,7.9,25000,30800
8,2010-07-15,7.9,8.0,7.8,7.9,99000,536700
9,2010-07-16,7.9,7.9,7.9,7.9,1000,0
10,2010-07-19,8.0,8.0,8.0,8.0,14000,104000
11,2010-07-20,8.1,8.1,8.0,8.1,26000,184000
12,2010-07-21,8.1,8.1,7.9,7.9,56000,0
13,2010-07-22,8.0,8.0,7.9,7.9,2000,-8000
14,2010-07-23,8.0,8.0,7.9,8.0,8000,-32000
15,2010-06-04,8.5,8.5,8.1,8.1,3000,0
16,2010-06-08,7.6,7.6,7.6,7.6,8000,0
17,2010-06-17,7.8,7.8,7.8,7.8,16000,0
18,2010-06-18,7.8,7.8,7.5,7.8,10000,0
19,2010-06-21,7.9,7.9,7.9,7.9,1000,0
20,2010-06-23,7.9,7.9,7.9,7.9,14000,0
21,2010-06-24,7.9,7.9,7.9,7.9,1000,0
22,2010-06-25,7.9,7.9,7.9,7.9,3000,0
23,2010-07-26,7.9,8.0,7.9,8.0,3700,29430
24,2010-07-28,7.9,7.9,7.9,7.9,11500,0
25,2010-07-29,7.7,7.7,7.7,7.7,10600,8470
26,2010-07-30,7.9,7.9,7.9,7.9,19500,0
27,2010-08-03,7.8,7.8,7.8,7.8,79500,30420
28,2010-08-04,7.5,7.6,7.5,7.6,1300,0
29,2010-08-05,7.6,7.6,7.5,7.5,800,-2250
30,2010-08-06,7.6,7.6,7.5,7.5,4600,0
31,2010-08-09,7.5,7.5,7.5,7.5,28000,-22500
32,2010-08-10,7.5,7.5,7.5,7.5,9700,0
33,2010-08-11,7.5,7.6,7.5,7.55,43000,0
34,2010-08-12,7.3,7.3,7.3,7.3,22300,0
