,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,1.0,1.0,1.0,1.0,77000,0
1,2006-08-02,1.0,1.0,1.0,1.0,10000,-10000
2,2006-08-04,1.0,1.0,1.0,1.0,430000,300000
3,2006-08-08,0.99,0.99,0.99,0.99,530000,405900
4,2006-08-10,1.0,1.0,1.0,1.0,200000,200000
5,2006-08-11,1.0,1.0,1.0,1.0,700000,640000
6,2006-08-15,1.0,1.0,1.0,1.0,20000,0
7,2006-08-17,1.0,1.0,1.0,1.0,20000,0
8,2006-12-04,1.38,1.4,1.38,1.38,147000,0
9,2006-12-05,1.36,1.36,1.34,1.36,688000,0
10,2006-12-06,1.34,1.34,1.34,1.34,230000,0
11,2006-12-07,1.32,1.32,1.32,1.32,22000,0
12,2006-12-08,1.32,1.34,1.32,1.34,317000,0
13,2006-12-11,1.32,1.32,1.32,1.32,504000,0
14,2006-12-12,1.34,1.34,1.34,1.34,216000,0
15,2006-12-13,1.34,1.34,1.32,1.34,196000,0
16,2006-12-14,1.34,1.36,1.34,1.34,113000,0
17,2006-12-15,1.36,1.36,1.36,1.36,174000,0
18,2006-12-18,1.32,1.32,1.32,1.32,4000,0
19,2006-12-19,1.34,1.4,1.34,1.4,127000,0
20,2006-12-20,1.38,1.38,1.38,1.38,60000,0
21,2006-12-21,1.4,1.4,1.4,1.4,1000,0
22,2006-12-29,1.32,1.32,1.32,1.32,400000,0
23,2006-11-02,1.24,1.24,1.24,1.24,550000,0
24,2006-11-03,1.24,1.24,1.22,1.22,420000,0
25,2006-11-06,1.22,1.26,1.22,1.26,163000,0
26,2006-11-07,1.26,1.36,1.26,1.36,314000,-66000
27,2006-11-08,1.36,1.36,1.28,1.28,117000,0
28,2006-11-09,1.3,1.3,1.3,1.3,100000,0
29,2006-11-10,1.3,1.32,1.3,1.32,22000,0
30,2006-11-13,1.3,1.34,1.3,1.3,438000,0
31,2006-11-14,1.3,1.32,1.3,1.3,210000,0
32,2006-11-15,1.32,1.4,1.32,1.38,1050000,0
33,2006-11-16,1.38,1.38,1.38,1.38,344000,0
34,2006-11-17,1.38,1.38,1.38,1.38,202000,0
35,2006-11-20,1.42,1.46,1.42,1.46,576000,0
36,2006-11-21,1.48,1.5,1.46,1.5,1215000,0
37,2006-11-22,1.5,1.5,1.48,1.5,733000,448760
38,2006-11-23,1.46,1.46,1.44,1.46,385000,0
39,2006-11-24,1.44,1.44,1.44,1.44,75000,0
40,2006-11-27,1.44,1.44,1.44,1.44,30000,0
41,2006-11-28,1.42,1.44,1.42,1.42,191000,0
