Date,Unnamed: 0,Open,High,Low,Close,Volume,OtherData,EMA-18,EMA-50,EMA-100
2006-08-01,0,4.35,4.45,4.25,4.25,5758000.0,-314350.0,,,
2006-08-02,1,4.25,4.25,4.1,4.2,6449000.0,-12482150.0,,,
2006-08-03,2,4.2,4.3,4.2,4.25,1981000.0,-1080900.0,,,
2006-08-04,3,4.25,4.4,4.25,4.35,4679000.0,-5858350.0,,,
2006-08-07,4,4.35,4.35,4.25,4.3,1217000.0,-1576500.0,,,
2006-08-08,5,4.3,4.3,4.25,4.25,1164000.0,-2139700.0,,,
2006-08-09,6,4.25,4.25,4.2,4.25,1049000.0,-933250.0,,,
2006-08-10,7,4.25,4.25,4.15,4.2,2319000.0,-6662650.0,,,
2006-08-11,8,4.2,4.2,4.1,4.2,1405000.0,-4996150.0,,,
2006-08-14,9,4.2,4.2,4.15,4.2,1114000.0,-2797950.0,,,
2006-08-15,10,4.15,4.25,4.1,4.25,933000.0,1109100.0,,,
2006-08-16,11,4.2,4.3,4.2,4.3,2699000.0,1690000.0,,,
2006-08-17,12,4.3,4.3,4.15,4.2,3000000.0,1875950.0,,,
2006-12-04,13,4.0,4.05,4.0,4.05,3808000.0,-4373050.0,,,
2006-12-05,14,4.0,4.05,4.0,4.05,2639000.0,2608200.0,,,
2006-12-06,15,4.0,4.05,4.0,4.05,3386000.0,6119500.0,,,
2006-12-07,16,4.05,4.05,4.0,4.05,2228000.0,6605350.0,,,
2006-12-08,17,4.05,4.15,4.05,4.1,3863000.0,7049100.0,4.194444444444444,,
2006-12-11,18,4.1,4.15,4.05,4.05,3984000.0,6396700.0,4.179239766081872,,
2006-12-12,19,4.05,4.1,4.05,4.05,3888000.0,-311250.0,4.165635580178516,,
2006-12-13,20,4.1,4.15,4.0,4.05,7618000.0,81000.0,4.153463413843936,,
2006-12-14,21,4.05,4.1,4.05,4.05,5506000.0,1002450.0,4.142572528176153,,
2006-12-15,22,4.05,4.1,4.05,4.1,4620000.0,1643700.0,4.138091209420768,,
2006-12-18,23,4.15,4.15,4.1,4.15,3141000.0,6092200.0,4.139344766323846,,
2006-12-19,24,4.1,4.15,4.05,4.1,5179000.0,9504300.0,4.135203211973966,,
2006-12-20,25,4.05,4.1,4.0,4.05,2865000.0,454550.0,4.126234452818812,,
2006-12-21,26,4.1,4.15,4.1,4.1,3859000.0,9721100.0,4.123472931469463,,
2006-12-22,27,4.1,4.15,4.1,4.1,3780000.0,6585050.0,4.12100209657794,,
2006-12-27,28,4.05,4.15,4.05,4.05,3510000.0,-3119500.0,4.113528191674998,,
2006-12-28,29,4.05,4.1,4.05,4.1,4448000.0,10930600.0,4.112104171498683,,
2006-12-29,30,4.1,4.1,4.05,4.1,1819000.0,295200.0,4.1108300481830335,,
2006-11-02,31,4.15,4.25,4.15,4.2,4136000.0,3088200.0,4.120216358900608,,
2006-11-03,32,4.25,4.4,4.25,4.35,13561000.0,31389800.0,4.144404110595281,,
2006-11-06,33,4.35,4.35,4.25,4.35,3828000.0,8753850.0,4.166045783164199,,
2006-11-07,34,4.35,4.35,4.25,4.3,1990000.0,-3296050.0,4.180146227041652,,
2006-11-08,35,4.3,4.3,4.15,4.2,5493000.0,4068500.0,4.182236097879373,,
