,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,0.075,0.075,0.07,0.07,8300000,-89000
1,2006-08-03,0.07,0.07,0.07,0.07,400000,0
2,2006-08-04,0.07,0.075,0.07,0.075,5000000,0
3,2006-08-07,0.0725,0.0725,0.0725,0.0725,100000,0
4,2006-08-08,0.075,0.075,0.075,0.075,3500000,0
5,2006-08-09,0.075,0.08,0.075,0.08,11800000,0
6,2006-08-10,0.0825,0.0875,0.08,0.085,12300000,-242250
7,2006-08-11,0.08,0.0825,0.08,0.08,3000000,-80000
8,2006-08-14,0.08,0.08,0.08,0.08,700000,0
9,2006-08-15,0.0775,0.0775,0.0775,0.0775,1100000,0
10,2006-08-16,0.0775,0.0775,0.0775,0.0775,400000,0
11,2006-08-17,0.0775,0.08,0.0775,0.08,2600000,0
12,2006-12-04,0.19,0.195,0.19,0.19,14450000,0
13,2006-12-05,0.19,0.2,0.19,0.195,3590000,0
14,2006-12-06,0.2,0.205,0.195,0.195,4460000,0
15,2006-12-07,0.19,0.19,0.17,0.18,15260000,0
16,2006-12-08,0.18,0.18,0.175,0.18,8540000,0
17,2006-12-11,0.18,0.18,0.175,0.175,5170000,0
18,2006-12-12,0.175,0.185,0.175,0.18,4270000,0
19,2006-12-13,0.175,0.185,0.175,0.18,5190000,0
20,2006-12-14,0.185,0.2,0.185,0.19,22360000,0
21,2006-12-15,0.195,0.205,0.195,0.195,17220000,0
22,2006-12-18,0.2,0.235,0.195,0.23,69530000,-332500
23,2006-12-19,0.26,0.28,0.225,0.23,177280000,-37700
24,2006-12-20,0.23,0.245,0.22,0.23,33920000,0
25,2006-12-21,0.24,0.24,0.21,0.215,25180000,0
26,2006-12-22,0.215,0.215,0.185,0.2,34040000,38000
27,2006-12-27,0.195,0.2,0.19,0.195,5970000,0
28,2006-12-28,0.19,0.205,0.19,0.2,9770000,0
29,2006-12-29,0.2,0.205,0.195,0.2,9760000,0
30,2006-11-02,0.18,0.18,0.18,0.18,650000,0
31,2006-11-03,0.175,0.175,0.175,0.175,2370000,0
32,2006-11-06,0.175,0.18,0.175,0.175,3730000,0
33,2006-11-07,0.175,0.185,0.17,0.18,8910000,0
34,2006-11-08,0.185,0.185,0.175,0.18,13080000,0
35,2006-11-09,0.18,0.19,0.18,0.18,15290000,0
36,2006-11-10,0.185,0.185,0.17,0.175,14010000,0
37,2006-11-13,0.175,0.175,0.175,0.175,3700000,0
38,2006-11-14,0.175,0.175,0.17,0.17,1050000,0
39,2006-11-15,0.17,0.175,0.17,0.175,5220000,0
40,2006-11-16,0.17,0.175,0.17,0.175,5570000,0
41,2006-11-17,0.18,0.195,0.18,0.185,36880000,0
42,2006-11-20,0.195,0.195,0.185,0.185,8060000,0
43,2006-11-21,0.19,0.19,0.18,0.18,770000,0
44,2006-11-22,0.185,0.185,0.175,0.175,4500000,0
45,2006-11-23,0.18,0.195,0.18,0.185,12360000,19000
46,2006-11-24,0.18,0.215,0.18,0.205,59870000,105000
47,2006-11-27,0.21,0.24,0.21,0.23,73150000,-156500
48,2006-11-28,0.23,0.23,0.215,0.225,21170000,0
49,2006-11-29,0.23,0.23,0.195,0.2,38180000,0
50,2006-11-30,0.21,0.215,0.2,0.205,13400000,0
51,2006-10-02,0.135,0.14,0.135,0.14,3300000,0
52,2006-10-03,0.14,0.14,0.13,0.13,2300000,0
53,2006-10-04,0.125,0.13,0.125,0.13,860000,0
54,2006-10-05,0.135,0.15,0.135,0.15,5050000,0
55,2006-10-06,0.15,0.155,0.14,0.14,4910000,0
56,2006-10-09,0.145,0.145,0.135,0.14,3550000,0
57,2006-10-10,0.14,0.14,0.14,0.14,500000,0
58,2006-10-11,0.14,0.145,0.14,0.14,3000000,0
59,2006-10-12,0.145,0.145,0.145,0.145,4160000,0
60,2006-10-13,0.15,0.15,0.145,0.145,2120000,0
61,2006-10-16,0.145,0.16,0.145,0.155,13050000,0
62,2006-10-17,0.155,0.165,0.15,0.155,29960000,0
63,2006-10-18,0.16,0.18,0.16,0.175,59790000,-33500
64,2006-10-19,0.185,0.2,0.185,0.185,83070000,-14500
65,2006-10-20,0.19,0.19,0.17,0.175,28160000,0
66,2006-10-23,0.175,0.175,0.17,0.17,7200000,0
67,2006-10-25,0.17,0.18,0.17,0.175,12050000,0
68,2006-10-26,0.175,0.18,0.17,0.17,4840000,0
69,2006-10-27,0.175,0.185,0.17,0.185,15410000,-9000
70,2006-10-30,0.18,0.185,0.18,0.185,6060000,0
71,2006-10-31,0.185,0.185,0.175,0.18,10350000,90000
72,2006-09-01,0.17,0.17,0.165,0.165,16160000,16500
73,2006-09-04,0.165,0.175,0.165,0.165,11740000,0
74,2006-09-05,0.16,0.16,0.12,0.12,14190000,0
75,2006-09-06,0.12,0.125,0.115,0.115,14800000,0
76,2006-09-07,0.115,0.12,0.115,0.12,3660000,0
77,2006-09-08,0.115,0.115,0.1,0.105,15290000,0
78,2006-09-11,0.105,0.12,0.105,0.11,6460000,0
79,2006-09-12,0.105,0.105,0.1,0.105,3260000,-10000
80,2006-09-13,0.11,0.11,0.1,0.1,2800000,0
81,2006-09-14,0.105,0.105,0.105,0.105,2700000,0
82,2006-09-15,0.11,0.14,0.11,0.125,26630000,0
83,2006-09-18,0.13,0.155,0.13,0.15,32780000,47800
84,2006-09-19,0.155,0.17,0.15,0.155,31710000,0
85,2006-09-20,0.15,0.165,0.145,0.16,23950000,0
86,2006-09-21,0.165,0.17,0.16,0.165,25020000,-1500
87,2006-09-22,0.165,0.165,0.155,0.16,10080000,0
88,2006-09-25,0.16,0.165,0.16,0.16,2200000,0
89,2006-09-26,0.155,0.155,0.145,0.145,14810000,0
90,2006-09-27,0.145,0.15,0.145,0.145,5980000,0
91,2007-04-02,0.32,0.33,0.32,0.33,3690000,0
92,2007-04-03,0.33,0.33,0.32,0.33,5280000,0
93,2007-04-04,0.34,0.35,0.34,0.34,10580000,2203200
94,2007-04-10,0.35,0.35,0.34,0.35,4430000,0
95,2007-04-11,0.35,0.35,0.33,0.33,6360000,0
96,2007-04-12,0.33,0.34,0.32,0.33,7510000,0
97,2007-04-13,0.34,0.34,0.32,0.32,3750000,0
98,2007-04-16,0.33,0.34,0.33,0.34,1420000,0
99,2007-04-17,0.34,0.34,0.33,0.34,5620000,0
100,2007-04-18,0.34,0.35,0.33,0.35,4910000,0
101,2007-04-19,0.34,0.34,0.33,0.33,5270000,0
102,2007-04-20,0.33,0.33,0.32,0.33,13570000,96000
103,2007-04-23,0.33,0.33,0.32,0.32,6770000,0
104,2007-04-24,0.31,0.32,0.3,0.31,25420000,310000
105,2007-04-25,0.31,0.31,0.3,0.3,25700000,90000
106,2007-04-26,0.31,0.31,0.3,0.3,6430000,-93000
107,2007-04-27,0.3,0.3,0.29,0.3,10340000,0
108,2007-04-30,0.3,0.3,0.28,0.28,3850000,0
109,2007-08-01,0.46,0.47,0.43,0.44,27840000,-44000
110,2007-08-02,0.44,0.47,0.38,0.39,31790000,-7800
111,2007-08-03,0.41,0.41,0.3,0.33,59550000,15500
112,2007-08-06,0.3,0.33,0.29,0.31,32770000,-108600
113,2007-08-07,0.33,0.36,0.33,0.35,46670000,159000
114,2007-08-08,0.35,0.42,0.35,0.39,78200000,-252200
115,2007-08-09,0.42,0.45,0.42,0.43,78880000,645800
116,2007-08-10,0.37,0.4,0.36,0.38,75320000,370000
117,2007-08-13,0.4,0.4,0.36,0.36,27260000,0
118,2007-08-14,0.36,0.37,0.34,0.36,27790000,0
119,2007-08-15,0.33,0.34,0.32,0.34,21330000,0
120,2007-08-16,0.32,0.32,0.31,0.31,16690000,62000
121,2007-08-17,0.31,0.33,0.28,0.28,31920000,464000
122,2007-08-21,0.32,0.34,0.32,0.34,37160000,0
123,2007-08-22,0.33,0.36,0.32,0.35,32760000,-38500
124,2007-08-23,0.37,0.38,0.36,0.36,25780000,3200
125,2007-08-24,0.36,0.36,0.35,0.35,13990000,-514500
126,2007-08-28,0.35,0.37,0.34,0.36,14470000,-361100
127,2007-08-29,0.34,0.34,0.33,0.33,13960000,-629000
128,2007-08-30,0.35,0.36,0.35,0.35,15480000,-248300
129,2007-08-31,0.36,0.37,0.35,0.36,17080000,-14500
130,2007-12-03,0.36,0.37,0.36,0.36,2810000,-18000
