,Date,Open,High,Low,Close,Volume,OtherData
0,2006-12-14,16.5,17.0,16.5,17.0,6000,0
1,2006-12-15,17.0,17.0,17.0,17.0,1000,0
2,2006-12-20,19.0,19.0,19.0,19.0,1000,0
3,2006-12-21,20.0,23.0,20.0,23.0,1100,0
4,2006-12-27,23.0,23.0,23.0,23.0,1900,0
5,2006-12-29,24.0,24.0,23.0,23.0,900,0
6,2006-11-02,11.0,11.0,10.75,10.75,3000,0
7,2006-11-03,10.5,10.5,10.5,10.5,1000,0
8,2006-11-10,8.6,8.6,8.6,8.6,3000,0
9,2006-11-13,10.0,10.0,10.0,10.0,1000,0
10,2006-11-14,11.75,12.0,11.75,12.0,2000,0
11,2006-11-15,12.0,12.0,12.0,12.0,6000,0
12,2006-11-17,13.0,15.0,13.0,15.0,2000,0
13,2006-11-23,15.0,15.0,15.0,15.0,2000,0
14,2006-10-13,11.0,11.0,11.0,11.0,2000,0
15,2006-09-01,3.35,3.35,3.35,3.35,1000,0
16,2006-09-04,5.0,5.0,5.0,5.0,1000,0
17,2006-09-05,7.5,7.5,7.5,7.5,1000,0
18,2006-09-07,11.25,11.25,11.25,11.25,1000,0
19,2006-09-11,11.25,11.25,11.25,11.25,2000,0
20,2006-09-12,8.0,8.0,8.0,8.0,8000,0
21,2006-09-15,10.0,10.0,10.0,10.0,2000,0
22,2006-09-18,12.0,12.0,12.0,12.0,1000,0
23,2006-09-19,13.0,13.0,13.0,13.0,1000,0
24,2006-09-22,12.0,12.0,12.0,12.0,1000,0
25,2006-09-27,12.0,12.0,12.0,12.0,8000,0
26,2007-12-17,11.75,11.75,11.75,11.75,10000,0
27,2007-12-26,11.75,17.5,11.75,17.5,600,0
28,2007-02-12,18.0,18.0,18.0,18.0,1000,0
29,2007-02-23,22.0,22.0,22.0,22.0,100,0
30,2007-02-28,18.5,18.5,18.5,18.5,3300,0
31,2007-01-02,23.0,25.5,23.0,25.5,3300,0
32,2007-01-04,24.0,24.0,24.0,24.0,2000,0
33,2007-01-11,17.25,17.25,17.0,17.0,7000,0
34,2007-01-12,17.25,17.25,17.25,17.25,3000,0
35,2007-01-16,24.0,24.0,24.0,24.0,1000,0
36,2007-01-17,24.0,24.0,24.0,24.0,800,0
37,2007-01-23,24.0,24.0,24.0,24.0,3000,0
38,2007-01-24,24.75,24.75,24.75,24.75,1000,0
39,2007-06-20,24.5,28.0,24.5,28.0,33800,0
40,2007-06-21,29.0,29.0,29.0,29.0,3000,0
41,2007-06-25,27.5,27.5,27.5,27.5,2000,0
42,2007-03-13,18.5,18.5,18.5,18.5,20000,0
43,2007-05-03,18.5,18.5,18.5,18.5,3300,0
44,2007-05-09,23.0,23.0,23.0,23.0,600,0
45,2007-05-24,23.0,23.0,23.0,23.0,1000,0
46,2007-05-25,23.0,23.0,23.0,23.0,1000,0
47,2007-10-23,23.0,23.0,23.0,23.0,1000,0
48,2007-10-24,23.0,23.0,22.5,22.5,1000,0
49,2007-10-25,22.0,22.0,19.0,19.0,300,0
50,2007-10-31,19.0,19.0,19.0,19.0,4600,0
51,2007-09-13,25.0,25.0,25.0,25.0,2000,0
52,2007-09-14,25.0,25.0,25.0,25.0,700,0
53,2008-08-14,10.0,10.0,10.0,10.0,3000,0
54,2008-07-21,5.2,7.5,5.2,7.5,2000,0
55,2008-07-25,9.9,9.9,9.9,9.9,1000,0
56,2008-07-28,10.0,10.0,10.0,10.0,4000,0
57,2008-06-05,10.25,10.25,10.25,10.25,20000,0
58,2008-06-06,10.5,10.5,10.5,10.5,5000,0
59,2008-06-11,10.75,10.75,10.75,10.75,100,0
60,2008-06-26,10.0,10.0,6.5,7.5,12000,0
61,2008-03-13,10.5,24.5,10.5,24.5,5100,0
62,2008-03-18,17.0,17.0,17.0,17.0,2900,28900
63,2008-11-04,7.0,7.0,7.0,7.0,5000,0
64,2008-10-10,6.1,6.1,6.0,6.0,5000,0
65,2008-09-04,11.0,11.0,11.0,11.0,2000,0
66,2008-09-05,10.0,10.0,10.0,10.0,800,0
67,2008-09-26,10.0,10.0,10.0,10.0,2000,0
68,2009-04-13,7.0,8.0,6.1,8.0,30000,0
69,2009-08-26,10.5,10.5,10.5,10.5,100,0
70,2009-12-03,18.0,18.0,18.0,18.0,100,0
71,2009-12-04,18.0,18.0,18.0,18.0,500,0
72,2009-12-08,14.0,14.0,14.0,14.0,1000,0
73,2009-12-15,15.0,17.5,15.0,17.5,400,0
74,2009-12-28,17.0,17.0,17.0,17.0,500,0
75,2009-12-29,17.0,17.0,17.0,17.0,700,0
76,2009-02-26,7.0,7.0,7.0,7.0,1000,0
77,2009-07-21,10.25,10.25,10.25,10.25,20000,0
78,2009-07-22,10.25,10.25,10.25,10.25,20000,0
79,2009-07-27,11.0,11.0,11.0,11.0,18000,0
80,2009-07-28,11.5,11.5,11.25,11.25,15100,0
81,2009-06-04,10.25,10.25,10.25,10.25,2000,0
82,2009-06-05,10.25,10.25,10.25,10.25,1100,0
83,2009-06-08,10.25,10.25,10.25,10.25,1000,0
84,2009-06-18,12.0,12.0,12.0,12.0,600,0
85,2009-06-19,10.25,10.25,10.25,10.25,1000,0
86,2009-06-23,10.25,10.25,10.25,10.25,10000,0
87,2009-06-25,10.25,10.25,10.25,10.25,20000,0
88,2009-05-11,8.0,8.0,8.0,8.0,1000,0
89,2009-11-05,14.25,15.0,14.25,15.0,900,0
90,2009-11-06,15.25,15.25,15.25,15.25,100,0
91,2009-11-09,16.25,16.25,16.25,16.25,2700,0
92,2009-11-12,15.75,16.0,15.75,16.0,2000,0
93,2009-11-13,15.25,15.25,15.25,15.25,4200,0
94,2009-11-19,15.0,15.5,15.0,15.5,2500,0
95,2009-10-01,14.0,14.0,11.5,11.5,5800,0
96,2009-10-02,16.0,16.0,16.0,16.0,300,0
97,2009-10-05,16.0,20.0,16.0,20.0,7800,0
98,2009-10-06,20.0,21.0,19.0,19.0,1700,0
99,2009-10-07,19.0,19.0,17.0,17.0,2300,0
100,2009-10-09,13.0,13.0,13.0,13.0,1000,0
101,2009-10-12,14.25,14.25,14.25,14.25,1500,0
102,2009-10-15,18.0,18.0,18.0,18.0,100,0
103,2009-10-21,17.0,17.0,17.0,17.0,200,0
104,2009-10-22,16.0,16.0,16.0,16.0,200,0
105,2009-10-26,13.75,14.0,13.75,14.0,8100,0
106,2009-10-27,14.0,14.25,14.0,14.0,4000,0
107,2009-10-28,14.0,14.0,13.75,13.75,2100,0
108,2009-09-03,10.5,10.75,10.5,10.75,300,0
109,2009-09-04,11.0,11.0,11.0,11.0,300,0
110,2009-09-18,13.25,16.5,12.5,16.5,34100,0
111,2009-09-22,18.0,24.0,18.0,21.0,54300,-26400
112,2009-09-23,21.0,24.75,20.0,24.0,46100,-10250
113,2009-09-24,24.0,26.0,21.5,21.5,23500,0
114,2009-09-25,21.5,21.5,21.5,21.5,1000,0
115,2009-09-28,17.0,17.0,17.0,17.0,1200,0
116,2009-09-29,16.5,16.5,12.5,13.5,2800,0
117,2010-04-05,19.5,19.5,19.5,19.5,1000,0
118,2010-04-07,21.0,21.5,21.0,21.25,2600,0
119,2010-04-13,19.5,19.5,19.5,19.5,1000,0
120,2010-04-14,19.5,19.5,19.5,19.5,2000,0
121,2010-04-15,19.5,19.5,19.5,19.5,1000,0
122,2010-04-16,19.5,19.5,19.5,19.5,3000,0
