,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,0.23,0.23,0.22,0.22,300000,0
1,2006-08-03,0.225,0.225,0.225,0.225,230000,0
2,2006-08-04,0.235,0.25,0.235,0.25,600000,0
3,2006-08-07,0.25,0.25,0.25,0.25,760000,0
4,2006-08-08,0.25,0.25,0.24,0.25,700000,0
5,2006-08-09,0.26,0.27,0.25,0.25,850000,0
6,2006-08-10,0.27,0.28,0.27,0.27,950000,0
7,2006-08-11,0.25,0.26,0.25,0.26,200000,0
8,2006-08-15,0.26,0.26,0.26,0.26,800000,0
9,2006-12-04,0.38,0.38,0.38,0.38,40000,0
10,2006-12-05,0.36,0.36,0.36,0.36,2200000,0
11,2006-12-06,0.34,0.34,0.34,0.34,3060000,0
12,2006-12-07,0.35,0.35,0.34,0.34,4100000,0
13,2006-12-08,0.35,0.35,0.33,0.33,1050000,0
14,2006-12-11,0.32,0.34,0.32,0.34,300000,0
15,2006-12-12,0.33,0.33,0.33,0.33,500000,0
16,2006-12-13,0.33,0.34,0.33,0.34,120000,0
17,2006-12-14,0.33,0.34,0.33,0.34,3850000,0
18,2006-12-15,0.33,0.35,0.33,0.35,1800000,0
19,2006-12-18,0.35,0.35,0.35,0.35,1110000,0
20,2006-12-19,0.35,0.36,0.35,0.35,2780000,0
21,2006-12-20,0.35,0.35,0.33,0.35,1320000,0
22,2006-12-21,0.35,0.35,0.35,0.35,200000,0
23,2006-11-02,0.32,0.32,0.32,0.32,200000,0
24,2006-11-08,0.33,0.33,0.33,0.33,20000,0
25,2006-11-09,0.34,0.34,0.34,0.34,170000,0
26,2006-11-10,0.34,0.35,0.34,0.35,2300000,0
27,2006-11-13,0.35,0.35,0.35,0.35,1300000,0
28,2006-11-14,0.35,0.36,0.35,0.36,150000,0
29,2006-11-15,0.37,0.37,0.36,0.36,3090000,0
30,2006-11-16,0.36,0.37,0.36,0.37,1850000,0
31,2006-11-21,0.35,0.35,0.35,0.35,100000,0
32,2006-11-22,0.36,0.36,0.36,0.36,200000,0
33,2006-11-23,0.36,0.38,0.36,0.37,1320000,0
34,2006-11-24,0.37,0.41,0.37,0.39,6320000,0
35,2006-11-27,0.39,0.41,0.39,0.39,4800000,0
36,2006-11-28,0.38,0.42,0.38,0.4,6420000,0
37,2006-11-29,0.41,0.41,0.38,0.38,5540000,0
38,2006-11-30,0.39,0.39,0.38,0.38,1100000,0
39,2006-10-03,0.3,0.3,0.3,0.3,100000,0
40,2006-10-05,0.3,0.3,0.3,0.3,690000,0
41,2006-10-06,0.3,0.3,0.3,0.3,200000,0
42,2006-10-09,0.31,0.31,0.31,0.31,800000,0
43,2006-10-11,0.31,0.31,0.3,0.3,1000000,0
44,2006-10-12,0.3,0.31,0.3,0.31,500000,0
45,2006-10-13,0.31,0.31,0.31,0.31,680000,0
46,2006-10-16,0.31,0.31,0.31,0.31,220000,0
47,2006-10-17,0.33,0.36,0.33,0.33,2130000,0
48,2006-10-18,0.33,0.36,0.33,0.34,2200000,0
49,2006-10-19,0.34,0.36,0.34,0.34,1900000,0
50,2006-10-20,0.34,0.35,0.34,0.35,110000,0
51,2006-10-23,0.35,0.37,0.35,0.37,4940000,0
52,2006-10-25,0.36,0.36,0.35,0.36,510000,0
53,2006-10-26,0.37,0.37,0.37,0.37,100000,0
54,2006-10-27,0.36,0.37,0.35,0.35,1550000,0
55,2006-10-30,0.35,0.35,0.35,0.35,700000,0
56,2006-09-01,0.35,0.37,0.35,0.36,2000000,0
57,2006-09-04,0.36,0.37,0.36,0.36,3450000,0
58,2006-09-05,0.36,0.36,0.35,0.35,570000,0
59,2006-09-06,0.34,0.34,0.33,0.33,600000,0
60,2006-09-07,0.33,0.33,0.33,0.33,300000,0
61,2006-09-08,0.31,0.31,0.31,0.31,200000,0
62,2006-09-11,0.3,0.3,0.3,0.3,620000,0
63,2006-09-12,0.3,0.3,0.3,0.3,60000,0
64,2006-09-13,0.3,0.3,0.3,0.3,230000,0
65,2006-09-14,0.3,0.3,0.3,0.3,420000,0
66,2006-09-18,0.3,0.3,0.3,0.3,50000,0
67,2006-09-19,0.31,0.32,0.31,0.32,4780000,0
68,2006-09-21,0.33,0.33,0.32,0.32,1100000,0
69,2006-09-22,0.33,0.33,0.33,0.33,210000,0
70,2006-09-25,0.33,0.33,0.33,0.33,240000,0
71,2006-09-26,0.33,0.33,0.33,0.33,200000,0
72,2006-09-27,0.32,0.32,0.32,0.32,300000,0
73,2007-04-02,0.38,0.41,0.38,0.41,1500000,0
74,2007-04-03,0.4,0.4,0.38,0.39,3150000,0
75,2007-04-04,0.41,0.41,0.41,0.41,2500000,0
76,2007-04-10,0.41,0.41,0.4,0.4,230000,0
77,2007-04-11,0.4,0.4,0.4,0.4,200000,0
78,2007-04-12,0.38,0.39,0.38,0.39,700000,0
79,2007-04-13,0.38,0.38,0.38,0.38,160000,0
80,2007-04-16,0.38,0.38,0.38,0.38,300000,0
81,2007-04-17,0.38,0.38,0.38,0.38,700000,0
82,2007-04-19,0.38,0.38,0.37,0.37,320000,0
83,2007-04-20,0.37,0.41,0.37,0.41,500000,0
84,2007-04-23,0.38,0.38,0.38,0.38,100000,0
85,2007-04-27,0.38,0.38,0.37,0.38,510000,0
86,2007-04-30,0.37,0.38,0.37,0.38,2000000,0
87,2007-08-01,0.6,0.61,0.59,0.61,1820000,0
88,2007-08-02,0.61,0.61,0.56,0.56,4740000,0
89,2007-08-03,0.56,0.56,0.49,0.49,2630000,0
90,2007-08-06,0.43,0.5,0.43,0.5,550000,0
91,2007-08-07,0.5,0.53,0.5,0.53,700000,0
92,2007-08-08,0.54,0.56,0.54,0.56,290000,0
93,2007-08-09,0.56,0.57,0.51,0.51,540000,0
94,2007-08-10,0.49,0.5,0.49,0.5,1470000,0
95,2007-08-13,0.51,0.51,0.5,0.5,630000,0
96,2007-08-14,0.48,0.48,0.48,0.48,500000,0
97,2007-08-15,0.48,0.48,0.47,0.47,1380000,0
98,2007-08-16,0.45,0.45,0.43,0.43,3630000,0
99,2007-08-17,0.43,0.43,0.38,0.38,3970000,0
100,2007-08-21,0.43,0.45,0.42,0.45,680000,0
101,2007-08-22,0.45,0.52,0.45,0.52,6710000,0
102,2007-08-23,0.55,0.58,0.52,0.58,8710000,0
103,2007-08-29,0.52,0.52,0.49,0.49,1560000,0
104,2007-08-31,0.51,0.54,0.51,0.53,1870000,0
105,2007-12-03,0.98,1.18,0.98,1.12,11380000,0
106,2007-12-04,1.18,1.34,1.18,1.3,47716000,0
107,2007-12-05,1.32,1.36,1.28,1.3,17067000,0
108,2007-12-06,1.36,1.52,1.36,1.48,72014000,0
109,2007-12-07,1.44,1.5,1.36,1.42,24477000,0
110,2007-12-10,1.4,1.4,1.34,1.38,2570000,0
111,2007-12-11,1.36,1.44,1.34,1.42,7089000,0
112,2007-12-12,1.4,1.44,1.38,1.38,7380000,0
113,2007-12-13,1.38,1.42,1.36,1.36,3133000,0
114,2007-12-14,1.32,1.36,1.26,1.28,5230000,0
115,2007-12-17,1.26,1.26,1.18,1.26,5818000,0
116,2007-12-18,1.24,1.26,1.22,1.24,1203000,0
117,2007-12-19,1.24,1.26,1.18,1.18,3447000,0
118,2007-12-20,1.18,1.2,1.18,1.18,783000,0
119,2007-12-26,1.24,1.24,1.2,1.2,1819000,0
120,2007-12-27,1.22,1.26,1.22,1.24,3627000,0
121,2007-12-28,1.24,1.24,1.2,1.2,972000,0
122,2007-02-01,0.34,0.34,0.34,0.34,600000,0
123,2007-02-02,0.35,0.35,0.35,0.35,420000,0
124,2007-02-05,0.35,0.35,0.35,0.35,600000,0
125,2007-02-06,0.35,0.35,0.35,0.35,300000,0
126,2007-02-08,0.36,0.37,0.36,0.37,110000,0
127,2007-02-09,0.36,0.39,0.36,0.38,1010000,0
128,2007-02-12,0.37,0.39,0.37,0.37,700000,0
129,2007-02-13,0.39,0.4,0.39,0.39,600000,0
130,2007-02-14,0.39,0.39,0.38,0.38,400000,0
131,2007-02-15,0.38,0.38,0.38,0.38,100000,0
132,2007-02-22,0.37,0.37,0.37,0.37,200000,0
133,2007-02-23,0.36,0.36,0.36,0.36,140000,0
134,2007-02-26,0.39,0.41,0.39,0.41,1990000,0
135,2007-02-27,0.42,0.45,0.4,0.4,2750000,0
136,2007-02-28,0.36,0.36,0.36,0.36,100000,0
137,2007-01-05,0.34,0.34,0.34,0.34,200000,0
138,2007-01-09,0.33,0.33,0.33,0.33,100000,0
139,2007-01-11,0.33,0.34,0.33,0.34,320000,0
140,2007-01-15,0.33,0.33,0.33,0.33,900000,0
141,2007-01-18,0.35,0.35,0.35,0.35,50000,0
142,2007-01-22,0.36,0.36,0.36,0.36,200000,0
143,2007-01-23,0.35,0.35,0.35,0.35,1040000,0
144,2007-01-24,0.35,0.35,0.34,0.34,350000,0
145,2007-01-25,0.34,0.34,0.34,0.34,1060000,0
146,2007-01-26,0.34,0.34,0.34,0.34,70000,0
147,2007-01-30,0.35,0.35,0.35,0.35,350000,0
148,2007-01-31,0.35,0.35,0.35,0.35,1220000,0
149,2007-07-02,0.75,0.75,0.62,0.7,550000,0
150,2007-07-03,0.78,0.78,0.68,0.69,2920000,0
151,2007-07-04,0.74,0.76,0.72,0.75,4160000,0
152,2007-07-05,0.74,0.74,0.71,0.71,2100000,0
153,2007-07-06,0.72,0.72,0.66,0.69,2900000,0
154,2007-07-09,0.69,0.69,0.69,0.69,630000,0
155,2007-07-10,0.68,0.68,0.68,0.68,500000,0
156,2007-07-11,0.68,0.75,0.68,0.7,2700000,0
157,2007-07-12,0.71,0.72,0.71,0.72,520000,0
158,2007-07-13,0.75,0.81,0.75,0.77,4460000,0
159,2007-07-16,0.75,0.76,0.74,0.76,440000,0
160,2007-07-17,0.76,0.76,0.72,0.76,1930000,0
161,2007-07-18,0.76,0.8,0.76,0.77,1880000,0
162,2007-07-19,0.76,0.76,0.74,0.74,1390000,0
163,2007-07-23,0.75,0.75,0.74,0.74,510000,0
164,2007-07-25,0.7,0.7,0.69,0.69,340000,0
165,2007-07-26,0.69,0.71,0.69,0.71,4370000,0
166,2007-07-27,0.74,0.75,0.72,0.72,1070000,0
167,2007-07-30,0.68,0.71,0.58,0.63,2490000,0
168,2007-07-31,0.65,0.66,0.62,0.62,1280000,0
169,2007-06-01,0.83,0.91,0.81,0.86,35220000,0
170,2007-06-04,0.87,0.88,0.79,0.8,13070000,0
171,2007-06-05,0.81,0.88,0.81,0.86,18880000,0
172,2007-06-06,0.86,0.94,0.85,0.89,30660000,0
173,2007-06-07,0.9,0.95,0.88,0.95,25860000,0
174,2007-06-08,0.95,0.98,0.91,0.95,22490000,0
175,2007-06-12,0.96,0.97,0.91,0.91,8520000,0
176,2007-06-13,0.9,0.91,0.86,0.89,7300000,0
177,2007-06-14,0.91,0.92,0.89,0.92,7710000,0
178,2007-06-15,0.91,0.92,0.84,0.84,4450000,0
179,2007-06-18,0.9,0.9,0.85,0.88,1350000,0
180,2007-06-19,0.84,0.87,0.84,0.84,5670000,0
181,2007-06-20,0.85,0.92,0.85,0.89,7270000,0
182,2007-06-21,0.86,0.94,0.86,0.91,8430000,0
183,2007-06-22,0.94,0.94,0.88,0.88,3360000,0
184,2007-06-25,0.87,0.87,0.83,0.84,7720000,0
185,2007-06-26,0.84,0.85,0.84,0.85,2470000,0
186,2007-06-27,0.84,0.84,0.77,0.79,4010000,0
187,2007-06-28,0.79,0.8,0.79,0.79,710000,0
188,2007-06-29,0.78,0.78,0.75,0.75,200000,0
189,2007-03-01,0.39,0.39,0.39,0.39,800000,0
190,2007-03-02,0.39,0.39,0.37,0.37,4570000,0
191,2007-03-05,0.37,0.37,0.33,0.36,1930000,0
192,2007-03-07,0.38,0.38,0.38,0.38,200000,0
193,2007-03-13,0.35,0.37,0.35,0.37,170000,0
194,2007-03-14,0.4,0.4,0.36,0.36,50000,0
195,2007-03-19,0.37,0.37,0.36,0.36,400000,0
196,2007-03-20,0.35,0.36,0.35,0.36,700000,0
197,2007-03-21,0.36,0.4,0.36,0.37,710000,0
198,2007-03-22,0.37,0.37,0.36,0.37,2500000,0
199,2007-03-27,0.39,0.43,0.39,0.39,15570000,0
200,2007-03-28,0.42,0.45,0.4,0.42,21610000,0
201,2007-03-29,0.42,0.42,0.41,0.42,3060000,0
202,2007-03-30,0.41,0.43,0.39,0.39,6900000,0
203,2007-05-02,0.38,0.4,0.37,0.39,2460000,0
204,2007-05-04,0.38,0.39,0.38,0.38,850000,0
205,2007-05-07,0.38,0.38,0.38,0.38,200000,0
206,2007-05-08,0.38,0.38,0.38,0.38,800000,0
207,2007-05-09,0.38,0.38,0.38,0.38,1220000,0
208,2007-05-10,0.4,0.45,0.4,0.43,7570000,0
209,2007-05-11,0.42,0.52,0.42,0.49,47870000,0
210,2007-05-15,0.51,0.54,0.49,0.52,23920000,0
211,2007-05-16,0.52,0.52,0.48,0.48,3660000,0
212,2007-05-17,0.48,0.49,0.48,0.49,2200000,0
213,2007-05-18,0.49,0.52,0.49,0.5,12480000,0
214,2007-05-21,0.52,0.63,0.51,0.62,26890000,0
215,2007-05-22,0.63,0.64,0.54,0.55,15190000,0
216,2007-05-23,0.55,0.58,0.55,0.57,1390000,0
217,2007-05-24,0.57,0.73,0.57,0.73,48190000,0
218,2007-05-25,0.72,0.76,0.69,0.72,33000000,0
219,2007-05-28,0.72,0.74,0.68,0.68,16740000,0
220,2007-05-29,0.67,0.69,0.66,0.68,6810000,0
221,2007-05-30,0.66,0.66,0.62,0.63,5640000,0
222,2007-05-31,0.64,0.85,0.64,0.82,37660000,0
223,2007-11-05,0.74,0.88,0.74,0.87,23080000,0
224,2007-11-06,0.89,0.94,0.86,0.87,36850000,0
225,2007-11-07,0.88,0.88,0.84,0.84,9990000,0
226,2007-11-08,0.83,0.84,0.79,0.82,9830000,0
227,2007-11-09,0.82,0.83,0.8,0.82,2910000,0
228,2007-11-12,0.82,0.83,0.78,0.8,9250000,0
229,2007-11-13,0.8,1.04,0.8,1.04,53820000,0
230,2007-11-14,1.04,1.16,1.0,1.06,55228000,0
231,2007-11-15,1.04,1.04,0.97,0.99,12657000,0
232,2007-11-16,0.91,0.99,0.91,0.94,7150000,0
233,2007-11-19,0.94,0.97,0.93,0.94,7270000,0
234,2007-11-20,0.91,0.97,0.89,0.95,11790000,0
235,2007-11-21,0.97,1.08,0.97,0.98,24760000,0
236,2007-11-22,0.96,1.02,0.94,1.02,4990000,0
237,2007-11-23,1.08,1.08,1.02,1.04,8534000,0
238,2007-11-26,1.04,1.06,1.04,1.04,4292000,0
239,2007-11-27,1.0,1.02,1.0,1.0,4428000,0
240,2007-11-28,1.02,1.02,0.99,0.99,3440000,0
241,2007-11-29,1.02,1.02,0.96,0.97,9170000,0
242,2007-10-01,0.69,0.74,0.68,0.68,17780000,0
243,2007-10-02,0.71,0.71,0.67,0.67,5100000,0
244,2007-10-03,0.7,0.7,0.68,0.68,1180000,0
245,2007-10-04,0.67,0.67,0.65,0.67,1290000,0
246,2007-10-05,0.65,0.67,0.65,0.66,810000,0
247,2007-10-08,0.69,0.69,0.64,0.64,930000,0
248,2007-10-09,0.66,0.72,0.65,0.7,12690000,0
249,2007-10-10,0.71,0.77,0.71,0.74,16770000,0
250,2007-10-11,0.74,0.75,0.72,0.72,2860000,0
251,2007-10-15,0.72,0.74,0.72,0.72,1190000,0
252,2007-10-16,0.71,0.71,0.7,0.71,890000,0
253,2007-10-17,0.68,0.68,0.68,0.68,240000,0
254,2007-10-18,0.68,0.68,0.67,0.67,700000,0
255,2007-10-19,0.66,0.67,0.64,0.64,1460000,0
256,2007-10-22,0.6,0.61,0.6,0.6,6120000,0
257,2007-10-23,0.62,0.62,0.59,0.6,2790000,0
258,2007-10-24,0.58,0.6,0.58,0.6,870000,0
259,2007-10-25,0.63,0.63,0.6,0.6,1840000,0
260,2007-10-26,0.63,0.67,0.63,0.67,4030000,0
261,2007-10-30,0.67,0.72,0.67,0.71,3020000,0
262,2007-10-31,0.72,0.74,0.7,0.74,6950000,0
263,2007-09-03,0.49,0.49,0.49,0.49,100000,0
264,2007-09-04,0.49,0.49,0.49,0.49,1080000,0
265,2007-09-06,0.49,0.53,0.49,0.53,620000,0
266,2007-09-07,0.53,0.53,0.53,0.53,410000,0
267,2007-09-10,0.48,0.48,0.48,0.48,150000,0
268,2007-09-11,0.48,0.48,0.47,0.47,1230000,0
269,2007-09-12,0.53,0.53,0.52,0.52,350000,0
270,2007-09-13,0.5,0.5,0.5,0.5,50000,0
271,2007-09-17,0.5,0.5,0.5,0.5,100000,0
272,2007-09-20,0.53,0.56,0.53,0.56,1100000,0
273,2007-09-21,0.56,0.56,0.53,0.53,320000,0
274,2007-09-24,0.53,0.54,0.53,0.54,750000,0
275,2007-09-25,0.56,0.56,0.56,0.56,240000,0
276,2007-09-26,0.56,0.59,0.56,0.59,350000,0
277,2007-09-27,0.6,0.6,0.59,0.6,540000,0
278,2007-09-28,0.61,0.69,0.61,0.68,14800000,0
279,2008-04-01,1.16,1.2,1.14,1.18,1193000,0
280,2008-04-02,1.18,1.2,1.16,1.16,1519000,0
281,2008-04-03,1.18,1.24,1.18,1.18,1156000,0
282,2008-04-04,1.18,1.18,1.16,1.16,708000,0
283,2008-04-08,1.18,1.18,1.14,1.18,264000,0
284,2008-04-09,1.18,1.18,1.12,1.12,847000,0
285,2008-04-10,1.14,1.14,1.14,1.14,2000,0
286,2008-04-11,1.16,1.16,1.08,1.12,2788000,0
287,2008-04-14,1.14,1.14,1.1,1.1,249000,0
288,2008-04-15,1.1,1.14,1.06,1.06,3817000,0
289,2008-04-16,1.1,1.12,1.1,1.12,4000,0
290,2008-04-17,1.16,1.16,1.1,1.12,664000,0
291,2008-04-18,1.14,1.14,1.1,1.12,165000,0
292,2008-04-21,1.12,1.12,1.1,1.1,81000,0
293,2008-04-22,1.1,1.12,1.06,1.08,536000,0
294,2008-04-23,1.1,1.1,1.1,1.1,1000,0
295,2008-04-24,1.1,1.12,1.02,1.12,8306000,0
296,2008-04-25,1.14,1.14,1.04,1.04,364000,0
297,2008-04-28,1.1,1.1,1.0,1.02,666000,0
298,2008-04-29,1.0,1.02,0.96,1.0,812000,0
299,2008-04-30,1.0,1.02,0.99,0.99,420000,0
300,2008-08-01,0.71,0.75,0.71,0.75,3760000,600
301,2008-08-04,0.75,0.82,0.75,0.82,1440000,0
302,2008-08-05,0.84,0.84,0.82,0.82,330000,0
303,2008-08-06,0.84,0.87,0.84,0.87,710000,8600
304,2008-08-07,0.86,0.96,0.85,0.92,5080000,1435400
305,2008-08-08,0.92,0.99,0.9,0.97,2170000,802100
306,2008-08-11,0.99,0.99,0.97,0.97,440000,49000
307,2008-08-12,1.0,1.02,0.99,0.99,5480000,0
308,2008-08-13,0.99,1.0,0.97,0.97,1570000,371000
309,2008-08-14,0.97,1.02,0.97,1.0,1950000,19800
310,2008-08-15,1.0,1.0,0.97,0.98,1260000,198000
311,2008-08-19,0.97,0.97,0.94,0.95,1700000,372400
312,2008-08-20,0.95,0.98,0.95,0.95,930000,114100
313,2008-08-21,0.94,0.94,0.93,0.93,280000,28000
314,2008-08-22,0.92,0.93,0.9,0.93,990000,37000
315,2008-08-26,0.96,0.96,0.96,0.96,130000,0
316,2008-08-27,0.99,0.99,0.99,0.99,10000,0
317,2008-08-28,0.97,0.97,0.94,0.94,1050000,931500
318,2008-08-29,0.94,0.94,0.92,0.92,1560000,545400
319,2008-12-02,0.55,0.55,0.55,0.55,10000,0
320,2008-12-03,0.68,0.68,0.68,0.68,10000,6800
