,Date,Open,High,Low,Close,Volume,OtherData
0,2011-03-03,1040.0,1040.0,1002.0,1002.0,18015,20140.0
1,2011-03-04,1002.0,1002.0,1000.0,1002.0,17120,0.0
2,2011-03-07,1002.0,1002.0,1000.0,1002.0,8380,0.0
3,2011-03-08,1002.0,1002.0,990.0,1002.0,13430,0.0
4,2011-03-09,1001.0,1002.0,1000.0,1002.0,4575,0.0
5,2011-03-10,1000.0,1002.0,1000.0,1001.0,12515,0.0
6,2011-03-11,1001.0,1002.0,1000.0,1002.0,3900,100000.0
7,2011-03-14,1001.0,1002.0,995.0,1002.0,12240,2200800.0
8,2011-03-15,1000.0,1000.0,1000.0,1000.0,3050,0.0
9,2011-03-16,1000.0,1000.0,1000.0,1000.0,1520,0.0
10,2011-03-17,1000.0,1000.0,1000.0,1000.0,1050,0.0
11,2011-03-18,1000.0,1000.0,998.0,1000.0,1300,0.0
12,2011-03-21,1000.0,1000.0,1000.0,1000.0,2055,0.0
13,2011-03-22,995.0,1000.0,995.0,1000.0,8725,100000.0
14,2011-03-23,998.0,1000.0,998.0,1000.0,3340,0.0
15,2011-03-24,999.0,1000.0,999.0,999.0,2560,0.0
16,2011-03-25,1000.0,1000.0,998.0,1000.0,16550,-6000000.0
17,2011-03-28,999.0,1000.0,999.0,1000.0,5150,0.0
18,2011-03-29,999.0,1000.0,999.0,1000.0,6600,0.0
19,2011-03-30,999.0,999.0,999.0,999.0,9105,0.0
20,2011-03-31,999.0,1000.0,999.0,1000.0,7680,0.0
21,2011-04-01,999.0,1000.0,999.0,999.0,7965,0.0
22,2011-04-04,999.0,1000.0,995.0,995.0,7040,0.0
23,2011-04-05,999.0,1000.0,996.0,1000.0,1780,0.0
24,2011-04-06,997.0,1000.0,997.0,1000.0,14310,0.0
25,2011-04-07,999.0,1000.0,998.0,1000.0,46795,0.0
26,2011-04-08,999.0,1000.0,999.0,1000.0,2170,0.0
27,2011-04-11,999.5,1000.0,999.0,1000.0,42060,0.0
28,2011-04-12,999.5,1000.0,999.5,1000.0,4155,0.0
