,Date,Open,High,Low,Close,Volume,OtherData
0,2011-10-05,12.0,12.0,10.88,11.0,57653100.0,-105528408.0
1,2011-10-06,11.2,11.2,10.68,10.68,28051300.0,9437192.0
2,2011-10-07,10.74,10.98,10.74,10.96,6454800.0,-19652672.0
3,2011-10-10,11.02,11.6,11.02,11.6,17731900.0,-68226244.0
4,2011-10-11,11.8,11.82,11.34,11.36,12181500.0,61718454.0
5,2011-10-12,11.36,11.68,11.3,11.6,1351800.0,-3880568.0
6,2011-10-13,11.52,12.36,11.52,12.36,4896100.0,-2248364.0
7,2011-10-14,12.3,12.4,12.0,12.1,7294000.0,21941096.0
8,2011-10-17,12.2,12.46,12.1,12.38,6994900.0,20948550.0
9,2011-10-18,12.38,12.38,12.12,12.26,7236600.0,50584046.0
10,2011-10-19,12.24,12.26,12.2,12.2,8274100.0,36781840.0
11,2011-10-20,12.22,12.3,12.2,12.2,4007000.0,1029318.0
12,2011-10-21,12.24,12.34,12.2,12.3,4269500.0,1102012.0
13,2011-10-21,12.24,12.34,12.2,12.3,4269500.0,1102012.0
14,2011-10-24,12.34,12.34,12.2,12.2,14370500.0,46731302.0
15,2011-10-25,12.16,12.32,12.16,12.32,3730900.0,19449942.0
16,2011-10-26,12.18,12.24,12.16,12.16,1404600.0,11994000.0
17,2011-10-27,12.14,12.24,12.14,12.22,416100.0,3458356.0
18,2011-10-28,12.26,12.5,12.26,12.38,11311200.0,79848962.0
19,2011-11-02,12.26,12.58,12.26,12.58,6529900.0,37509242.0
20,2011-11-03,12.6,12.76,12.5,12.74,13131000.0,83763892.0
21,2011-11-04,12.76,14.48,12.76,14.48,17613300.0,103388512.0
22,2011-11-08,14.46,15.94,14.1,15.5,10609200.0,-1748298.0
23,2011-11-09,15.7,15.7,14.3,14.8,5581800.0,-34426370.0
24,2011-11-10,14.3,15.0,14.1,14.94,6590600.0,-41735242.0
25,2011-11-11,14.94,15.0,14.34,14.56,1544600.0,-10570238.0
26,2011-11-14,14.5,15.2,14.5,14.68,727200.0,370966.0
27,2011-11-15,14.68,15.16,14.4,14.8,8558400.0,-34885026.0
28,2011-11-16,14.92,16.2,14.8,15.52,17248000.0,-18196306.0
29,2011-11-17,15.52,17.06,15.52,16.32,6602900.0,43387978.0
30,2011-11-18,16.32,17.1,16.3,16.6,9489500.0,-34389714.0
31,2011-11-21,17.1,17.1,16.6,16.82,5792100.0,-16237688.0
32,2011-11-22,16.5,16.82,16.02,16.16,4833800.0,-28282914.0
33,2011-11-23,16.16,16.5,14.98,14.98,10519400.0,-46396912.0
34,2011-11-24,14.94,15.0,14.68,14.72,7055600.0,39746092.0
35,2011-11-25,14.72,15.52,14.72,15.36,3087500.0,-2639556.0
36,2011-11-28,15.4,15.68,15.36,15.4,1545200.0,-8385362.0
37,2011-11-29,15.62,15.62,15.02,15.3,354700.0,-3232480.0
38,2011-12-01,15.5,15.62,15.3,15.3,590500.0,2253446.0
39,2011-12-02,15.3,15.3,15.18,15.18,4481200.0,1912074.0
40,2011-12-05,15.1,15.18,15.04,15.12,2892400.0,9783800.0
41,2011-12-06,15.12,15.2,14.98,15.0,2512100.0,4858744.0
42,2011-12-07,15.0,15.42,15.0,15.24,15347900.0,22473564.0
43,2011-12-08,15.3,15.88,15.3,15.7,5359000.0,41302274.0
