,Date,Open,High,Low,Close,Volume,OtherData
0,2006-12-12,30.0,40.0,30.0,40.0,996900,0
1,2006-12-15,40.0,40.0,40.0,40.0,5600,0
2,2006-12-29,40.0,50.0,40.0,50.0,7000,0
3,2006-10-06,40.0,40.0,40.0,40.0,900,0
4,2007-04-18,35.0,35.0,35.0,35.0,2000,0
5,2007-04-19,31.0,31.0,31.0,31.0,1000,0
6,2007-04-24,31.0,31.0,22.0,22.5,21961500,0
7,2007-04-25,31.5,31.5,31.5,31.5,5000,0
8,2007-04-26,38.0,39.0,38.0,39.0,4000,0
9,2007-04-27,39.5,41.0,39.5,41.0,21000,0
10,2007-04-30,49.5,50.0,49.5,50.0,12000,0
11,2007-08-09,130.0,130.0,130.0,130.0,300,0
12,2007-08-23,150.0,150.0,150.0,150.0,300,0
13,2007-02-07,31.0,40.0,30.0,40.0,474000,0
14,2007-02-14,40.0,40.0,40.0,40.0,5755100,0
15,2007-02-15,40.0,40.0,40.0,40.0,9900,396000
16,2007-02-28,40.0,40.0,40.0,40.0,101300,0
17,2007-07-03,100.0,100.0,100.0,100.0,500,0
18,2007-06-26,100.0,110.0,100.0,110.0,1200,0
19,2007-06-27,110.0,110.0,110.0,110.0,800,0
20,2007-03-15,50.0,50.0,50.0,50.0,2000,0
21,2007-05-09,32.0,32.0,32.0,32.0,200,0
22,2007-05-15,40.0,40.0,40.0,40.0,500,0
23,2007-05-16,47.0,47.0,47.0,47.0,200,0
24,2007-05-17,55.0,55.0,55.0,55.0,500,0
25,2007-05-21,65.0,65.0,65.0,65.0,700,0
26,2007-05-23,80.0,80.0,80.0,80.0,1000,0
27,2007-05-25,90.0,90.0,90.0,90.0,1000,0
28,2007-11-16,90.0,90.0,90.0,90.0,10000,0
29,2007-11-19,79.0,95.0,79.0,95.0,87800,0
30,2007-09-19,130.0,130.0,130.0,130.0,200,0
31,2008-12-08,7.5,7.7,7.5,7.5,33593000,0
32,2008-12-09,7.5,7.5,7.5,7.5,3669000,0
33,2008-12-11,7.7,7.7,7.6,7.6,12000,0
34,2008-12-15,7.5,7.5,7.5,7.5,2900000,0
35,2008-12-16,7.5,7.5,7.5,7.5,1000,0
36,2008-12-17,7.5,7.5,7.5,7.5,67000,0
37,2008-12-22,7.5,7.5,7.5,7.5,2000,0
38,2008-02-19,110.0,110.0,110.0,110.0,40000,0
39,2008-02-21,114.0,120.0,114.0,120.0,58500,0
40,2008-01-07,90.0,90.0,90.0,90.0,800,0
41,2008-06-02,120.0,120.0,120.0,120.0,4970,0
42,2008-05-19,120.0,125.0,120.0,125.0,1254420,0
43,2008-05-20,120.0,120.0,120.0,120.0,2003250,0
44,2008-05-21,120.0,120.0,120.0,120.0,238330,0
45,2009-04-01,8.6,8.6,8.6,8.6,1000,0
46,2009-04-02,8.7,8.7,8.7,8.7,9000,0
47,2009-04-03,8.6,8.6,8.6,8.6,2000,0
48,2009-04-07,8.6,8.6,8.6,8.6,1000,0
49,2009-04-13,8.6,8.6,8.6,8.6,1602000,0
50,2009-04-15,8.6,8.6,8.6,8.6,10000,0
51,2009-04-16,8.5,8.5,8.5,8.5,15000,0
52,2009-04-20,8.7,8.7,8.7,8.7,1000,0
53,2009-04-23,8.6,8.6,8.6,8.6,2000,0
54,2009-04-27,8.5,8.5,8.5,8.5,10000,0
55,2009-04-28,8.0,8.0,8.0,8.0,10000,0
56,2009-04-29,8.8,8.8,8.0,8.0,20000,0
57,2009-04-30,7.8,7.8,7.8,7.8,1000,0
58,2009-08-10,9.0,9.0,9.0,9.0,1000,0
59,2009-08-27,9.0,9.0,9.0,9.0,5000,0
60,2009-12-01,23.0,23.0,23.0,23.0,4200,0
61,2009-12-07,23.0,23.0,23.0,23.0,16500,0
