,Date,Open,High,Low,Close,Volume,OtherData
0,2012-01-11,0.29,0.29,0.27,0.275,2800000.0,0.0
1,2012-01-12,0.275,0.335,0.275,0.29,21030000.0,-461750.0
2,2012-01-13,0.3,0.315,0.29,0.29,9880000.0,-486000.0
3,2012-01-16,0.29,0.295,0.285,0.29,1800000.0,0.0
4,2012-01-17,0.29,0.295,0.29,0.29,1280000.0,14500.0
5,2012-01-18,0.29,0.29,0.285,0.285,3680000.0,0.0
6,2012-01-19,0.295,0.305,0.29,0.3,11450000.0,0.0
7,2012-01-20,0.3,0.31,0.3,0.31,280000.0,-15000.0
8,2012-01-24,0.31,0.31,0.295,0.305,1710000.0,0.0
9,2012-01-25,0.295,0.3,0.29,0.3,2380000.0,0.0
10,2012-01-26,0.3,0.31,0.3,0.3,3100000.0,0.0
11,2012-01-27,0.3,0.3,0.29,0.295,2210000.0,0.0
12,2012-01-30,0.295,0.295,0.28,0.28,2850000.0,0.0
13,2012-01-31,0.285,0.295,0.285,0.295,180000.0,0.0
14,2012-02-01,0.285,0.3,0.285,0.3,1680000.0,0.0
15,2012-02-02,0.3,0.3,0.295,0.295,450000.0,-60000.0
16,2012-02-03,0.295,0.295,0.29,0.29,3240000.0,0.0
17,2012-02-06,0.29,0.295,0.285,0.29,3660000.0,0.0
18,2012-02-07,0.29,0.29,0.285,0.29,1990000.0,19950.0
19,2012-02-08,0.285,0.29,0.28,0.285,1260000.0,0.0
20,2012-02-09,0.28,0.285,0.28,0.28,1970000.0,0.0
21,2012-02-10,0.295,0.295,0.28,0.28,1060000.0,0.0
22,2012-02-13,0.28,0.28,0.275,0.28,2690000.0,-19750.0
23,2012-02-14,0.28,0.285,0.28,0.285,2610000.0,0.0
24,2012-02-15,0.28,0.28,0.28,0.28,200000.0,0.0
25,2012-02-16,0.28,0.28,0.275,0.275,980000.0,0.0
26,2012-02-17,0.28,0.295,0.28,0.29,12410000.0,11200.0
27,2012-02-20,0.29,0.3,0.285,0.29,3980000.0,0.0
28,2012-02-21,0.29,0.32,0.285,0.3,16560000.0,0.0
29,2012-02-22,0.3,0.3,0.29,0.29,2160000.0,0.0
30,2012-02-23,0.3,0.335,0.3,0.325,40120000.0,-88050.0
31,2012-02-24,0.33,0.355,0.32,0.32,26610000.0,-14100.0
32,2012-02-27,0.33,0.34,0.32,0.32,4670000.0,-321250.0
33,2012-02-28,0.315,0.33,0.315,0.325,6390000.0,0.0
34,2012-02-29,0.33,0.37,0.33,0.335,23910000.0,-645700.0
35,2012-03-01,0.34,0.345,0.325,0.33,14440000.0,-69250.0
36,2012-03-02,0.33,0.335,0.33,0.33,1900000.0,0.0
37,2012-03-05,0.335,0.335,0.33,0.335,3680000.0,0.0
38,2012-03-06,0.34,0.34,0.33,0.33,5940000.0,0.0
39,2012-03-07,0.33,0.34,0.325,0.335,1420000.0,0.0
40,2012-03-08,0.34,0.365,0.34,0.36,21680000.0,-14400.0
41,2012-03-09,0.36,0.36,0.35,0.35,5580000.0,0.0
42,2012-03-12,0.35,0.35,0.345,0.345,1310000.0,0.0
43,2012-03-13,0.34,0.34,0.33,0.335,4210000.0,0.0
44,2012-03-14,0.34,0.35,0.34,0.34,5800000.0,0.0
45,2012-03-15,0.335,0.355,0.335,0.35,7440000.0,0.0
46,2012-03-16,0.35,0.35,0.335,0.34,3420000.0,-172500.0
47,2012-03-19,0.34,0.34,0.335,0.335,1160000.0,0.0
48,2012-03-20,0.335,0.34,0.335,0.335,2690000.0,0.0
49,2012-03-21,0.345,0.35,0.345,0.35,2550000.0,0.0
