,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-17,1.3,1.3,1.3,1.3,10000,0
1,2006-12-06,1.38,1.38,1.38,1.38,8000,0
2,2006-12-07,1.22,1.22,1.22,1.22,5000,0
3,2006-12-08,1.38,1.4,1.38,1.4,33000,0
4,2006-12-15,1.0,1.0,1.0,1.0,1000,0
5,2006-12-19,1.5,1.5,1.5,1.5,50000,75000
6,2006-11-02,1.32,1.4,1.32,1.4,52000,0
7,2006-11-03,1.4,1.68,1.4,1.68,176000,0
8,2006-11-06,1.76,1.8,1.68,1.68,100000,0
9,2006-11-07,1.66,1.66,1.66,1.66,10000,0
10,2006-11-13,1.3,1.3,1.3,1.3,120000,0
11,2006-11-14,1.32,1.32,1.32,1.32,40000,0
12,2006-11-16,1.32,1.32,1.32,1.32,20000,0
13,2006-11-17,1.32,1.32,1.32,1.32,50000,0
14,2006-11-20,1.34,1.6,1.34,1.6,31000,0
15,2006-11-27,1.4,1.4,1.4,1.4,9000,0
16,2006-11-28,1.4,1.4,1.4,1.4,1000,0
17,2006-11-29,1.42,1.42,1.4,1.4,13000,0
18,2006-11-30,1.4,1.4,1.4,1.4,21000,0
19,2006-10-17,1.12,1.14,1.12,1.14,70000,0
20,2006-10-18,1.2,1.2,1.2,1.2,20000,0
21,2006-10-20,1.22,1.28,1.22,1.28,64000,0
22,2006-10-23,1.32,1.36,1.32,1.36,40000,0
23,2006-10-25,1.52,1.6,1.4,1.4,60000,0
24,2006-10-30,1.4,1.4,1.36,1.38,28000,0
25,2006-10-31,1.34,1.34,1.34,1.34,30000,0
26,2006-09-11,0.78,1.2,0.78,1.2,85000,0
27,2006-09-13,1.16,1.16,1.16,1.16,34000,0
28,2006-09-15,1.16,1.16,1.16,1.16,65000,0
29,2006-09-18,1.18,1.18,1.18,1.18,50000,0
30,2006-09-19,1.18,1.18,1.18,1.18,34000,0
31,2006-09-25,1.0,1.0,1.0,1.0,10000,0
32,2007-04-17,1.4,1.4,1.4,1.4,5000,0
33,2007-04-19,1.4,1.4,1.4,1.4,2000,0
34,2007-04-23,1.4,1.4,1.4,1.4,6000,0
35,2007-02-07,1.5,1.5,1.5,1.5,70000,0
36,2007-02-08,1.52,1.52,1.52,1.52,5000,0
37,2007-02-09,1.52,1.52,1.5,1.5,29000,0
38,2007-02-14,1.48,1.48,1.48,1.48,20000,0
39,2007-02-20,1.42,1.42,1.42,1.42,50000,0
40,2007-02-23,1.42,1.5,1.42,1.5,25000,0
41,2007-02-26,1.5,1.5,1.5,1.5,20000,0
42,2007-02-28,1.48,1.48,1.48,1.48,26000,0
43,2007-01-09,1.38,1.38,1.38,1.38,10000,0
44,2007-01-10,1.36,1.4,1.36,1.4,30000,0
45,2007-01-12,1.5,1.5,1.5,1.5,10000,0
46,2007-01-15,1.48,1.48,1.48,1.48,30000,0
47,2007-01-22,1.5,1.5,1.5,1.5,10000,0
48,2007-01-31,1.5,1.54,1.48,1.54,87000,0
49,2007-03-05,1.4,1.4,1.38,1.38,22000,0
50,2007-03-09,1.48,1.7,1.48,1.68,292000,436260
51,2007-03-13,1.64,1.7,1.64,1.7,107000,1700
52,2007-03-21,1.7,1.7,1.7,1.7,1000,0
53,2007-05-02,1.4,1.4,1.4,1.4,2000,0
