,Date,Open,High,Low,Close,Volume,OtherData
0,2016-09-02,2.26,2.26,2.2,2.2,1677000,1608500
1,2016-09-05,2.2,2.22,2.2,2.22,597000,139100
2,2016-09-06,2.22,2.23,2.21,2.22,368000,221000
3,2016-09-07,2.22,2.22,2.16,2.17,2023000,2200940
4,2016-09-08,2.17,2.19,2.16,2.19,2198000,3683970
5,2016-09-09,2.19,2.2,2.16,2.17,1256000,1637080
6,2016-09-13,2.2,2.2,2.15,2.17,464000,652760
7,2016-09-14,2.17,2.19,2.16,2.19,502000,579310
8,2016-09-15,2.17,2.2,2.17,2.2,573000,492230
9,2016-09-16,2.19,2.19,2.17,2.19,541000,739800
10,2016-09-19,2.18,2.2,2.17,2.2,282000,131080
11,2016-09-20,2.2,2.23,2.17,2.21,2181000,10900
12,2016-09-21,2.21,2.22,2.21,2.21,148000,-185640
13,2016-09-22,2.23,2.23,2.2,2.22,283000,11000
14,2016-09-23,2.24,2.24,2.22,2.24,153000,0
15,2016-09-26,2.25,2.35,2.25,2.26,2728000,46400
16,2016-09-27,2.25,2.28,2.21,2.28,473000,-101880
17,2016-09-28,2.26,2.28,2.22,2.28,92000,-30
18,2016-09-29,2.28,2.28,2.25,2.28,384000,229500
19,2016-09-30,2.27,2.28,2.27,2.27,270000,0
20,2016-10-03,2.25,2.26,2.25,2.26,729000,542250
21,2016-10-04,2.26,2.27,2.24,2.27,881000,677240
22,2016-10-05,2.25,2.26,2.23,2.26,155000,144950
23,2016-10-06,2.24,2.24,2.23,2.23,1159000,1525320
24,2016-10-07,2.22,2.23,2.21,2.23,598000,864110
25,2016-10-10,2.23,2.23,2.18,2.22,934000,1652020
26,2016-10-11,2.22,2.22,2.18,2.22,337000,577520
27,2016-10-12,2.19,2.2,2.03,2.17,3804000,4434830
28,2016-10-13,2.17,2.17,2.03,2.11,1770000,2633509
29,2016-10-14,2.1,2.15,2.1,2.15,662000,1062600
30,2016-10-17,2.15,2.2,2.14,2.2,2332000,4903650
31,2016-10-18,2.18,2.25,2.15,2.25,1018000,-162280
32,2016-10-19,2.25,2.3,2.14,2.25,3156000,-373340
33,2016-10-20,2.27,2.27,2.18,2.18,855000,-820280
34,2016-10-21,2.2,2.2,2.15,2.16,734000,-98100
35,2016-10-24,2.19,2.21,2.18,2.21,920000,-385680
36,2016-10-25,2.2,2.21,2.19,2.2,1628000,1352700
37,2016-10-26,2.2,2.22,2.19,2.19,94000,0
38,2016-10-27,2.19,2.2,2.18,2.2,555000,972280
39,2016-10-28,2.16,2.17,2.13,2.17,1422000,1719880
40,2016-11-02,2.16,2.17,2.15,2.15,693000,1219050
41,2016-11-03,2.13,2.15,2.13,2.14,619000,1100560
42,2016-11-04,2.15,2.15,2.13,2.13,494000,21500
43,2016-11-07,2.13,2.15,2.13,2.13,1228000,1821150
44,2016-11-08,2.14,2.15,2.1,2.14,2445000,1480700
45,2016-11-09,2.14,2.14,2.08,2.13,6110000,10603370
46,2016-11-11,2.16,2.16,2.13,2.14,990000,945720
47,2016-11-14,2.13,2.16,2.13,2.13,6927000,14326280
48,2016-11-15,2.13,2.14,2.09,2.13,2099000,2891100
49,2016-11-16,2.12,2.13,2.11,2.13,450000,-683730
50,2016-11-17,2.13,2.13,2.11,2.13,612000,633000
51,2016-11-18,2.14,2.14,2.11,2.12,1147000,801800
52,2016-11-21,2.13,2.13,2.11,2.12,7318000,5935830
53,2016-11-22,2.12,2.12,2.1,2.1,2326000,2520500
54,2016-11-23,2.1,2.1,2.05,2.08,2151000,2657400
55,2016-11-24,2.12,2.12,2.06,2.08,957000,1440860
56,2016-11-25,2.08,2.1,2.08,2.1,1085000,0
57,2016-11-28,2.12,2.12,2.07,2.07,2421000,4100720
58,2016-11-29,2.08,2.08,2.07,2.07,757000,0
59,2016-12-01,2.08,2.08,2.04,2.07,690000,0
60,2016-12-02,2.06,2.07,2.05,2.07,807000,0
61,2016-12-05,2.06,2.07,2.02,2.05,3180000,2200569
62,2016-12-06,2.06,2.06,2.03,2.04,6417000,-20419
63,2016-12-07,2.06,2.09,2.05,2.08,255000,233070
64,2016-12-08,2.09,2.1,2.04,2.05,5818000,3294329
65,2016-12-09,2.08,2.08,2.07,2.07,609000,0
66,2016-12-12,2.09,2.09,2.04,2.05,3791000,601750
67,2016-12-13,2.04,2.05,2.04,2.05,558000,683400
68,2016-12-14,2.05,2.05,2.04,2.05,5862000,1064880
