,Date,Open,High,Low,Close,Volume,OtherData
0,2008-04-01,2.8,2.8,2.8,2.8,97000.0,89600.0
1,2008-04-02,2.9,2.95,2.9,2.95,889000.0,2530600.0
2,2008-04-03,2.95,3.2,2.95,3.2,6722000.0,17363400.0
3,2008-04-04,3.2,3.3,3.15,3.25,2222000.0,7115550.0
4,2008-04-08,3.25,3.25,3.15,3.15,2625000.0,8395200.0
5,2008-04-09,3.15,3.15,3.0,3.0,1734000.0,3000500.0
6,2008-04-10,3.0,3.0,3.0,3.0,6000.0,0.0
7,2008-04-11,3.0,3.0,3.0,3.0,601000.0,-90000.0
8,2008-04-14,3.0,3.0,3.0,3.0,1020000.0,6000.0
9,2008-04-15,3.0,3.0,3.0,3.0,1000000.0,0.0
10,2008-04-16,3.0,3.0,2.95,2.95,2210000.0,3137650.0
11,2008-04-17,2.95,3.0,2.95,2.95,36000.0,0.0
12,2008-04-21,2.95,3.0,2.95,3.0,500000.0,415950.0
13,2008-04-22,2.9,2.9,2.9,2.9,9000.0,0.0
14,2008-04-23,2.9,3.0,2.9,3.0,1000000.0,145000.0
15,2008-04-24,3.0,3.0,2.95,2.95,5000.0,0.0
16,2008-04-28,2.9,3.0,2.9,3.0,500000.0,894050.0
17,2008-04-29,2.95,3.0,2.95,3.0,515000.0,286950.0
18,2008-08-01,2.24,2.24,2.24,2.24,24000.0,0.0
19,2008-08-04,2.22,2.22,2.2,2.2,1050000.0,0.0
20,2008-08-05,2.2,2.2,2.2,2.2,10000.0,0.0
21,2008-08-06,2.22,2.24,2.2,2.2,1168000.0,-2085460.0
22,2008-08-07,2.2,2.2,2.2,2.2,2037000.0,0.0
23,2008-08-08,2.18,2.2,2.18,2.2,2122000.0,-176400.0
24,2008-08-11,2.2,2.2,2.2,2.2,2460000.0,-968000.0
25,2008-08-12,2.2,2.2,2.18,2.2,2033000.0,32700.0
26,2008-08-13,2.18,2.18,2.16,2.18,1070000.0,-131900.0
27,2008-08-14,2.18,2.18,2.16,2.18,3418000.0,-234520.0
28,2008-08-15,2.16,2.16,2.16,2.16,313000.0,0.0
29,2008-08-20,2.08,2.16,2.08,2.16,3250000.0,20800.0
30,2008-08-21,2.16,2.16,2.14,2.14,2028000.0,21400.0
31,2008-08-26,2.12,2.12,2.12,2.12,14000.0,29680.0
32,2008-08-27,2.12,2.12,2.12,2.12,1000.0,2120.0
33,2008-08-28,2.14,2.14,2.14,2.14,3015000.0,19260.0
34,2008-12-02,0.64,0.64,0.64,0.64,150000.0,64000.0
35,2008-12-03,0.66,0.66,0.65,0.66,470000.0,-145000.0
