,Date,Open,High,Low,Close,Volume,OtherData
0,2015-12-18,103.5,106.9,103.5,105.7,76800,-3195
1,2015-12-21,106.8,106.9,106.8,106.8,4420,0
2,2015-12-22,106.8,106.8,106.0,106.8,6500,0
3,2015-12-23,106.5,106.5,106.5,106.5,5000,0
4,2015-12-28,106.5,106.5,106.5,106.5,12200,0
5,2015-12-29,106.5,106.5,106.0,106.0,3100,0
6,2016-01-04,106.5,106.5,106.5,106.5,13500,0
7,2016-01-05,106.5,106.5,106.5,106.5,17500,0
8,2016-01-06,106.8,106.8,106.5,106.5,2510,0
9,2016-01-08,106.0,106.5,106.0,106.0,23550,0
10,2016-01-11,106.8,106.8,106.7,106.8,3610,0
11,2016-01-12,106.8,106.8,106.8,106.8,60,0
12,2016-01-13,106.0,106.5,106.0,106.5,3800,0
13,2016-01-14,106.5,106.5,106.5,106.5,5600,0
14,2016-01-15,107.0,107.0,107.0,107.0,16800,0
15,2016-01-18,106.5,106.5,106.5,106.5,10000,0
16,2016-01-19,107.0,107.0,107.0,107.0,6700,0
17,2016-01-20,107.0,107.0,107.0,107.0,2500,0
18,2016-01-21,107.0,107.0,107.0,107.0,2700,0
19,2016-01-22,106.5,106.5,106.5,106.5,1000,0
20,2016-01-29,107.5,108.0,107.0,108.0,5160,0
21,2016-02-04,107.9,108.0,107.9,108.0,1010,0
22,2016-02-05,107.8,108.0,107.8,108.0,1510,0
23,2016-02-09,108.0,108.5,108.0,108.5,11020,0
24,2016-02-11,109.0,109.0,109.0,109.0,5110,0
25,2016-02-15,110.9,110.9,110.9,110.9,10,0
26,2016-02-22,107.6,107.6,107.5,107.5,2500,0
27,2016-02-29,110.8,110.8,110.8,110.8,10,0
28,2016-03-01,108.8,108.8,107.0,107.0,5990,0
29,2016-03-02,108.7,108.7,108.7,108.7,20,0
30,2016-03-08,107.0,107.0,107.0,107.0,2510,0
31,2016-03-15,107.1,107.9,107.0,107.9,2200,0
32,2016-03-30,107.5,107.5,107.5,107.5,2500,0
33,2016-03-31,107.0,107.5,107.0,107.5,12280,0
34,2016-04-01,107.0,107.0,107.0,107.0,1000,0
35,2016-04-04,107.0,107.0,107.0,107.0,1000,53500
36,2016-04-18,107.0,107.0,107.0,107.0,1000,0
