,Date,Open,High,Low,Close,Volume,OtherData
0,2015-03-16,1.0,4.0,1.0,2.6,6790000.0,648600.0
1,2015-03-17,2.88,2.88,2.24,2.41,1392000.0,15880.0
2,2015-03-18,2.41,2.41,1.71,1.73,1669000.0,1900.0
3,2015-03-19,1.74,1.74,1.29,1.4,4372000.0,-13560.0
4,2015-03-20,1.56,1.98,1.46,1.9,6632000.0,263500.0
5,2015-03-23,2.06,2.85,2.06,2.85,10421000.0,-76060.0
6,2015-03-24,3.3,4.22,3.24,3.95,24985000.0,-199890.0
7,2015-03-25,4.23,4.5,3.38,3.6,12593000.0,-47600.0
8,2015-03-26,3.55,3.55,3.11,3.28,4515000.0,0.0
9,2015-03-27,3.09,3.2,2.86,2.94,3578000.0,-21940.0
10,2015-03-30,2.89,3.98,2.65,3.81,13131000.0,652210.0
11,2015-03-31,3.97,4.14,3.25,3.67,9214000.0,0.0
12,2015-04-01,3.7,3.75,3.35,3.75,2634000.0,0.0
13,2015-04-06,3.6,3.87,3.5,3.6,3140000.0,0.0
14,2015-04-07,3.59,3.59,3.05,3.25,4550000.0,0.0
15,2015-04-08,3.3,3.36,3.0,3.1,1931000.0,0.0
16,2015-04-10,3.12,3.28,3.09,3.15,1052000.0,0.0
17,2015-04-13,3.24,3.24,2.95,3.04,1121000.0,0.0
18,2015-04-14,2.98,3.14,2.85,3.0,1142000.0,-20.0
19,2015-04-15,3.0,3.1,2.85,2.87,928000.0,-5720.0
20,2015-04-16,2.94,2.94,2.65,2.7,1395000.0,0.0
21,2015-04-17,2.7,2.7,2.36,2.6,2240000.0,0.0
22,2015-04-20,2.72,3.14,2.5,3.01,14314000.0,9120.0
23,2015-04-21,3.15,3.15,2.55,2.7,2568000.0,0.0
24,2015-04-22,2.77,2.77,2.51,2.57,802000.0,0.0
25,2015-04-23,2.57,2.66,2.53,2.58,327000.0,0.0
26,2015-04-24,2.56,2.75,2.5,2.6,870000.0,-2560.0
27,2015-04-27,2.6,2.88,2.58,2.61,9381000.0,0.0
28,2015-04-28,2.63,2.69,2.48,2.5,1834000.0,0.0
29,2015-04-29,2.62,2.62,2.45,2.45,827000.0,25000.0
30,2015-04-30,2.45,2.58,2.42,2.42,303000.0,0.0
31,2015-05-04,2.55,2.55,2.4,2.4,9599000.0,0.0
32,2015-05-05,2.52,2.52,2.37,2.4,628000.0,-11950.0
33,2015-05-06,2.36,2.38,2.26,2.34,535000.0,0.0
34,2015-05-07,2.34,2.4,2.3,2.4,294000.0,0.0
35,2015-05-08,2.31,2.4,2.29,2.35,635000.0,0.0
36,2015-05-11,2.4,2.4,2.31,2.31,351000.0,0.0
37,2015-05-12,2.3,2.33,2.25,2.27,783000.0,0.0
38,2015-05-13,2.28,2.4,2.15,2.25,892000.0,49940.0
39,2015-05-14,2.29,2.29,2.15,2.16,305000.0,0.0
40,2015-05-15,2.15,2.4,2.15,2.32,845000.0,23200.0
41,2015-05-18,2.41,2.48,2.29,2.29,500000.0,0.0
42,2015-05-19,2.29,2.29,1.9,2.1,1758000.0,-602910.0
43,2015-05-20,2.15,2.4,2.06,2.28,1560000.0,22500.0
44,2015-05-21,2.32,2.65,2.3,2.38,4793000.0,1771300.0
45,2015-05-22,2.38,2.54,2.22,2.24,1233000.0,-215000.0
