,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-04,3.0,3.0,3.0,3.0,10000,0.0
1,2006-08-16,3.0,3.0,3.0,3.0,30000,0.0
2,2006-12-06,3.1,3.1,3.1,3.1,191000,0.0
3,2006-12-07,3.0,3.0,3.0,3.0,10000,0.0
4,2006-12-13,3.0,3.25,3.0,3.2,231000,650000.0
5,2006-12-19,3.2,3.25,3.2,3.25,366000,0.0
6,2006-12-21,3.25,3.25,3.25,3.25,28000,0.0
7,2006-12-22,3.25,3.25,3.25,3.25,100000,0.0
8,2006-11-03,3.0,3.0,3.0,3.0,279000,0.0
9,2006-11-08,3.0,3.0,3.0,3.0,2000,0.0
10,2006-11-09,3.0,3.0,3.0,3.0,117000,0.0
11,2006-11-10,3.0,3.0,3.0,3.0,130000,0.0
12,2006-11-13,3.0,3.0,3.0,3.0,24000,0.0
13,2006-11-14,2.8,2.8,2.8,2.8,717000,0.0
14,2006-11-17,2.85,2.85,2.85,2.85,10000,0.0
15,2006-11-29,2.8,2.8,2.8,2.8,330000,0.0
16,2006-10-10,2.9,3.0,2.9,2.95,161000,0.0
17,2006-10-12,2.9,2.9,2.9,2.9,10000,0.0
18,2006-10-17,2.8,2.8,2.8,2.8,10000,0.0
19,2006-10-19,2.95,3.05,2.95,3.05,100000,0.0
20,2006-10-20,3.05,3.05,3.0,3.0,1416000,0.0
21,2006-10-23,3.05,3.05,3.05,3.05,50000,0.0
22,2006-10-25,3.0,3.0,3.0,3.0,45000,0.0
23,2006-10-27,3.05,3.05,3.05,3.05,12000,0.0
24,2006-09-12,2.9,2.9,2.9,2.9,150000,0.0
25,2006-09-14,2.9,2.9,2.9,2.9,100000,0.0
26,2006-09-15,2.9,2.9,2.9,2.9,6000,0.0
27,2006-09-18,2.9,2.9,2.9,2.9,133000,0.0
28,2006-09-21,2.8,2.8,2.8,2.8,5000,0.0
29,2006-09-22,2.8,2.8,2.8,2.8,72000,0.0
30,2006-09-25,2.8,2.8,2.8,2.8,150000,0.0
31,2007-04-02,4.2,4.2,4.2,4.2,131000,0.0
32,2007-08-03,3.55,3.55,3.55,3.55,5000,0.0
33,2007-12-07,3.1,3.1,3.1,3.1,200000,-620000.0
34,2007-12-18,3.3,3.3,3.3,3.3,2000,0.0
35,2007-12-26,3.5,3.5,3.0,3.35,515000,-1725500.0
36,2007-12-27,3.5,3.5,3.5,3.5,6000,0.0
