,Date,Open,High,Low,Close,Volume,OtherData
0,2014-11-03,1060.0,1060.0,1048.0,1048.0,5050,0.0
1,2014-11-05,1044.0,1045.0,1044.0,1045.0,960,-480700.0
2,2014-11-07,1045.0,1045.0,1045.0,1045.0,50,0.0
3,2014-11-10,1045.0,1045.0,1045.0,1045.0,390,-407550.0
4,2014-11-11,1010.0,1020.0,1010.0,1020.0,20000,0.0
5,2014-11-12,1040.0,1040.0,1040.0,1040.0,10,0.0
6,2014-11-18,1020.0,1020.0,1015.0,1020.0,105,40600.0
7,2014-11-19,1030.0,1045.0,1030.0,1045.0,2000,0.0
8,2014-11-20,1017.0,1017.0,1016.0,1016.0,60,0.0
9,2014-11-25,1040.0,1045.0,1035.0,1035.0,2010,-51750.0
10,2014-11-26,1035.0,1048.0,1035.0,1047.0,6740,0.0
11,2014-11-28,1030.0,1030.0,1030.0,1030.0,2730,0.0
12,2014-12-01,1030.0,1030.0,1030.0,1030.0,200,0.0
13,2014-12-02,1025.0,1025.0,1025.0,1025.0,60,0.0
14,2014-12-03,1035.0,1035.0,1035.0,1035.0,4000,0.0
15,2014-12-05,1034.0,1034.0,1034.0,1034.0,1050,0.0
16,2014-12-09,1040.0,1040.0,1040.0,1040.0,1425,0.0
17,2014-12-10,1030.0,1030.0,1030.0,1030.0,45,0.0
18,2014-12-11,1030.0,1030.0,1030.0,1030.0,105,0.0
19,2014-12-12,1045.0,1045.0,1040.0,1045.0,2750,0.0
20,2014-12-15,1030.0,1042.0,1030.0,1042.0,1850,0.0
21,2014-12-16,1042.0,1042.0,1042.0,1042.0,10360,0.0
22,2014-12-17,1020.0,1030.0,1020.0,1020.0,12700,0.0
23,2014-12-18,1020.0,1020.0,1020.0,1020.0,50,0.0
24,2015-01-07,1020.0,1020.0,1020.0,1020.0,890,0.0
25,2015-01-09,1020.0,1020.0,1010.0,1010.0,3000,0.0
26,2015-01-13,1010.0,1010.0,1010.0,1010.0,200,0.0
27,2015-01-19,1005.0,1005.0,1005.0,1005.0,50,0.0
