,Date,Open,High,Low,Close,Volume,OtherData
0,2014-11-03,1050.0,1050.0,1012.0,1012.0,8690,-62520.0
1,2014-11-04,1030.0,1030.0,1030.0,1030.0,590,0.0
2,2014-11-05,1030.0,1030.0,1020.0,1020.0,1100,0.0
3,2014-11-06,1025.0,1025.0,1025.0,1025.0,40,0.0
4,2014-11-07,1020.0,1020.0,1020.0,1020.0,2300,0.0
5,2014-11-10,1020.0,1025.0,1020.0,1025.0,1820,0.0
6,2014-11-11,1020.0,1020.0,1015.0,1015.0,6225,0.0
7,2014-11-12,1015.0,1015.0,1015.0,1015.0,3055,0.0
8,2014-11-13,1030.0,1030.0,1030.0,1030.0,30,0.0
9,2014-11-14,1020.0,1020.0,1020.0,1020.0,1990,0.0
10,2014-11-17,1016.0,1016.0,1016.0,1016.0,2180,0.0
11,2014-11-18,1017.0,1029.0,1016.0,1029.0,1980,0.0
12,2014-11-20,1020.0,1020.0,1020.0,1020.0,1000,0.0
13,2014-11-21,1030.0,1030.0,1030.0,1030.0,2000,-51500.0
14,2014-11-24,1030.0,1030.0,1030.0,1030.0,195,0.0
15,2014-11-25,1035.0,1050.0,1035.0,1050.0,810,0.0
16,2014-11-27,1040.0,1040.0,1030.0,1030.0,2260,0.0
17,2014-11-28,1045.0,1045.0,1045.0,1045.0,350,0.0
18,2014-12-02,1040.0,1040.0,1040.0,1040.0,250,0.0
19,2014-12-03,1030.0,1050.0,1018.0,1050.0,525,0.0
20,2014-12-05,1040.0,1040.0,1040.0,1040.0,100,0.0
21,2014-12-09,1040.0,1040.0,1040.0,1040.0,1920,0.0
22,2014-12-10,1040.0,1040.0,1035.0,1035.0,10020,0.0
23,2014-12-11,1031.0,1031.0,1030.0,1030.0,405,0.0
24,2014-12-15,1030.0,1030.0,1030.0,1030.0,1050,0.0
25,2014-12-16,1030.0,1035.0,1030.0,1035.0,4000,0.0
26,2014-12-17,1035.0,1035.0,1030.0,1030.0,12510,0.0
27,2014-12-18,1030.0,1030.0,1030.0,1030.0,20,0.0
28,2015-01-05,1040.0,1040.0,1040.0,1040.0,500,0.0
29,2015-01-06,1040.0,1040.0,1040.0,1040.0,1550,0.0
30,2015-01-09,1040.0,1040.0,1030.0,1030.0,7000,0.0
31,2015-01-13,1030.0,1030.0,1030.0,1030.0,3700,0.0
32,2015-01-14,1030.0,1030.0,1030.0,1030.0,50,0.0
33,2015-01-20,1050.0,1050.0,1050.0,1050.0,150,0.0
34,2015-01-21,1045.0,1045.0,1045.0,1045.0,1900,0.0
35,2015-01-23,1043.0,1043.0,1043.0,1043.0,20,0.0
36,2015-01-26,1040.0,1040.0,1040.0,1040.0,50,0.0
37,2015-01-27,1040.0,1040.0,1040.0,1040.0,25,0.0
38,2015-01-28,1030.0,1030.0,1030.0,1030.0,200,0.0
39,2015-01-29,1030.0,1030.0,1025.0,1030.0,950,0.0
40,2015-01-30,1030.0,1030.0,1016.0,1016.0,140,0.0
41,2015-02-02,1018.0,1040.0,1018.0,1040.0,550,-405600.0
42,2015-02-04,1030.0,1030.0,1030.0,1030.0,50,0.0
43,2015-02-05,1030.0,1035.0,1030.0,1035.0,4115,0.0
44,2015-02-09,1025.0,1033.0,1025.0,1033.0,750,0.0
45,2015-02-11,1030.0,1030.0,1020.0,1020.0,1570,0.0
46,2015-02-13,1030.0,1030.0,1020.0,1020.0,8665,0.0
47,2015-02-16,1020.0,1020.0,1020.0,1020.0,1745,0.0
48,2015-02-17,1020.0,1030.0,1020.0,1030.0,4080,-1642200.0
49,2015-02-18,1030.0,1030.0,1030.0,1030.0,300,0.0
50,2015-02-20,1030.0,1030.0,1030.0,1030.0,890,0.0
51,2015-02-23,1030.0,1030.0,1030.0,1030.0,9320,0.0
52,2015-02-24,1033.0,1033.0,1033.0,1033.0,500,0.0
53,2015-02-27,1033.0,1033.0,1033.0,1033.0,50,0.0
54,2015-03-03,1034.0,1034.0,1034.0,1034.0,600,0.0
55,2015-03-04,1037.0,1037.0,1037.0,1037.0,180,0.0
56,2015-03-05,1041.0,1060.0,1041.0,1060.0,1800,0.0
57,2015-03-06,1060.0,1065.0,1059.0,1065.0,5860,0.0
58,2015-03-09,1065.0,1065.0,1065.0,1065.0,2255,0.0
59,2015-03-11,1065.0,1070.0,1065.0,1065.0,580,0.0
60,2015-03-12,1070.0,1075.0,1070.0,1075.0,4920,0.0
61,2015-03-13,1075.0,1075.0,1065.0,1065.0,3830,0.0
62,2015-03-16,1075.0,1075.0,1075.0,1075.0,5795,0.0
63,2015-03-17,1075.0,1085.0,1075.0,1085.0,8280,0.0
64,2015-03-19,1080.0,1080.0,1075.0,1075.0,1000,5400.0
65,2015-03-23,1080.0,1085.0,1080.0,1085.0,595,0.0
66,2015-03-24,1085.0,1085.0,1080.0,1080.0,8170,0.0
67,2015-03-25,1085.0,1085.0,1080.0,1080.0,10305,-5400000.0
68,2015-03-26,1085.0,1085.0,1085.0,1085.0,165,0.0
69,2015-03-27,1085.0,1100.0,1085.0,1100.0,835,0.0
70,2015-03-31,1080.0,1080.0,1080.0,1080.0,5000,0.0
71,2015-04-01,1100.0,1100.0,1100.0,1100.0,4200,-1441000.0
72,2015-04-07,1100.0,1100.0,1100.0,1100.0,110,0.0
73,2015-04-08,1100.0,1100.0,1100.0,1100.0,20,0.0
74,2015-04-10,1100.0,1105.0,1100.0,1105.0,400,-132600.0
