,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-03,40.0,42.0,40.0,42.0,16300.0,0.0
1,2006-08-04,41.0,42.0,41.0,42.0,1100.0,0.0
2,2006-08-07,42.0,42.0,42.0,42.0,5000.0,0.0
3,2006-08-08,40.0,42.0,40.0,42.0,63700.0,0.0
4,2006-08-09,39.0,42.0,39.0,42.0,17100.0,0.0
5,2006-08-10,41.0,42.0,41.0,42.0,12500.0,0.0
6,2006-08-11,42.0,42.0,42.0,42.0,9400.0,0.0
7,2006-08-14,42.0,42.0,42.0,42.0,10000.0,0.0
8,2006-08-15,42.0,42.0,40.0,42.0,7800.0,0.0
9,2006-08-16,42.0,42.0,42.0,42.0,5000.0,0.0
10,2006-08-17,41.5,42.0,41.5,42.0,6000.0,0.0
11,2006-12-04,48.0,48.0,48.0,48.0,1000.0,0.0
12,2006-12-05,47.5,48.0,47.5,48.0,14000.0,0.0
13,2006-12-06,48.0,48.0,48.0,48.0,1000.0,0.0
14,2006-12-08,46.5,48.0,46.0,48.0,84400.0,0.0
15,2006-12-12,47.5,48.0,47.5,48.0,3000.0,0.0
16,2006-12-15,48.0,48.0,47.0,48.0,15200.0,0.0
17,2006-12-18,48.0,48.0,48.0,48.0,2000.0,0.0
18,2006-12-19,48.0,48.0,48.0,48.0,25300.0,0.0
19,2006-12-20,47.0,48.0,47.0,48.0,2400.0,0.0
20,2006-12-21,48.0,48.0,48.0,48.0,1000.0,0.0
21,2006-12-22,48.0,48.0,48.0,48.0,2000.0,0.0
22,2006-12-28,48.0,48.0,48.0,48.0,2000.0,0.0
23,2006-12-29,48.0,48.0,48.0,48.0,2000.0,0.0
24,2006-11-02,46.0,46.0,46.0,46.0,300.0,0.0
25,2006-11-03,42.0,46.0,42.0,46.0,21100.0,0.0
26,2006-11-07,46.0,46.0,46.0,46.0,1800.0,0.0
27,2006-11-08,46.0,46.0,46.0,46.0,2000.0,0.0
28,2006-11-10,43.0,46.0,43.0,46.0,1500.0,0.0
29,2006-11-13,46.0,47.0,45.0,47.0,3600.0,0.0
30,2006-11-15,46.0,47.0,46.0,47.0,3300.0,0.0
31,2006-11-16,47.0,47.0,47.0,47.0,400.0,0.0
32,2006-11-17,46.5,47.5,46.5,47.5,1000.0,0.0
33,2006-11-20,47.5,47.5,47.5,47.5,1000.0,0.0
34,2006-11-21,46.0,48.0,46.0,48.0,2200.0,0.0
35,2006-11-22,48.0,48.0,47.0,48.0,3000.0,0.0
36,2006-11-23,47.5,48.0,47.5,48.0,2600.0,0.0
37,2006-11-24,48.0,48.0,48.0,48.0,1300.0,0.0
38,2006-11-27,48.0,48.0,48.0,48.0,8161300.0,0.0
39,2006-11-28,48.0,48.0,48.0,48.0,2200.0,0.0
40,2006-11-29,48.0,48.0,48.0,48.0,3200.0,0.0
41,2006-11-30,48.0,48.0,47.0,48.0,3200.0,0.0
42,2006-10-02,43.0,43.0,43.0,43.0,2200.0,0.0
43,2006-10-03,43.0,43.0,43.0,43.0,2000.0,0.0
44,2006-10-04,43.0,43.0,42.5,43.0,3600.0,0.0
45,2006-10-05,43.0,43.0,43.0,43.0,2000.0,0.0
46,2006-10-06,42.5,43.5,42.5,43.5,13400.0,0.0
47,2006-10-10,43.0,43.0,43.0,43.0,700.0,0.0
48,2006-10-13,43.5,43.5,43.5,43.5,3000.0,0.0
49,2006-10-17,43.0,44.0,43.0,44.0,3500.0,0.0
50,2006-10-18,41.0,45.0,41.0,45.0,1100.0,0.0
51,2006-10-20,42.0,46.0,42.0,46.0,3100.0,0.0
52,2006-10-26,46.0,46.0,46.0,46.0,1000.0,0.0
53,2006-10-27,42.0,46.0,42.0,46.0,6100.0,0.0
54,2006-09-01,41.5,41.5,41.5,41.5,5000.0,0.0
55,2006-09-04,41.5,41.5,41.5,41.5,5000.0,0.0
56,2006-09-05,41.5,41.5,41.5,41.5,5000.0,0.0
57,2006-09-06,41.0,41.5,41.0,41.5,4000.0,0.0
58,2006-09-07,41.5,42.0,41.5,41.5,5600.0,0.0
59,2006-09-08,42.5,42.5,42.5,42.5,1000.0,0.0
60,2006-09-11,42.0,42.5,42.0,42.5,2100.0,0.0
61,2006-09-12,42.0,42.0,42.0,42.0,5000.0,0.0
62,2006-09-13,42.5,42.5,42.5,42.5,5000.0,0.0
63,2006-09-14,42.5,42.5,42.5,42.5,5000.0,0.0
64,2006-09-15,41.0,42.5,41.0,42.5,3800.0,0.0
65,2006-09-18,42.5,42.5,42.5,42.5,2000.0,0.0
66,2006-09-19,42.0,42.5,41.0,42.5,6400.0,0.0
67,2006-09-20,42.0,42.5,42.0,42.5,4300.0,0.0
68,2006-09-21,41.0,43.0,41.0,43.0,32000.0,0.0
69,2006-09-22,43.0,43.0,43.0,43.0,2000.0,0.0
70,2006-09-25,43.0,43.0,43.0,43.0,2000.0,0.0
71,2006-09-26,43.0,43.0,43.0,43.0,3300.0,0.0
72,2006-09-27,43.0,43.0,43.0,43.0,2000.0,-17200.0
73,2007-04-02,62.5,62.5,62.0,62.5,17400.0,192200.0
74,2007-04-03,62.0,62.5,62.0,62.5,1600.0,0.0
75,2007-04-04,62.5,62.5,62.0,62.5,13500.0,0.0
76,2007-04-10,62.5,62.5,62.0,62.5,19300.0,0.0
77,2007-04-11,62.5,62.5,62.5,62.5,200.0,0.0
78,2007-04-12,62.5,62.5,62.0,62.0,23400.0,0.0
79,2007-04-13,61.0,63.0,61.0,63.0,1100.0,0.0
80,2007-04-16,63.0,64.0,63.0,64.0,2500.0,0.0
81,2007-04-17,64.5,64.5,63.0,63.0,3000.0,0.0
82,2007-04-18,63.0,63.0,63.0,63.0,4600.0,0.0
83,2007-04-19,62.5,63.0,62.0,63.0,21900.0,0.0
84,2007-04-20,62.5,63.0,62.5,63.0,3700.0,0.0
85,2007-04-23,63.5,63.5,62.0,62.0,4600.0,0.0
86,2007-04-24,62.0,62.0,62.0,62.0,13700.0,849400.0
87,2007-04-25,63.0,63.0,62.0,62.0,8100.0,0.0
88,2007-04-27,62.0,63.0,62.0,63.0,2100.0,0.0
89,2007-04-30,63.0,63.0,63.0,63.0,6200.0,315000.0
90,2007-08-01,64.5,64.5,64.5,64.5,1000.0,0.0
91,2007-08-02,64.0,64.5,63.0,64.5,5300.0,0.0
92,2007-08-03,63.0,63.0,63.0,63.0,2100.0,0.0
93,2007-08-06,63.0,63.0,61.0,62.0,24700.0,0.0
94,2007-08-07,62.0,63.0,62.0,63.0,5000.0,0.0
95,2007-08-08,63.0,63.0,63.0,63.0,1000.0,0.0
96,2007-08-09,62.0,63.0,62.0,63.0,3200.0,0.0
97,2007-08-10,63.0,63.0,61.0,63.0,4300.0,0.0
98,2007-08-13,63.0,63.0,63.0,63.0,2000.0,0.0
99,2007-08-14,62.5,63.0,62.0,63.0,4000.0,0.0
100,2007-08-15,62.0,63.0,62.0,63.0,3800.0,0.0
101,2007-08-16,60.5,60.5,59.0,59.0,6700.0,0.0
102,2007-08-17,60.0,60.0,59.5,59.5,12100.0,0.0
103,2007-08-21,60.0,60.0,59.5,59.5,5300.0,-256350.0
104,2007-08-22,59.5,60.0,59.5,60.0,2500.0,0.0
