,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,212.0,213.0,212.0,213.0,4930.0,848000.0
1,2006-08-02,213.0,213.0,213.0,213.0,20000.0,0.0
2,2006-08-04,213.0,213.0,213.0,213.0,5000.0,0.0
3,2006-08-08,215.0,215.0,215.0,215.0,500.0,107500.0
4,2006-08-11,218.0,219.0,218.0,218.0,2510.0,329190.0
5,2006-08-14,218.0,218.0,218.0,218.0,200.0,43600.0
6,2006-08-15,219.0,219.0,219.0,219.0,990.0,216810.0
7,2006-08-16,219.0,219.0,219.0,219.0,50000.0,0.0
8,2006-12-04,260.0,260.0,260.0,260.0,5250.0,1300000.0
9,2006-12-05,262.5,262.5,262.5,262.5,800.0,0.0
10,2006-12-06,262.5,262.5,262.5,262.5,1000.0,0.0
11,2006-12-07,262.5,262.5,262.5,262.5,300.0,0.0
12,2006-12-08,260.0,260.0,260.0,260.0,2000.0,403000.0
13,2006-12-11,260.0,262.5,260.0,262.5,7900.0,1040000.0
14,2006-12-13,262.5,262.5,262.5,262.5,2000.0,0.0
15,2006-12-14,265.0,267.5,265.0,267.5,3000.0,786625.0
16,2006-12-15,270.0,270.0,270.0,270.0,7000.0,553500.0
17,2006-12-18,272.5,280.0,270.0,270.0,66410.0,17083800.0
18,2006-12-19,272.5,275.0,270.0,270.0,5000.0,691200.0
19,2006-12-20,272.5,272.5,272.5,272.5,1000.0,0.0
20,2006-12-27,272.5,275.0,272.5,275.0,3500.0,0.0
21,2006-12-28,277.5,277.5,277.5,277.5,500.0,0.0
22,2006-12-29,280.0,280.0,280.0,280.0,500.0,0.0
23,2006-11-03,245.0,245.0,245.0,245.0,1000.0,0.0
24,2006-11-06,245.0,245.0,245.0,245.0,1000.0,0.0
25,2006-11-07,247.0,247.0,247.0,247.0,50.0,0.0
26,2006-11-08,247.0,247.0,247.0,247.0,500.0,123500.0
27,2006-11-10,247.0,247.0,245.0,245.0,19640.0,0.0
28,2006-11-14,244.0,244.0,241.0,241.0,7000.0,0.0
29,2006-11-15,242.0,250.0,242.0,250.0,16950.0,1828500.0
30,2006-11-16,246.0,246.0,246.0,246.0,1000.0,0.0
31,2006-11-17,245.0,245.0,245.0,245.0,5300.0,1225000.0
32,2006-11-20,247.0,357.5,247.0,290.0,53020.0,11983000.0
