,Date,Open,High,Low,Close,Volume,OtherData
0,2014-12-01,3.4,3.4,3.15,3.15,72446000.0,-5504900.0
1,2014-12-02,3.17,3.27,3.02,3.07,21607000.0,-9400.0
2,2014-12-03,3.07,3.09,2.77,2.8,21822000.0,750860.0
3,2014-12-04,2.85,3.06,2.82,2.91,14593000.0,76590.0
4,2014-12-05,2.93,2.99,2.81,2.84,2670000.0,-65090.0
5,2014-12-09,2.84,2.84,2.69,2.72,10147000.0,396160.0
6,2014-12-10,2.74,2.74,2.59,2.6,7083000.0,-30430.0
7,2014-12-11,2.56,2.56,2.22,2.35,11526000.0,-756320.0
8,2014-12-12,2.37,2.66,2.37,2.63,7896000.0,-327690.0
9,2014-12-15,2.6,2.7,2.51,2.66,2711000.0,-80.0
10,2014-12-16,2.62,2.68,2.54,2.54,3003000.0,25750.0
11,2014-12-17,2.55,2.59,2.38,2.42,3904000.0,341700.0
12,2014-12-18,2.48,2.56,2.43,2.46,1190000.0,7320.0
13,2014-12-19,2.5,2.94,2.42,2.89,13715000.0,6686110.0
14,2014-12-22,3.0,3.1,2.95,2.97,26441000.0,1810090.0
15,2014-12-23,2.99,3.0,2.81,2.9,5207000.0,895370.0
16,2014-12-29,2.92,2.98,2.8,2.8,2111000.0,8610.0
17,2015-01-05,2.82,2.95,2.8,2.8,2915000.0,0.0
18,2015-01-06,2.7,2.84,2.7,2.73,4735000.0,113570.0
19,2015-01-07,2.68,2.69,2.63,2.65,3612000.0,-134420.0
20,2015-01-08,2.67,2.85,2.67,2.74,4679000.0,54800.0
21,2015-01-09,2.75,2.76,2.64,2.67,3347000.0,33210.0
22,2015-01-12,2.7,2.73,2.6,2.6,3073000.0,0.0
23,2015-01-13,2.61,2.78,2.61,2.69,3682000.0,1849550.0
24,2015-01-14,2.69,2.69,2.6,2.6,4563000.0,339900.0
25,2015-01-19,2.6,2.61,2.52,2.55,1955000.0,60950.0
26,2015-01-20,2.55,2.6,2.52,2.53,1674000.0,0.0
27,2015-01-21,2.52,2.55,2.48,2.49,2221000.0,2440.0
28,2015-01-22,2.49,2.6,2.46,2.53,2731000.0,1075910.0
29,2015-01-23,2.53,2.62,2.53,2.61,1835000.0,1656360.0
30,2015-01-26,2.65,2.69,2.61,2.63,1850000.0,103170.0
31,2015-01-27,2.63,2.63,2.46,2.46,4592000.0,-10140.0
32,2015-01-28,2.5,2.55,2.5,2.52,1505000.0,1262400.0
33,2015-01-29,2.55,2.55,2.45,2.45,2016000.0,123100.0
34,2015-01-30,2.44,2.52,2.43,2.46,5982000.0,1235830.0
35,2015-02-02,2.5,2.56,2.44,2.56,5490000.0,123900.0
36,2015-02-03,2.66,2.77,2.61,2.61,10685000.0,-409770.0
37,2015-02-04,2.65,2.73,2.63,2.66,3030000.0,-10640.0
38,2015-02-05,2.67,2.67,2.58,2.65,1607000.0,1371900.0
39,2015-02-06,2.65,2.8,2.65,2.7,5586000.0,2245760.0
40,2015-02-09,2.73,2.73,2.62,2.63,1828000.0,-65910.0
41,2015-02-10,2.69,2.74,2.63,2.7,1781000.0,855080.0
42,2015-02-11,2.68,2.72,2.64,2.67,1163000.0,-108000.0
43,2015-02-12,2.67,2.78,2.66,2.7,1794000.0,-2970.0
44,2015-02-13,2.7,2.75,2.67,2.7,2291000.0,1560340.0
45,2015-02-16,2.72,2.85,2.69,2.69,6215000.0,47140.0
46,2015-02-17,2.69,2.76,2.63,2.66,3273000.0,-155930.0
47,2015-02-18,2.67,2.7,2.66,2.69,1329000.0,26800.0
48,2015-02-20,2.69,2.73,2.65,2.66,842000.0,-21280.0
49,2015-02-23,2.66,2.67,2.62,2.64,1764000.0,-15700.0
50,2015-02-24,2.67,2.67,2.55,2.6,2875000.0,1097180.0
51,2015-02-25,2.58,2.65,2.58,2.63,1606000.0,611580.0
52,2015-02-26,2.63,2.81,2.61,2.75,6325000.0,1335930.0
53,2015-02-27,2.75,2.78,2.66,2.68,2205000.0,0.0
54,2015-03-02,2.68,2.68,2.6,2.66,2753000.0,0.0
55,2015-03-03,2.66,2.74,2.65,2.67,551000.0,0.0
56,2015-03-04,2.97,3.0,2.87,2.9,29942000.0,-1685080.0
57,2015-03-05,2.89,2.91,2.84,2.9,3985000.0,101150.0
58,2015-03-06,2.9,2.93,2.87,2.91,2394000.0,-189300.0
59,2015-03-09,2.91,2.92,2.86,2.88,1683000.0,0.0
60,2015-03-10,2.9,2.91,2.89,2.89,925000.0,0.0
61,2015-03-11,2.89,2.92,2.87,2.9,953000.0,-115200.0
62,2015-03-12,2.9,2.95,2.89,2.9,3189000.0,29200.0
63,2015-03-13,2.91,2.93,2.91,2.91,1108000.0,0.0
64,2015-03-16,2.91,2.91,2.86,2.87,1942000.0,-267910.0
65,2015-03-17,2.87,2.89,2.81,2.82,2278000.0,25480.0
66,2015-03-18,2.82,2.87,2.8,2.83,1031000.0,-169800.0
67,2015-03-19,2.83,2.9,2.83,2.86,465000.0,0.0
68,2015-03-20,2.86,2.9,2.86,2.88,653000.0,0.0
69,2015-03-23,2.88,2.89,2.87,2.88,461000.0,0.0
70,2015-03-24,2.88,2.88,2.86,2.88,868000.0,-105620.0
71,2015-03-25,2.89,2.92,2.88,2.92,1648000.0,57800.0
72,2015-03-26,2.92,2.96,2.87,2.96,2453000.0,57600.0
73,2015-03-27,2.97,2.97,2.91,2.93,3870000.0,29300.0
74,2015-03-30,2.69,2.69,2.59,2.61,4973000.0,42240.0
75,2015-03-31,2.58,2.6,2.53,2.53,1614000.0,0.0
76,2015-04-01,2.54,2.62,2.54,2.6,511000.0,90820.0
77,2015-04-06,2.6,2.6,2.52,2.55,660000.0,25600.0
78,2015-04-07,2.6,2.6,2.55,2.59,950000.0,0.0
79,2015-04-08,2.55,2.6,2.54,2.56,752000.0,0.0
80,2015-04-10,2.56,2.57,2.54,2.55,784000.0,0.0
81,2015-04-13,2.55,2.55,2.5,2.51,817000.0,0.0
82,2015-04-14,2.51,2.54,2.49,2.51,446000.0,50200.0
83,2015-04-15,2.51,2.51,2.46,2.47,888000.0,9890.0
84,2015-04-16,2.45,2.5,2.41,2.45,313000.0,0.0
85,2015-04-17,2.48,2.48,2.43,2.44,267000.0,12250.0
86,2015-04-20,2.44,2.44,2.35,2.4,600000.0,239000.0
87,2015-04-21,2.4,2.4,2.36,2.36,678000.0,285600.0
88,2015-04-22,2.36,2.43,2.31,2.35,284000.0,0.0
89,2015-04-23,2.4,2.48,2.39,2.41,552000.0,-24300.0
90,2015-04-24,2.43,2.47,2.42,2.42,266000.0,-101110.0
91,2015-04-27,2.42,2.42,2.38,2.4,474000.0,-201660.0
92,2015-04-28,2.4,2.4,2.37,2.38,921000.0,23900.0
93,2015-04-29,2.35,2.38,2.31,2.35,617000.0,9400.0
94,2015-04-30,2.35,2.35,2.31,2.32,602000.0,27940.0
95,2015-05-04,2.32,2.4,2.32,2.36,283000.0,-4680.0
