,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,4.2,4.3,4.2,4.25,7471000,18007950
1,2006-08-02,4.25,4.3,4.1,4.25,5570000,6748700
2,2006-08-03,4.25,4.3,4.2,4.3,3774000,6106850
3,2006-08-04,4.25,4.4,4.25,4.35,7091000,-3908000
4,2006-08-07,4.3,4.4,4.3,4.4,2855000,-2179900
5,2006-08-08,4.45,4.45,4.35,4.45,2757000,5501900
6,2006-08-09,4.35,4.4,4.3,4.4,4047000,5138500
7,2006-08-10,4.35,4.6,4.35,4.6,6904000,5225000
8,2006-08-11,4.65,4.65,4.55,4.6,12221000,21917700
9,2006-08-14,4.5,4.5,4.45,4.45,2462000,431650
10,2006-08-15,4.45,4.5,4.3,4.35,2317000,-112250
11,2006-08-16,4.3,4.35,4.2,4.35,5683000,14806200
12,2006-08-17,4.4,4.4,4.3,4.3,5240000,9981900
13,2006-09-01,4.05,4.1,4.0,4.05,4467000,-20250
14,2006-09-04,4.05,4.05,3.95,4.0,6300000,81500
15,2006-09-05,4.05,4.05,3.95,3.95,4986000,-6946750
16,2006-09-06,4.1,4.15,4.0,4.0,7351000,-5614900
17,2006-09-07,4.0,4.0,3.95,3.95,5649000,435000
18,2006-09-08,3.9,3.9,3.7,3.7,9959000,-9758900
19,2006-09-11,3.6,3.65,3.45,3.55,8667000,835600
20,2006-09-12,3.45,3.45,3.2,3.3,19775000,-25932600
21,2006-09-13,3.3,3.3,3.15,3.15,9025000,-8142800
22,2006-09-14,3.25,3.45,3.25,3.45,8005000,19800
