,Date,Open,High,Low,Close,Volume,OtherData
0,2009-08-14,2.0,2.0,2.0,2.0,7000,0.0
1,2009-08-18,2.2,2.2,2.2,2.2,10000,0.0
2,2009-08-24,2.0,2.0,2.0,2.0,2000,0.0
3,2009-08-26,2.0,2.16,2.0,2.16,12000,0.0
4,2009-07-20,2.0,2.0,2.0,2.0,1000,0.0
5,2009-11-17,1.8,1.8,1.8,1.8,3000,0.0
6,2009-11-25,1.8,1.8,1.8,1.8,2000,0.0
7,2009-10-01,2.06,2.06,2.06,2.06,1000,0.0
8,2009-10-05,1.82,1.82,1.82,1.82,23000,0.0
9,2009-10-21,1.9,1.9,1.9,1.9,1000,0.0
10,2009-09-09,2.0,2.0,2.0,2.0,2000,0.0
11,2009-09-10,2.0,2.0,2.0,2.0,8000,0.0
12,2009-09-17,1.9,1.9,1.9,1.9,55000,0.0
13,2010-04-15,1.58,1.58,1.58,1.58,1000,0.0
14,2010-02-15,1.08,1.08,1.08,1.08,2000,0.0
15,2010-01-28,1.08,1.08,1.08,1.08,3000,0.0
16,2010-06-10,1.5,1.5,1.5,1.5,10000,0.0
17,2010-06-23,0.95,0.95,0.95,0.95,1000,0.0
18,2010-05-11,1.58,1.58,1.58,1.58,3000,0.0
19,2010-05-12,1.58,1.58,1.58,1.58,2000,0.0
20,2010-05-14,1.58,1.58,1.58,1.58,1000,0.0
21,2010-10-05,1.1,1.1,1.1,1.1,3000,0.0
22,2010-10-12,1.64,1.64,1.64,1.64,1000,0.0
23,2010-10-13,1.64,1.64,1.64,1.64,50000,0.0
24,2010-11-22,1.5,1.5,1.5,1.5,6000,0.0
25,2010-11-23,1.5,1.5,1.5,1.5,4000,0.0
26,2010-12-08,1.5,1.5,1.5,1.5,1000,0.0
27,2010-12-10,1.5,1.5,1.5,1.5,1000,0.0
28,2010-12-16,1.5,1.5,1.5,1.5,53000,0.0
29,2011-01-05,1.11,1.11,1.11,1.11,1000,0.0
30,2011-01-14,1.12,1.12,1.12,1.12,1000,0.0
31,2011-01-17,1.11,1.11,1.11,1.11,4000,0.0
32,2011-01-18,1.4,1.4,1.4,1.4,1000,0.0
33,2011-02-01,1.2,1.2,1.2,1.2,1000,0.0
34,2011-02-28,1.15,1.15,1.15,1.15,5000,0.0
35,2011-03-01,1.11,1.11,1.11,1.11,11000,0.0
36,2011-05-05,1.11,1.11,1.11,1.11,5000,0.0
37,2011-05-27,1.11,1.11,1.11,1.11,5000,0.0
38,2011-05-31,1.11,1.11,1.11,1.11,4000,0.0
39,2011-06-16,1.11,1.11,1.11,1.11,20000,0.0
40,2011-06-22,1.11,1.11,1.11,1.11,2000,0.0
41,2011-06-23,1.12,1.12,1.11,1.11,49000,1120.0
42,2011-08-04,1.11,1.11,1.11,1.11,3000,0.0
43,2011-09-13,1.11,1.11,1.11,1.11,1000,0.0
44,2011-09-22,1.11,1.11,1.11,1.11,10000,0.0
45,2011-09-23,1.11,1.11,1.11,1.11,10000,0.0
46,2011-09-26,1.1,1.1,1.1,1.1,20000,0.0
47,2011-09-28,1.1,1.1,1.1,1.1,20000,0.0
48,2011-09-30,1.1,1.1,1.1,1.1,20000,0.0
49,2011-10-03,1.1,1.1,1.1,1.1,20000,0.0
50,2011-10-04,1.1,1.1,1.1,1.1,20000,0.0
