,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,1.36,1.36,1.34,1.34,75000,0
1,2006-08-02,1.3,1.3,1.3,1.3,100000,0
2,2006-08-04,1.3,1.3,1.3,1.3,17000,0
3,2006-08-07,1.28,1.28,1.28,1.28,1000,0
4,2006-08-11,1.38,1.38,1.38,1.38,410000,0
5,2006-08-15,1.3,1.3,1.3,1.3,33000,0
6,2006-08-16,1.3,1.3,1.3,1.3,30000,0
7,2006-08-17,1.3,1.3,1.3,1.3,108000,0
8,2006-12-04,3.9,4.0,3.85,3.85,1223000,2406250
9,2006-12-06,3.85,4.05,3.85,4.05,2220000,4000000
10,2006-12-07,4.0,4.0,3.95,3.95,170000,533250
11,2006-12-08,3.8,4.05,3.8,3.95,2085000,309500
12,2006-12-11,3.95,4.05,3.95,4.05,1358000,4410450
13,2006-12-12,4.05,4.1,4.05,4.05,3164000,319950
14,2006-12-13,4.0,4.0,4.0,4.0,100000,400000
15,2006-12-14,4.0,4.0,3.95,4.0,294000,716000
16,2006-12-15,4.1,4.1,4.1,4.1,261000,615000
17,2006-12-18,4.0,4.0,4.0,4.0,15000,0
18,2006-12-19,4.0,4.0,4.0,4.0,100000,352000
19,2006-12-20,3.9,3.9,3.9,3.9,148000,573300
20,2006-12-21,3.9,3.9,3.9,3.9,378000,-1474200
21,2006-12-22,3.95,3.95,3.9,3.9,185000,468000
22,2006-12-27,3.9,3.9,3.9,3.9,220000,234000
23,2006-12-28,3.9,3.9,3.9,3.9,10000,0
24,2006-12-29,3.95,3.95,3.95,3.95,123000,446350
25,2006-11-02,2.75,2.75,2.75,2.75,10000,0
26,2006-11-03,2.85,2.95,2.8,2.8,153000,0
27,2006-11-06,2.8,2.8,2.6,2.7,484000,0
28,2006-11-07,2.7,2.85,2.65,2.75,1051000,0
29,2006-11-08,2.85,3.2,2.85,3.1,910000,0
30,2006-11-10,3.0,3.2,2.95,3.2,257000,557500
31,2006-11-13,3.25,3.3,3.25,3.3,83000,0
32,2006-11-14,3.15,3.15,2.95,3.1,386000,-633000
33,2006-11-15,3.2,3.45,3.15,3.35,472000,0
34,2006-11-16,3.4,3.45,3.4,3.4,56000,0
35,2006-11-17,3.4,3.5,3.4,3.4,470000,0
36,2006-11-20,3.5,3.5,3.3,3.3,134000,99000
37,2006-11-21,3.2,3.3,3.2,3.3,126000,276200
38,2006-11-22,3.4,3.6,3.4,3.6,575000,0
39,2006-11-23,3.6,4.0,3.6,3.7,942000,784400
40,2006-11-24,3.7,3.7,3.7,3.7,170000,629000
41,2006-11-27,3.7,3.7,3.7,3.7,54000,0
42,2006-11-28,3.7,3.75,3.7,3.7,26000,81400
43,2006-11-29,3.5,3.5,3.5,3.5,50000,175000
44,2006-11-30,3.45,3.9,3.4,3.9,1121000,-3258400
45,2006-10-02,1.44,1.44,1.44,1.44,130000,0
46,2006-10-03,1.46,1.5,1.46,1.46,840000,0
47,2006-10-04,1.5,1.64,1.5,1.6,618000,0
48,2006-10-05,1.6,1.66,1.58,1.58,393000,0
49,2006-10-06,1.54,1.62,1.54,1.62,249000,0
50,2006-10-09,1.66,1.68,1.64,1.64,219000,-32800
51,2006-10-10,1.64,1.8,1.64,1.78,679000,-71200
52,2006-10-11,1.82,1.82,1.74,1.76,381000,0
53,2006-10-12,1.76,1.78,1.74,1.74,330000,0
54,2006-10-13,1.78,1.92,1.78,1.92,348000,0
55,2006-10-16,1.92,2.06,1.92,2.04,524000,0
