,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-08,1.5,1.5,1.5,1.5,20000,0.0
1,2006-08-10,1.5,1.5,1.5,1.5,6000,0.0
2,2006-08-15,1.5,1.5,1.5,1.5,75000,0.0
3,2006-08-16,1.5,1.5,1.5,1.5,1000,0.0
4,2006-12-05,1.4,1.4,1.4,1.4,265000,0.0
5,2006-12-06,1.4,1.5,1.4,1.5,2081000,0.0
6,2006-12-07,1.5,1.5,1.5,1.5,50000,0.0
7,2006-12-08,1.42,1.5,1.42,1.46,13000,0.0
8,2006-12-14,1.6,1.6,1.5,1.5,11000,0.0
9,2006-12-19,1.44,1.44,1.42,1.42,35000,0.0
10,2006-12-21,1.5,1.5,1.5,1.5,80000,0.0
11,2006-12-22,1.5,1.5,1.5,1.5,30000,0.0
12,2006-12-27,1.5,1.5,1.5,1.5,60000,0.0
13,2006-12-28,1.5,1.5,1.5,1.5,53000,0.0
14,2006-12-29,1.7,1.7,1.5,1.7,49000,0.0
15,2006-11-06,1.24,1.26,1.24,1.26,5200000,-3377000.0
16,2006-11-07,1.26,1.26,1.2,1.2,6000,-3780.0
17,2006-11-09,1.24,1.24,1.24,1.24,5000,0.0
18,2006-11-10,1.24,1.3,1.24,1.3,13325000,-8325000.0
19,2006-11-13,1.3,1.3,1.3,1.3,42000,0.0
20,2006-11-14,1.3,1.3,1.3,1.3,7000,0.0
21,2006-11-15,1.3,1.3,1.3,1.3,4000,0.0
22,2006-11-17,1.32,1.32,1.3,1.3,120000,0.0
23,2006-11-20,1.3,1.3,1.3,1.3,20000,0.0
24,2006-11-21,1.3,1.3,1.3,1.3,50000,0.0
25,2006-11-22,1.32,1.32,1.3,1.3,18000,0.0
26,2006-11-23,1.32,1.36,1.3,1.3,195000,0.0
27,2006-11-24,1.3,1.3,1.3,1.3,150000,0.0
28,2006-11-30,1.4,1.4,1.4,1.4,58000,0.0
29,2006-10-02,1.4,1.4,1.4,1.4,10000,0.0
30,2006-10-05,1.4,1.4,1.4,1.4,90000,0.0
31,2006-10-12,1.3,1.3,1.3,1.3,41000,0.0
32,2006-10-17,1.36,1.36,1.36,1.36,100000,0.0
33,2006-10-23,1.4,1.4,1.4,1.4,40000,0.0
34,2006-10-30,1.4,1.4,1.4,1.4,3000,0.0
35,2006-09-11,1.4,1.4,1.4,1.4,20000,-28000.0
36,2006-09-26,1.4,1.4,1.4,1.4,15000,0.0
37,2007-04-04,1.6,1.6,1.6,1.6,1000,0.0
38,2007-04-27,1.54,1.54,1.54,1.54,93000,0.0
39,2007-04-30,1.5,1.5,1.5,1.5,71000,0.0
40,2007-08-02,2.02,2.02,2.02,2.02,20000,0.0
41,2007-08-03,1.9,1.9,1.9,1.9,50000,0.0
42,2007-08-07,1.9,1.9,1.9,1.9,50000,0.0
43,2007-08-16,1.8,1.8,1.6,1.6,100000,0.0
44,2007-08-17,1.6,1.6,1.6,1.6,42000,0.0
45,2007-08-31,1.7,1.7,1.7,1.7,176000,0.0
46,2007-12-03,1.76,1.8,1.76,1.8,16000,0.0
47,2007-12-05,1.8,1.8,1.8,1.8,150000,0.0
48,2007-12-06,1.8,1.8,1.8,1.8,18000,0.0
49,2007-12-07,1.8,1.8,1.8,1.8,56000,0.0
50,2007-12-10,1.8,1.8,1.8,1.8,1000,0.0
51,2007-12-13,1.8,1.8,1.8,1.8,8000,0.0
52,2007-12-18,1.8,1.8,1.8,1.8,100000,0.0
53,2007-12-19,1.8,1.8,1.8,1.8,208000,0.0
54,2007-12-26,1.7,1.8,1.7,1.8,333000,-425000.0
55,2007-12-27,1.72,1.74,1.72,1.74,27000,-44720.0
56,2007-12-28,1.8,1.8,1.8,1.8,10000,0.0
57,2007-02-05,1.58,1.58,1.58,1.58,29000,0.0
58,2007-02-06,1.56,1.58,1.56,1.58,139000,0.0
59,2007-02-07,1.58,1.58,1.58,1.58,2000,0.0
60,2007-02-08,1.56,1.56,1.56,1.56,10000,0.0
61,2007-02-09,1.54,1.54,1.54,1.54,52000,0.0
62,2007-02-12,1.54,1.54,1.54,1.54,4000,0.0
63,2007-02-13,1.58,1.58,1.58,1.58,78000,0.0
64,2007-02-19,1.54,1.54,1.54,1.54,42000,0.0
65,2007-02-20,1.6,1.6,1.6,1.6,51000,0.0
66,2007-02-21,1.5,1.7,1.5,1.7,22000,0.0
67,2007-02-22,1.7,1.7,1.7,1.7,2000,0.0
68,2007-02-26,1.7,1.7,1.7,1.7,8000,0.0
69,2007-01-02,1.3,1.3,1.3,1.3,2000,0.0
70,2007-01-03,1.42,1.68,1.4,1.68,101000,0.0
71,2007-01-09,1.4,1.4,1.4,1.4,2000,0.0
72,2007-01-24,1.6,1.6,1.6,1.6,20000,0.0
73,2007-07-03,1.92,1.92,1.92,1.92,25000,0.0
74,2007-07-04,1.98,1.98,1.98,1.98,30000,0.0
75,2007-07-05,2.0,2.0,2.0,2.0,157000,0.0
76,2007-07-06,2.02,2.02,2.02,2.02,6000,0.0
77,2007-07-09,2.02,2.02,2.02,2.02,20000,0.0
78,2007-07-11,2.02,2.02,2.02,2.02,1000,0.0
79,2007-07-12,2.02,2.02,2.02,2.02,6000,0.0
80,2007-07-25,2.04,2.04,2.02,2.02,129000,0.0
81,2007-07-27,2.04,2.04,2.02,2.02,68000,0.0
82,2007-07-30,2.02,2.1,2.02,2.02,150000,0.0
83,2007-06-19,1.68,1.8,1.68,1.8,227000,0.0
84,2007-06-21,1.9,1.9,1.9,1.9,61000,0.0
85,2007-06-25,1.92,1.92,1.92,1.92,32000,0.0
86,2007-06-27,1.92,1.92,1.92,1.92,20000,0.0
87,2007-06-28,1.92,1.92,1.92,1.92,20000,0.0
88,2007-03-01,1.6,1.6,1.6,1.6,64000,0.0
89,2007-03-06,1.6,1.6,1.6,1.6,1295000,0.0
90,2007-03-09,1.5,1.5,1.5,1.5,8000,0.0
91,2007-03-12,1.6,1.6,1.6,1.6,699000,0.0
92,2007-03-13,1.5,1.6,1.5,1.5,128000,0.0
93,2007-03-20,1.5,1.5,1.5,1.5,53000,0.0
94,2007-03-21,1.52,1.52,1.52,1.52,3000,0.0
95,2007-03-23,1.5,1.5,1.5,1.5,10000,0.0
96,2007-03-29,1.5,1.5,1.5,1.5,1000,0.0
97,2007-05-08,1.56,1.56,1.56,1.56,22000,0.0
98,2007-05-11,1.6,1.6,1.6,1.6,6000,0.0
99,2007-05-15,1.6,1.6,1.6,1.6,22000,0.0
100,2007-05-17,1.6,1.6,1.6,1.6,62000,0.0
101,2007-05-21,1.8,1.8,1.8,1.8,32000,0.0
102,2007-05-23,1.64,1.64,1.64,1.64,83000,0.0
103,2007-05-24,1.64,1.64,1.64,1.64,20000,0.0
104,2007-05-29,1.64,1.64,1.64,1.64,3000,0.0
105,2007-05-31,1.7,1.7,1.7,1.7,1000,0.0
106,2007-11-05,1.64,1.64,1.64,1.64,50000,0.0
107,2007-11-06,1.64,1.64,1.64,1.64,1000,0.0
108,2007-11-13,1.64,1.7,1.64,1.7,46000,-77600.0
109,2007-11-14,1.7,1.7,1.7,1.7,61000,0.0
110,2007-11-15,1.72,1.72,1.72,1.72,10000,0.0
111,2007-11-20,1.7,1.7,1.7,1.7,275000,0.0
112,2007-11-21,1.7,1.7,1.7,1.7,10000,0.0
113,2007-11-22,1.7,1.7,1.7,1.7,3000,0.0
114,2007-10-02,1.66,1.66,1.66,1.66,50000,83000.0
115,2007-10-03,1.64,1.64,1.64,1.64,5000,0.0
116,2007-10-04,1.66,1.66,1.66,1.66,62000,0.0
117,2007-10-05,1.64,1.66,1.64,1.66,30000,0.0
118,2007-10-09,1.66,1.66,1.66,1.66,100000,0.0
119,2007-10-11,1.7,1.7,1.7,1.7,46000,78200.0
120,2007-10-16,1.64,1.64,1.64,1.64,11000,0.0
121,2007-10-19,1.64,1.64,1.64,1.64,155000,0.0
122,2007-10-22,1.64,1.64,1.64,1.64,12000,0.0
123,2007-10-24,1.62,1.62,1.62,1.62,100000,0.0
124,2007-10-25,1.6,1.6,1.6,1.6,30000,0.0
125,2007-10-26,1.6,1.6,1.6,1.6,7000,0.0
126,2007-10-30,1.6,1.6,1.6,1.6,63000,0.0
127,2007-10-31,1.6,1.6,1.6,1.6,55000,0.0
128,2007-09-03,2.0,2.0,2.0,2.0,10000,0.0
129,2007-09-13,1.6,1.7,1.6,1.7,51000,0.0
130,2007-09-18,1.62,1.62,1.62,1.62,100000,0.0
131,2007-09-19,1.6,1.6,1.6,1.6,70000,0.0
132,2007-09-21,1.64,1.64,1.64,1.64,50000,0.0
133,2007-09-27,1.66,1.66,1.66,1.66,100000,0.0
134,2008-04-17,1.7,1.7,1.7,1.7,83000,0.0
135,2008-04-21,1.7,1.7,1.7,1.7,186000,0.0
136,2008-04-23,1.7,1.7,1.7,1.7,28000,0.0
137,2008-04-24,1.7,1.7,1.7,1.7,150000,0.0
138,2008-04-25,1.7,1.7,1.7,1.7,15000,0.0
139,2008-04-29,1.7,1.72,1.7,1.72,86000,0.0
140,2008-04-30,1.7,1.7,1.7,1.7,15000,0.0
141,2008-08-15,1.2,1.2,1.2,1.2,17000,0.0
142,2008-08-28,1.2,1.2,1.2,1.2,6000,0.0
