,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-14,0.8,0.85,0.8,0.85,510000.0,0.0
1,2006-08-15,0.85,0.85,0.81,0.81,690000.0,0.0
2,2006-08-16,0.81,0.81,0.77,0.77,410000.0,0.0
3,2006-08-17,0.8,0.8,0.8,0.8,430000.0,0.0
4,2006-12-04,1.04,1.04,1.02,1.04,1067000.0,0.0
5,2006-12-05,1.04,1.04,1.0,1.0,173000.0,0.0
6,2006-12-06,1.0,1.0,1.0,1.0,120000.0,0.0
7,2006-12-07,1.0,1.04,1.0,1.04,500000.0,0.0
8,2006-12-08,1.02,1.02,1.02,1.02,159000.0,0.0
9,2006-12-12,1.04,1.04,1.04,1.04,170000.0,0.0
10,2006-12-13,1.04,1.04,1.04,1.04,207000.0,0.0
11,2006-12-14,1.04,1.04,1.04,1.04,83000.0,-31200.0
12,2006-12-18,1.0,1.04,1.0,1.04,188000.0,0.0
13,2006-12-19,1.04,1.04,1.02,1.02,749000.0,0.0
14,2006-12-20,1.0,1.0,1.0,1.0,107000.0,0.0
15,2006-12-21,1.0,1.0,1.0,1.0,110000.0,0.0
16,2006-12-22,1.0,1.0,1.0,1.0,200000.0,0.0
17,2006-12-29,1.02,1.02,1.02,1.02,130000.0,0.0
18,2006-11-02,1.04,1.06,1.04,1.06,483000.0,-5300.0
19,2006-11-03,1.06,1.06,1.04,1.06,1021000.0,-842700.0
20,2006-11-06,1.06,1.06,1.04,1.06,530000.0,-106000.0
21,2006-11-07,1.04,1.1,1.04,1.06,1220000.0,-532120.0
22,2006-11-08,1.06,1.06,1.04,1.04,140000.0,10600.0
23,2006-11-09,1.06,1.06,1.06,1.06,190000.0,0.0
24,2006-11-10,1.06,1.06,1.06,1.06,405000.0,0.0
25,2006-11-13,1.04,1.06,1.04,1.06,132000.0,0.0
26,2006-11-14,1.04,1.04,1.04,1.04,887000.0,0.0
27,2006-11-15,1.04,1.04,1.02,1.02,151000.0,0.0
28,2006-11-16,1.04,1.08,1.04,1.06,1430000.0,0.0
29,2006-11-17,1.08,1.18,1.08,1.18,5549000.0,-22800.0
30,2006-11-20,1.18,1.2,1.1,1.1,1048000.0,0.0
31,2006-11-21,1.08,1.1,1.08,1.1,5057000.0,0.0
32,2006-11-22,1.1,1.14,1.1,1.14,213000.0,29120.0
33,2006-11-23,1.1,1.1,1.08,1.08,456000.0,0.0
34,2006-11-24,1.08,1.1,1.08,1.1,289000.0,15400.0
35,2006-11-27,1.06,1.08,1.06,1.06,300000.0,0.0
36,2006-11-28,1.02,1.02,1.02,1.02,100000.0,0.0
37,2006-11-29,1.04,1.06,1.04,1.04,682000.0,0.0
38,2006-11-30,1.04,1.04,1.02,1.04,1300000.0,0.0
39,2006-10-02,0.87,0.87,0.87,0.87,50000.0,0.0
40,2006-10-03,0.87,0.87,0.87,0.87,110000.0,0.0
41,2006-10-04,0.88,0.88,0.88,0.88,10000.0,0.0
42,2006-10-05,0.88,0.95,0.88,0.95,650000.0,-28500.0
43,2006-10-06,0.93,0.93,0.91,0.91,480000.0,0.0
44,2006-10-09,0.9,0.9,0.89,0.89,570000.0,0.0
45,2006-10-10,0.9,0.91,0.9,0.91,290000.0,0.0
46,2006-10-11,0.9,0.91,0.9,0.9,1400000.0,0.0
47,2006-10-12,0.91,0.92,0.9,0.9,1780000.0,0.0
48,2006-10-13,0.91,1.04,0.91,1.0,3690000.0,0.0
49,2006-10-16,1.02,1.12,1.02,1.1,2570000.0,-63800.0
50,2006-10-17,1.08,1.1,1.06,1.1,787000.0,0.0
51,2006-10-18,1.08,1.14,1.06,1.12,3138000.0,-11200.0
52,2006-10-19,1.12,1.14,1.1,1.14,1037000.0,0.0
53,2006-10-20,1.14,1.14,1.12,1.14,644000.0,0.0
54,2006-10-23,1.12,1.12,1.1,1.12,149000.0,0.0
55,2006-10-25,1.1,1.1,1.1,1.1,672000.0,0.0
56,2006-10-26,1.1,1.1,1.06,1.06,2530000.0,-21200.0
57,2006-10-27,1.06,1.1,1.06,1.06,686000.0,0.0
58,2006-10-30,1.06,1.06,1.06,1.06,455000.0,0.0
59,2006-10-31,1.06,1.06,1.04,1.06,503000.0,0.0
60,2006-09-01,0.8,0.88,0.8,0.88,590000.0,0.0
61,2006-09-04,0.89,0.9,0.89,0.89,130000.0,0.0
62,2006-09-05,0.89,0.89,0.89,0.89,10000.0,0.0
63,2006-09-06,0.87,0.88,0.82,0.83,120000.0,0.0
64,2006-09-07,0.85,0.86,0.85,0.86,440000.0,0.0
65,2006-09-08,0.83,0.84,0.78,0.84,230000.0,0.0
66,2006-09-11,0.86,0.86,0.85,0.85,1500000.0,1105000.0
67,2006-09-12,0.84,0.86,0.84,0.86,470000.0,0.0
68,2006-09-14,0.84,0.84,0.84,0.84,20000.0,0.0
69,2006-09-15,0.84,0.84,0.84,0.84,90000.0,0.0
70,2006-09-18,0.88,0.88,0.88,0.88,10000.0,0.0
71,2006-09-19,0.88,0.88,0.84,0.88,550000.0,0.0
72,2006-09-20,0.85,0.88,0.85,0.85,220000.0,0.0
73,2006-09-21,0.85,0.85,0.84,0.85,300000.0,8400.0
74,2006-09-22,0.84,0.84,0.84,0.84,90000.0,75600.0
75,2006-09-25,0.86,0.86,0.85,0.86,640000.0,0.0
76,2006-09-26,0.86,0.86,0.86,0.86,630000.0,0.0
77,2006-09-27,0.87,0.9,0.87,0.89,920000.0,0.0
78,2007-04-03,1.3,1.32,1.3,1.32,732000.0,0.0
79,2007-04-04,1.3,1.36,1.3,1.32,285000.0,0.0
80,2007-04-10,1.32,1.4,1.32,1.4,465000.0,0.0
81,2007-04-11,1.3,1.44,1.3,1.4,205000.0,0.0
82,2007-04-12,1.4,1.42,1.4,1.4,116000.0,0.0
83,2007-04-13,1.4,1.44,1.38,1.44,154000.0,0.0
84,2007-04-16,1.44,1.46,1.42,1.46,826000.0,938520.0
85,2007-04-17,1.48,1.58,1.48,1.52,1066000.0,931560.0
86,2007-04-18,1.52,1.52,1.48,1.48,307000.0,0.0
87,2007-04-19,1.48,1.48,1.48,1.48,240000.0,0.0
88,2007-04-20,1.46,1.46,1.44,1.46,4701000.0,0.0
89,2007-04-23,1.46,1.46,1.46,1.46,427000.0,0.0
90,2007-04-24,1.44,1.44,1.42,1.44,530000.0,0.0
91,2007-04-25,1.42,1.42,1.42,1.42,63000.0,0.0
92,2007-04-26,1.42,1.42,1.42,1.42,332000.0,0.0
93,2007-04-27,1.44,1.44,1.4,1.42,1404000.0,0.0
94,2007-04-30,1.4,1.4,1.4,1.4,169000.0,0.0
95,2007-08-01,1.72,1.72,1.66,1.66,1390000.0,1923600.0
96,2007-08-02,1.66,1.7,1.52,1.54,1069000.0,984600.0
97,2007-08-03,1.6,1.6,1.5,1.5,220000.0,75000.0
98,2007-08-06,1.4,1.4,1.36,1.4,1424000.0,0.0
99,2007-08-07,1.5,1.6,1.46,1.58,788000.0,0.0
100,2007-08-08,1.58,1.6,1.58,1.58,102000.0,0.0
101,2007-08-09,1.6,1.6,1.58,1.58,330000.0,0.0
102,2007-08-10,1.5,1.56,1.5,1.5,347000.0,0.0
103,2007-08-13,1.54,1.62,1.54,1.6,1600000.0,1411640.0
104,2007-08-14,1.62,1.8,1.62,1.7,2215000.0,875200.0
105,2007-08-15,1.7,1.7,1.6,1.6,508000.0,0.0
106,2007-08-16,1.56,1.56,1.38,1.38,894000.0,0.0
107,2007-08-17,1.44,1.48,1.38,1.38,1686000.0,14000.0
108,2007-08-21,1.5,1.54,1.48,1.54,293000.0,0.0
109,2007-08-22,1.54,1.54,1.54,1.54,20000.0,0.0
110,2007-08-23,1.54,1.6,1.54,1.6,57000.0,0.0
111,2007-08-24,1.6,1.6,1.6,1.6,115000.0,0.0
112,2007-08-28,1.5,1.5,1.5,1.5,450000.0,0.0
113,2007-08-29,1.4,1.48,1.4,1.48,66000.0,0.0
114,2007-08-30,1.5,1.52,1.5,1.52,325000.0,0.0
115,2007-08-31,1.6,1.7,1.6,1.66,1206000.0,0.0
116,2007-12-04,0.7,0.7,0.7,0.7,900000.0,0.0
117,2007-12-05,0.7,0.71,0.7,0.71,1610000.0,0.0
118,2007-12-06,0.7,0.7,0.7,0.7,650000.0,0.0
119,2007-12-07,0.7,0.7,0.7,0.7,190000.0,0.0
120,2007-12-10,0.72,0.72,0.72,0.72,50000.0,0.0
121,2007-12-11,0.71,0.71,0.71,0.71,60000.0,0.0
122,2007-12-12,0.71,0.71,0.7,0.71,530000.0,-213000.0
123,2007-12-13,0.71,0.71,0.7,0.7,130000.0,0.0
124,2007-12-17,0.69,0.69,0.69,0.69,50000.0,0.0
125,2007-12-18,0.69,0.69,0.69,0.69,10000.0,0.0
126,2007-12-19,0.68,0.68,0.67,0.67,440000.0,0.0
127,2007-12-20,0.7,0.7,0.7,0.7,10000.0,0.0
128,2007-12-26,0.68,0.68,0.68,0.68,200000.0,0.0
129,2007-12-27,0.69,0.69,0.69,0.69,310000.0,0.0
130,2007-12-28,0.69,0.69,0.69,0.69,200000.0,0.0
131,2007-02-01,1.3,1.36,1.3,1.34,447000.0,0.0
132,2007-02-02,1.38,1.44,1.38,1.44,1770000.0,0.0
133,2007-02-05,1.44,1.44,1.44,1.44,23000.0,0.0
134,2007-02-06,1.44,1.44,1.42,1.42,1380000.0,0.0
135,2007-02-07,1.42,1.42,1.38,1.38,670000.0,0.0
136,2007-02-08,1.38,1.38,1.38,1.38,209000.0,0.0
137,2007-02-09,1.38,1.4,1.38,1.38,586000.0,0.0
138,2007-02-12,1.38,1.38,1.38,1.38,4000.0,0.0
139,2007-02-13,1.38,1.38,1.36,1.36,150000.0,0.0
140,2007-02-14,1.42,1.42,1.42,1.42,140000.0,0.0
141,2007-02-15,1.44,1.6,1.44,1.52,2486000.0,0.0
142,2007-02-19,1.48,1.52,1.48,1.52,272000.0,0.0
143,2007-02-20,1.52,1.56,1.52,1.54,404000.0,0.0
144,2007-02-21,1.62,1.62,1.56,1.56,45000.0,0.0
145,2007-02-22,1.54,1.56,1.5,1.52,110000.0,0.0
146,2007-02-23,1.52,1.54,1.52,1.54,60000.0,0.0
147,2007-02-26,1.6,1.6,1.6,1.6,270000.0,0.0
148,2007-02-27,1.6,1.6,1.6,1.6,5000.0,0.0
149,2007-02-28,1.48,1.48,1.44,1.46,749000.0,0.0
150,2007-01-02,1.02,1.1,1.02,1.1,333000.0,0.0
151,2007-01-03,1.1,1.1,1.1,1.1,151000.0,0.0
152,2007-01-04,1.04,1.04,1.04,1.04,60000.0,0.0
153,2007-01-05,1.04,1.04,1.04,1.04,155000.0,0.0
154,2007-01-08,1.04,1.08,1.04,1.08,1075000.0,0.0
155,2007-01-09,1.08,1.12,1.08,1.12,814000.0,0.0
156,2007-01-10,1.1,1.2,1.1,1.18,2088000.0,0.0
157,2007-01-11,1.18,1.2,1.16,1.18,1943000.0,0.0
158,2007-01-12,1.16,1.2,1.16,1.2,482000.0,0.0
159,2007-01-15,1.18,1.18,1.18,1.18,476000.0,0.0
160,2007-01-16,1.18,1.18,1.18,1.18,76000.0,0.0
161,2007-01-17,1.18,1.26,1.18,1.26,3003000.0,0.0
162,2007-01-18,1.28,1.32,1.28,1.28,953000.0,0.0
163,2007-01-19,1.28,1.28,1.26,1.28,607000.0,0.0
164,2007-01-22,1.28,1.36,1.28,1.34,2457000.0,0.0
165,2007-01-23,1.28,1.32,1.28,1.3,1367000.0,0.0
166,2007-01-24,1.3,1.32,1.3,1.32,203000.0,0.0
167,2007-01-25,1.36,1.36,1.3,1.36,587000.0,0.0
168,2007-01-26,1.34,1.36,1.34,1.34,1504000.0,-120600.0
169,2007-01-30,1.3,1.32,1.3,1.32,161000.0,0.0
170,2007-01-31,1.34,1.34,1.32,1.34,126000.0,0.0
171,2007-07-02,1.62,1.62,1.6,1.6,169000.0,0.0
172,2007-07-03,1.66,1.7,1.66,1.66,447000.0,0.0
