,Date,Open,High,Low,Close,Volume,OtherData
0,2009-12-03,3.55,3.7,3.55,3.7,13000.0,0.0
1,2009-12-07,3.9,3.9,3.9,3.9,15000.0,0.0
2,2009-12-08,3.6,3.6,3.6,3.6,50000.0,0.0
3,2009-12-11,3.6,3.6,3.6,3.6,1000.0,0.0
4,2009-12-14,3.7,3.7,3.7,3.7,5000.0,0.0
5,2009-12-22,3.8,3.8,3.8,3.8,7000.0,-26600.0
6,2009-11-06,3.75,3.75,3.75,3.75,4000.0,0.0
7,2009-11-16,3.85,3.85,3.85,3.85,10000.0,0.0
8,2009-11-26,3.65,3.65,3.6,3.6,14000.0,0.0
9,2009-11-27,3.6,3.6,3.45,3.6,29000.0,0.0
10,2009-10-09,3.75,4.35,3.75,3.95,62000.0,0.0
11,2009-10-12,3.95,3.95,3.95,3.95,9000.0,0.0
12,2009-10-13,3.95,4.0,3.95,3.95,14000.0,0.0
13,2009-10-16,3.95,3.95,3.95,3.95,12000.0,0.0
14,2009-10-28,3.0,3.0,3.0,3.0,1000.0,0.0
15,2009-09-03,5.0,5.0,4.5,4.5,91000.0,0.0
16,2009-09-04,4.55,4.55,4.35,4.35,40000.0,-18050.0
17,2009-09-08,4.6,4.6,4.35,4.35,35000.0,0.0
18,2009-09-09,4.4,4.4,4.4,4.4,4000.0,0.0
19,2009-09-11,4.3,4.3,4.0,4.0,16000.0,0.0
20,2009-09-14,4.0,4.0,4.0,4.0,56000.0,0.0
21,2009-09-15,4.0,4.0,4.0,4.0,1000.0,0.0
22,2009-09-16,4.0,4.0,4.0,4.0,9000.0,0.0
23,2010-04-30,4.4,4.4,4.0,4.0,10000.0,0.0
24,2010-02-08,4.0,4.0,4.0,4.0,11000.0,0.0
25,2010-02-12,4.1,4.1,4.1,4.1,1000.0,0.0
26,2010-02-17,4.0,4.0,4.0,4.0,1000.0,0.0
27,2010-02-19,4.2,4.2,4.0,4.0,16000.0,0.0
28,2010-02-22,4.2,4.2,4.2,4.2,1000.0,0.0
29,2010-02-23,4.25,4.25,4.25,4.25,1000.0,0.0
30,2010-01-12,3.05,3.05,3.05,3.05,29000.0,0.0
31,2010-07-02,4.15,4.15,4.15,4.15,10000.0,0.0
32,2010-07-21,4.15,4.15,4.15,4.15,5000.0,0.0
33,2010-07-22,4.0,4.0,4.0,4.0,7000.0,0.0
34,2010-06-01,4.25,4.3,4.25,4.3,7000.0,0.0
35,2010-06-25,4.15,4.15,4.15,4.15,10000.0,0.0
36,2010-06-28,4.15,4.15,4.15,4.15,11000.0,0.0
37,2010-03-01,4.35,4.35,4.35,4.35,1000.0,0.0
38,2010-03-09,4.35,4.35,4.35,4.35,1000.0,-4350.0
39,2010-03-10,4.2,4.2,4.2,4.2,7000.0,0.0
