,Date,Open,High,Low,Close,Volume,OtherData
0,2013-11-11,56.0,57.3,53.6,56.5,32673050.0,178720189.0
1,2013-11-12,57.05,59.0,57.05,59.0,20931780.0,158419185.0
2,2013-11-13,59.0,60.5,59.0,59.9,17332280.0,151221158.0
3,2013-11-14,60.0,60.2,59.0,59.6,3594170.0,55582107.0
4,2013-11-15,59.6,60.0,58.7,58.7,4308570.0,15711846.0
5,2013-11-18,59.0,59.95,58.2,58.95,3386230.0,27657868.0
6,2013-11-19,58.95,59.7,58.6,59.5,7624650.0,52097885.0
7,2013-11-20,59.0,59.0,58.0,58.1,7972690.0,3623449.0
8,2013-11-21,58.2,58.5,57.8,57.95,8987600.0,72310408.0
9,2013-11-22,57.8,57.95,57.8,57.85,5292020.0,30316599.0
10,2013-11-25,57.85,57.9,57.65,57.65,2440350.0,12643506.0
11,2013-11-26,57.7,58.05,57.65,58.0,7528060.0,6378830.0
12,2013-11-27,58.0,58.05,57.2,57.2,5299040.0,2806824.0
13,2013-11-28,57.2,57.2,57.0,57.1,1029300.0,2162761.0
14,2013-11-29,57.1,57.1,55.5,56.15,2760400.0,-1085396.0
15,2013-12-02,56.1,56.15,55.75,56.0,1582960.0,-7732586.0
16,2013-12-03,56.0,56.5,55.95,56.5,2442880.0,5100195.0
17,2013-12-04,56.2,56.55,55.8,55.8,1463560.0,434268.0
18,2013-12-05,55.8,55.8,54.0,55.2,3687920.0,-4030942.0
19,2013-12-06,55.0,55.15,54.85,55.0,1413860.0,11382154.0
20,2013-12-09,54.9,55.0,54.9,54.95,637400.0,844970.0
21,2013-12-10,55.0,55.0,54.9,54.95,3946410.0,23447256.0
22,2013-12-11,55.0,55.0,54.0,54.0,1888310.0,7821760.0
23,2013-12-12,53.9,53.9,50.0,50.0,1756300.0,23392309.0
24,2013-12-13,50.0,50.9,48.0,50.1,8279530.0,26697058.0
25,2013-12-16,50.0,52.8,49.8,51.0,5708260.0,-94377517.0
26,2013-12-17,51.3,52.8,51.3,52.5,5616030.0,-4609265.5
27,2013-12-18,52.55,54.95,52.4,53.7,783040.0,3540205.0
28,2013-12-19,55.0,58.0,54.25,57.3,1070250.0,21564121.0
29,2013-12-20,57.0,57.0,55.0,56.95,1788070.0,1236980.0
30,2013-12-23,56.95,56.95,56.95,56.95,50100.0,-1149820.0
31,2013-12-26,56.95,56.95,55.05,56.9,201910.0,82964.0
32,2013-12-27,56.9,57.0,55.1,55.2,190980.0,-71277.0
33,2014-01-02,57.2,58.45,57.2,58.0,836140.0,26017210.0
34,2014-01-03,58.0,58.5,58.0,58.1,992050.0,-7115702.0
35,2014-01-06,58.1,59.0,58.0,58.1,3895140.0,-170818706.0
36,2014-01-07,58.1,58.35,57.95,58.0,709780.0,1275838.0
37,2014-01-08,58.0,58.2,58.0,58.1,455450.0,2677693.0
38,2014-01-09,58.1,58.1,57.95,58.0,982770.0,563570.0
39,2014-01-10,58.0,58.0,57.7,58.0,365500.0,5220447.0
40,2014-01-13,57.75,58.0,57.5,58.0,378260.0,-5204341.0
41,2014-01-14,58.25,58.25,57.0,58.0,303240.0,3865344.0
42,2014-01-15,58.0,60.2,58.0,58.2,1288030.0,4322779.0
43,2014-01-16,57.5,58.0,57.5,58.0,48830.0,-292900.0
44,2014-01-17,58.0,58.25,58.0,58.25,28070.0,786480.0
45,2014-01-20,58.0,58.0,57.1,57.1,388630.0,-9749207.0
46,2014-01-21,56.6,57.1,56.45,57.05,1182990.0,-2116440.0
47,2014-01-22,57.1,58.5,57.1,58.0,2418250.0,9930917.0
48,2014-01-23,58.15,59.0,58.15,58.3,1204500.0,-1964884.0
49,2014-01-24,57.7,58.7,57.65,58.3,235190.0,-4912213.0
50,2014-01-27,58.2,59.0,58.0,58.85,1225730.0,-25799785.0
51,2014-01-28,58.8,58.8,58.1,58.3,278980.0,2428510.0
52,2014-01-29,58.6,60.5,58.6,59.85,3166100.0,15050869.0
