Date,Unnamed: 0,Open,High,Low,Close,Volume,OtherData,EMA-18,EMA-50,EMA-100
2006-08-01,0,27.0,27.0,26.5,27.0,18300.0,-359100.0,,,
2006-08-02,1,27.0,27.0,26.5,26.5,18000.0,-216000.0,,,
2006-08-03,2,26.5,26.5,26.5,26.5,76100.0,0.0,,,
2006-08-04,3,26.5,26.5,26.5,26.5,122300.0,1388600.0,,,
2006-08-07,4,26.5,26.5,26.5,26.5,22000.0,0.0,,,
2006-08-08,5,26.0,26.5,25.5,26.5,97300.0,-1179800.0,,,
2006-08-09,6,26.0,26.0,26.0,26.0,36000.0,23400.0,,,
2006-08-10,7,26.0,26.0,26.0,26.0,71500.0,413400.0,,,
2006-08-11,8,26.0,26.0,26.0,26.0,66800.0,689000.0,,,
2006-08-14,9,25.5,26.0,25.5,26.0,11200.0,0.0,,,
2006-08-15,10,25.5,26.0,25.5,26.0,44000.0,0.0,,,
2006-08-16,11,26.0,26.0,25.5,26.0,6200.0,0.0,,,
2006-08-17,12,25.5,26.0,25.5,26.0,58800.0,-660450.0,,,
2006-12-04,13,21.0,21.0,20.5,20.75,54000.0,-311250.0,,,
2006-12-05,14,20.75,20.75,20.5,20.5,119400.0,-782250.0,,,
2006-12-06,15,20.25,20.25,20.25,20.25,138000.0,-1012500.0,,,
2006-12-07,16,20.25,20.25,20.0,20.0,147900.0,-2540250.0,,,
2006-12-08,17,20.0,20.0,19.0,19.0,171500.0,-1476275.0,24.555555555555557,,
2006-12-11,18,19.0,19.5,19.0,19.5,27000.0,0.0,24.023391812865487,,
2006-12-12,19,19.5,19.5,19.0,19.0,257300.0,-1928300.0,23.49461372730071,,
2006-12-13,20,19.0,19.0,19.0,19.0,245900.0,-1523800.0,23.021496492848005,,
2006-12-14,21,18.75,18.75,18.75,18.75,29800.0,-150000.0,22.57186528307453,,
2006-12-15,22,19.0,19.0,19.0,19.0,85000.0,-475000.0,22.195879463803525,,
2006-12-18,23,19.0,19.25,19.0,19.0,61900.0,-153900.0,21.85947109919263,,
2006-12-19,24,19.0,19.0,18.75,18.75,159500.0,-2436000.0,21.53215835190919,,
2006-12-20,25,18.75,19.0,18.75,19.0,67000.0,-591000.0,21.2656153674977,,
2006-12-21,26,18.75,19.0,18.75,18.75,99400.0,-975500.0,21.00081374986636,,
2006-12-22,27,18.75,18.75,18.75,18.75,92300.0,-281250.0,20.76388598672253,,
2006-12-27,28,18.75,18.75,18.5,18.5,30000.0,-468750.0,20.525582198646475,,
2006-12-28,29,18.5,18.75,18.5,18.5,166700.0,-1726700.0,20.312363019841584,,
2006-12-29,30,18.5,18.5,18.25,18.25,163900.0,370000.0,20.095272175647725,,
2006-11-02,31,19.25,19.25,19.25,19.25,558900.0,-4926075.0,20.006296157158502,,
2006-11-03,32,19.25,19.25,19.0,19.25,1202100.0,-16811025.0,19.92668603535234,,
2006-11-06,33,19.25,20.0,19.25,20.0,889300.0,-11661550.0,19.934403294788925,,
2006-11-07,34,20.25,20.5,19.75,19.75,553700.0,-7620375.0,19.91499242165326,,
2006-11-08,35,19.75,19.75,19.75,19.75,414700.0,-3555000.0,19.89762479832134,,
2006-11-09,36,19.75,19.75,19.5,19.75,273000.0,2689950.0,19.88208534586646,,
2006-11-10,37,20.0,20.0,19.75,19.75,190400.0,1975000.0,19.868181625248933,,
2006-11-13,38,20.0,20.0,19.75,20.0,386900.0,19750.0,19.882057243643786,,
2006-11-14,39,20.0,20.0,19.75,19.75,177600.0,1171500.0,19.86815648115497,,
2006-11-15,40,20.0,20.25,20.0,20.25,13702800.0,5048275.0,19.908350535770236,,
2006-11-16,41,20.25,20.75,20.25,20.75,532500.0,813225.0,19.996945216215472,,
2006-11-17,42,20.75,21.5,20.75,21.25,763100.0,-4974050.0,20.12884571977174,,
2006-11-20,43,21.5,22.25,21.5,21.5,265500.0,-1852500.0,20.27317774926945,,
2006-11-21,44,21.5,21.5,21.0,21.0,126900.0,-1502850.0,20.349685354609512,,
2006-11-22,45,21.0,21.0,20.75,20.75,93400.0,-1110900.0,20.391823738334825,,
2006-11-23,46,20.75,20.75,20.75,20.75,33500.0,0.0,20.42952650272064,,
2006-11-24,47,20.5,20.75,20.5,20.5,116100.0,1471900.0,20.436944765592145,,
2006-11-27,48,20.5,21.0,20.5,21.0,3527800.0,-1465825.0,20.496213737635077,,
2006-11-28,49,21.0,21.0,20.75,20.75,89700.0,-447900.0,20.52292808104191,21.45,
2006-11-29,50,20.75,20.75,20.5,20.5,173800.0,317750.0,20.520514598826974,21.41274509803921,
2006-11-30,51,20.5,21.0,20.5,21.0,387300.0,-4395000.0,20.570986746318873,21.396559015763167,
2006-10-02,52,20.5,20.5,20.0,20.0,16100.0,200000.0,20.510882878285308,21.34179199553716,
2006-10-03,53,19.5,19.5,18.75,19.25,284900.0,-846675.0,20.37815836478159,21.259760936888643,
