Date,Unnamed: 0,Open,High,Low,Close,Volume,OtherData,EMA-18,EMA-50,EMA-100
2006-08-01,0,49.0,49.0,49.0,49.0,58500.0,-318500.0,,,
2006-08-02,1,47.0,47.0,47.0,47.0,41000.0,-117500.0,,,
2006-08-03,2,47.0,47.5,46.5,47.5,49800.0,-1797500.0,,,
2006-08-04,3,47.0,49.0,47.0,48.5,353700.0,-13991050.0,,,
2006-08-07,4,49.0,49.5,48.0,49.5,118700.0,-2970000.0,,,
2006-08-08,5,49.0,49.0,48.5,48.5,107500.0,1699000.0,,,
2006-08-09,6,48.5,49.0,48.0,49.0,23700.0,0.0,,,
2006-08-10,7,47.5,48.5,47.5,48.5,1100.0,0.0,,,
2006-08-11,8,48.0,48.5,48.0,48.5,32500.0,361250.0,,,
2006-08-14,9,48.0,48.5,48.0,48.5,840900.0,12893000.0,,,
2006-08-15,10,48.0,49.0,48.0,49.0,525600.0,1746000.0,,,
2006-08-16,11,48.5,49.0,48.5,49.0,36300.0,0.0,,,
2006-08-17,12,49.0,49.0,48.5,48.5,69100.0,-2138850.0,,,
2006-12-04,13,63.5,65.5,63.5,65.5,226900.0,1262500.0,,,
2006-12-05,14,65.5,67.0,65.5,66.5,330300.0,-8508450.0,,,
2006-12-06,15,65.5,67.0,65.5,67.0,44100.0,-598500.0,,,
2006-12-07,16,66.0,67.0,66.0,67.0,65300.0,-1005000.0,,,
2006-12-08,17,66.0,66.0,66.0,66.0,41000.0,0.0,53.5,,
2006-12-11,18,66.0,66.0,65.0,65.5,160100.0,-9577550.0,54.76315789473684,,
2006-12-12,19,63.0,65.5,63.0,65.5,42400.0,-1605000.0,55.89335180055403,,
2006-12-13,20,65.5,65.5,64.5,65.0,28200.0,-1797100.0,56.851946347864114,,
2006-12-14,21,64.5,65.5,64.5,65.5,110000.0,1231700.0,57.76226778493106,,
2006-12-15,22,63.5,66.0,63.5,66.0,28800.0,-575550.0,58.62939749178042,,
2006-12-18,23,66.0,67.5,66.0,67.5,292200.0,4951900.0,59.563145124224576,,
2006-12-19,24,67.0,67.0,66.5,66.5,42300.0,-2195500.0,60.29334037430621,,
2006-12-20,25,66.0,66.0,65.5,65.5,64200.0,-4208350.0,60.84140980858975,,
2006-12-21,26,65.5,66.0,65.5,66.0,156000.0,-9564400.0,61.384419302422415,,
2006-12-22,27,66.0,66.0,66.0,66.0,146200.0,-5953200.0,61.87026990216742,,
2006-12-27,28,66.0,66.5,66.0,66.5,80100.0,-4366000.0,62.35760991246559,,
2006-12-28,29,66.0,66.0,65.5,66.0,78000.0,-1861150.0,62.74101939536395,,
2006-12-29,30,65.5,65.5,65.0,65.5,70200.0,-1943400.0,63.03143840637827,,
2006-11-02,31,61.0,61.0,60.5,61.0,286000.0,1591100.0,62.81760278465425,,
2006-11-03,32,61.0,62.0,61.0,62.0,118800.0,6930350.0,62.731539333638,,
2006-11-06,33,61.5,62.0,61.5,62.0,73900.0,868650.0,62.654535193255064,,
2006-11-07,34,62.5,65.5,62.5,65.5,48900.0,0.0,62.95405780449137,,
2006-11-08,35,63.5,64.5,62.0,62.5,95100.0,-1957600.0,62.90626224612386,,
2006-11-09,36,62.0,65.0,62.0,64.5,254600.0,-6831650.0,63.07402411495293,,
2006-11-10,37,64.5,64.5,64.5,64.5,1600.0,0.0,63.224126839694726,,
2006-11-13,38,64.0,64.5,63.0,63.0,60300.0,933300.0,63.20053454077949,,
2006-11-14,39,63.0,63.0,63.0,63.0,169700.0,4410000.0,63.17942564175007,,
2006-11-15,40,62.5,63.5,62.5,63.5,153200.0,8190000.0,63.21317031103954,,
2006-11-16,41,63.0,63.0,62.5,63.0,459700.0,10715000.0,63.1907313309301,,
2006-11-17,42,63.0,63.0,62.0,63.0,313500.0,925000.0,63.17065434872694,,
2006-11-20,43,62.5,64.0,62.5,64.0,507800.0,-2964600.0,63.25795389096621,,
2006-11-21,44,63.0,64.0,63.0,64.0,194400.0,-3918850.0,63.33606400770661,,
2006-11-22,45,63.5,63.5,63.5,63.5,496400.0,-11398250.0,63.35332042794803,,
2006-11-23,46,63.0,63.0,62.0,63.0,245300.0,-4443500.0,63.316128803953504,,
2006-11-24,47,62.0,63.0,62.0,62.5,117800.0,-5815750.0,63.230220508800485,,
2006-11-27,48,62.5,62.5,62.5,62.5,502900.0,-7868750.0,63.153355192084646,,
2006-11-28,49,62.0,62.0,61.5,61.5,308000.0,-6047500.0,62.979317803444154,60.37,
2006-11-29,50,61.0,63.0,61.0,63.0,130800.0,-3591800.0,62.98149487676582,60.47313725490197,
2006-11-30,51,62.0,64.0,62.0,64.0,729700.0,-158700.0,63.08870594236943,60.611445597846966,
2006-10-02,52,51.5,51.5,50.0,50.0,97700.0,-475000.0,61.71094742212003,60.19531047636279,
2006-10-03,53,50.0,50.0,49.5,50.0,883000.0,14044850.0,60.478216114528436,59.795494379250535,
2006-10-04,54,50.0,50.0,50.0,50.0,15400.0,445000.0,59.375245997209646,59.41135734477011,
2006-10-05,55,50.0,50.0,50.0,50.0,76000.0,700000.0,58.38837799750338,59.0422845077203,
2006-10-06,56,51.0,52.5,51.0,52.5,161800.0,3619750.0,57.76854873460828,58.78572433094696,
2006-10-09,57,52.5,54.0,52.5,53.5,196400.0,-4711750.0,57.31922781517583,58.578441023851006,
2006-10-10,58,54.0,54.0,53.0,54.0,4520100.0,0.0,56.969835413578366,58.39889431703331,
2006-10-11,59,54.0,54.0,53.5,54.0,141300.0,1139400.0,56.65722115951749,58.22638865754181,
2006-10-12,60,53.0,54.0,53.0,54.0,53000.0,-2237200.0,56.37751366904197,58.060647925873496,
2006-10-13,61,54.0,54.5,54.0,54.5,25000.0,0.0,56.17988065124808,57.92101467387847,
2006-10-16,62,54.5,54.5,54.5,54.5,900.0,0.0,56.00305110901144,57.78685723568716,
2006-10-17,63,54.0,54.5,54.0,54.5,86800.0,2800700.0,55.84483520279972,57.65796087350335,
2006-10-18,64,54.5,54.5,54.5,54.5,900.0,0.0,55.703273602505,57.53411927062086,
2006-10-19,65,54.5,55.0,54.5,54.5,29500.0,-825000.0,55.576613223293954,57.41513420118475,
2006-10-20,66,54.5,55.0,54.5,55.0,1429400.0,26744500.0,55.51591709452617,57.32042305604025,
2006-10-23,67,55.0,55.5,54.5,55.0,146000.0,-6596200.0,55.46161003194447,57.22942607345043,
2006-10-25,68,55.0,59.0,55.0,59.0,303400.0,575200.0,55.83407213384504,57.29886034507983,
2006-10-26,69,59.0,59.5,58.5,59.5,105200.0,-1470000.0,56.21995927765082,57.38517954723356,
2006-10-27,70,59.0,60.5,59.0,60.5,14000.0,597250.0,56.670489880003366,57.507329368910675,
2006-10-30,71,61.5,61.5,60.0,60.5,17000.0,0.0,57.07359620842407,57.62468900150241,
2006-10-31,72,60.5,61.5,60.5,61.0,643100.0,13723900.0,57.48690187069522,57.757054138698386,
2006-09-01,73,50.0,52.5,50.0,52.5,162100.0,2475800.0,56.96196483167467,57.5508951528671,
2006-09-04,74,52.5,53.0,52.0,52.0,237500.0,3619000.0,56.43965274412997,57.33321299000955,
2006-09-05,75,51.5,52.0,51.5,51.5,152900.0,4640000.0,55.919689297379435,57.10445953942094,
2006-09-07,76,51.0,54.5,51.0,53.0,374100.0,972750.0,55.61235358186582,56.94350034179658,
2006-09-08,77,51.5,52.5,51.5,52.5,25600.0,521000.0,55.28473741535361,56.76924542643203,
