,Date,Open,High,Low,Close,Volume,OtherData
0,2011-07-04,6.0,6.0,6.0,6.0,2900,0.0
1,2011-07-05,5.5,5.5,5.5,5.5,6200,0.0
2,2011-07-07,4.4,4.4,4.4,4.4,23600,0.0
3,2011-07-11,3.65,3.65,3.0,3.0,4000,0.0
4,2011-07-12,3.0,3.0,3.0,3.0,2000,0.0
5,2011-07-13,2.2,2.2,2.2,2.2,21000,0.0
6,2011-07-14,1.5,1.5,1.5,1.5,20000,7500.0
7,2011-07-15,1.5,1.8,1.5,1.8,13000,-9000.0
8,2011-07-18,1.99,2.0,1.99,2.0,13000,0.0
9,2011-07-19,1.9,2.05,1.9,2.05,27000,0.0
10,2011-07-21,2.05,3.0,2.05,3.0,21000,-15750.0
11,2011-07-22,3.0,3.0,2.1,2.25,50000,0.0
12,2011-07-25,2.96,2.98,2.96,2.98,7000,0.0
13,2011-07-28,1.98,1.98,1.51,1.9,57000,-6620.0
14,2011-07-29,1.85,1.86,1.85,1.86,10000,0.0
15,2011-08-01,2.4,2.4,2.4,2.4,1000,0.0
16,2011-08-02,2.65,2.65,1.92,1.98,12000,0.0
17,2011-08-03,1.98,1.98,1.7,1.98,34000,0.0
18,2011-08-09,1.7,1.98,1.68,1.98,12000,0.0
19,2011-08-11,1.68,1.68,1.68,1.68,6000,0.0
20,2011-08-16,1.96,1.96,1.96,1.96,6000,0.0
21,2011-08-18,1.5,1.8,1.5,1.8,10000,0.0
22,2011-08-19,1.5,2.29,1.5,2.29,128000,85200.0
23,2011-08-22,2.0,2.0,2.0,2.0,10000,0.0
24,2011-08-23,2.0,2.0,1.56,1.56,12000,11600.0
25,2011-08-24,1.87,1.87,1.87,1.87,3000,0.0
26,2011-08-25,1.5,1.5,1.5,1.5,1000,1500.0
27,2011-08-31,1.55,1.55,1.5,1.5,9000,3100.0
28,2011-09-02,1.85,1.85,1.85,1.85,10000,-18500.0
29,2011-09-05,1.86,1.86,1.85,1.85,10000,-18550.0
30,2011-09-08,1.52,1.52,1.52,1.52,17000,0.0
31,2011-09-09,1.6,1.6,1.6,1.6,52000,-36800.0
32,2011-09-12,1.6,1.61,1.6,1.61,54000,6400.0
33,2011-09-13,1.6,1.6,1.6,1.6,40000,0.0
34,2011-09-16,1.52,1.61,1.52,1.61,19000,0.0
35,2011-09-19,1.62,1.62,1.62,1.62,10000,0.0
36,2011-09-22,1.52,1.52,1.52,1.52,21000,0.0
37,2011-09-23,1.52,1.52,1.52,1.52,10000,0.0
38,2011-09-26,1.5,1.5,1.5,1.5,10000,0.0
39,2011-10-04,1.5,1.5,1.5,1.5,14000,-6000.0
40,2011-10-07,1.3,1.3,1.3,1.3,1000,0.0
41,2011-10-17,1.3,1.3,1.15,1.16,59000,0.0
42,2011-10-18,1.1,1.25,1.1,1.25,45000,8000.0
43,2011-10-19,1.1,1.1,1.07,1.07,22000,0.0
44,2011-10-24,1.29,1.29,1.29,1.29,8000,0.0
45,2011-10-25,1.08,1.11,1.07,1.1,90000,-14400.0
46,2011-10-26,1.15,1.19,1.1,1.1,162000,0.0
47,2011-10-27,1.15,1.15,1.11,1.15,61000,0.0
48,2011-10-28,1.1,1.1,1.1,1.1,264000,0.0
49,2011-11-02,1.01,1.1,1.01,1.1,13000,0.0
50,2011-11-03,1.06,1.06,1.0,1.01,192000,0.0
51,2011-11-04,1.02,1.02,1.01,1.02,121000,0.0
52,2011-11-08,1.02,1.02,1.02,1.02,5000,0.0
53,2011-11-09,1.0,1.0,1.0,1.0,10000,0.0
54,2011-11-10,1.0,1.0,0.98,0.98,74000,0.0
55,2011-11-11,0.96,0.96,0.96,0.96,58000,0.0
56,2011-11-14,1.0,1.0,0.98,0.98,51000,40000.0
57,2011-11-15,0.98,0.98,0.9,0.9,185000,0.0
58,2011-11-16,0.9,0.95,0.9,0.95,121000,10800.0
59,2011-11-17,1.0,1.0,0.98,0.98,7000,0.0
60,2011-11-21,0.98,0.98,0.98,0.98,9000,0.0
61,2011-11-22,1.0,1.0,1.0,1.0,40000,0.0
62,2011-11-23,1.0,1.0,0.99,0.99,7000,0.0
63,2011-11-28,0.99,0.99,0.99,0.99,25000,-24750.0
64,2011-12-02,0.99,0.99,0.99,0.99,9000,0.0
65,2011-12-05,0.87,0.87,0.87,0.87,1000,0.0
66,2011-12-06,0.99,1.1,0.99,1.0,41000,0.0
67,2011-12-07,1.0,1.0,0.94,0.94,10000,0.0
68,2011-12-08,0.88,0.9,0.88,0.9,6000,0.0
69,2011-12-09,0.9,1.0,0.9,1.0,10000,0.0
70,2011-12-12,0.95,0.95,0.95,0.95,10000,0.0
71,2011-12-13,1.0,1.0,1.0,1.0,7000,0.0
72,2011-12-15,1.0,1.0,1.0,1.0,9000,0.0
73,2011-12-16,1.04,1.04,1.0,1.0,5000,2050.0
74,2011-12-19,1.0,1.0,0.94,0.96,51000,-10700.0
75,2011-12-20,0.94,0.94,0.94,0.94,2000,0.0
76,2011-12-21,0.94,1.0,0.9,1.0,60000,20580.0
77,2011-12-22,1.28,1.28,1.2,1.2,10000,0.0
78,2011-12-26,0.94,1.15,0.94,1.15,25000,1150.0
79,2012-01-02,1.05,1.1,1.05,1.1,44000,0.0
80,2012-01-03,0.9,0.9,0.9,0.9,10000,0.0
81,2012-01-04,0.92,0.92,0.92,0.92,9000,0.0
82,2012-01-05,1.04,1.04,0.96,1.0,48000,0.0
83,2012-01-06,1.0,1.0,0.97,0.97,231000,-217000.0
84,2012-01-09,0.97,1.07,0.97,1.07,6000,0.0
85,2012-01-10,1.04,1.05,1.04,1.05,100000,0.0
86,2012-01-11,1.05,1.05,1.0,1.0,2000,0.0
87,2012-01-12,0.96,0.96,0.96,0.96,3000,0.0
88,2012-01-13,0.98,1.05,0.98,1.05,5000,0.0
89,2012-01-16,1.04,1.04,1.04,1.04,15000,0.0
90,2012-01-18,1.0,1.0,1.0,1.0,86000,0.0
91,2012-01-19,1.0,1.0,1.0,1.0,3000,0.0
92,2012-01-20,1.0,1.01,1.0,1.01,107000,5050.0
93,2012-01-24,1.04,1.05,1.04,1.05,65000,31500.0
94,2012-01-25,1.09,1.1,1.09,1.1,20000,0.0
95,2012-01-26,1.05,1.1,1.05,1.05,51000,0.0
96,2012-01-27,1.1,1.1,1.02,1.1,38000,0.0
97,2012-01-30,1.1,1.1,1.1,1.1,145000,0.0
98,2012-01-31,1.11,1.11,1.1,1.1,7000,2200.0
99,2012-02-01,1.11,1.11,1.11,1.11,1000,0.0
100,2012-02-02,1.11,1.11,1.11,1.11,1000,1110.0
101,2012-02-06,1.06,1.06,1.05,1.05,9000,0.0
102,2012-02-07,1.05,1.13,1.05,1.13,35000,-9040.0
103,2012-02-08,1.13,1.15,1.11,1.11,240000,0.0
104,2012-02-09,1.01,1.01,1.01,1.01,1000,0.0
105,2012-02-10,1.0,1.0,1.0,1.0,27000,0.0
106,2012-02-13,1.04,1.11,1.04,1.11,31000,0.0
107,2012-02-14,1.02,1.15,1.02,1.15,6000,0.0
108,2012-02-15,1.05,1.05,1.05,1.05,1000,0.0
109,2012-02-17,1.12,1.12,1.12,1.12,2000,0.0
110,2012-02-22,1.16,1.16,1.16,1.16,1000,0.0
111,2012-02-23,1.02,1.02,1.02,1.02,4000,0.0
112,2012-02-24,1.03,1.03,1.03,1.03,1000,1030.0
113,2012-02-28,1.05,1.05,1.05,1.05,16000,0.0
114,2012-03-01,1.1,1.1,1.08,1.1,714000,-246400.0
115,2012-03-05,1.05,1.12,1.05,1.12,11000,0.0
116,2012-03-09,1.1,1.1,1.08,1.08,26000,-22000.0
117,2012-03-12,1.1,1.12,1.1,1.1,136000,-14540.0
118,2012-03-15,1.01,1.01,1.01,1.01,4000,0.0
119,2012-03-16,1.08,1.08,1.08,1.08,7000,0.0
120,2012-03-19,1.07,1.07,1.07,1.07,2000,0.0
121,2012-03-20,1.07,1.07,1.07,1.07,4000,0.0
122,2012-03-26,1.05,1.25,1.05,1.16,178000,-11600.0
123,2012-03-27,1.16,1.17,1.16,1.17,24000,0.0
124,2012-03-28,1.25,1.25,1.15,1.15,12000,11600.0
125,2012-03-29,1.03,1.03,1.03,1.03,1000,0.0
126,2012-03-30,1.1,1.2,1.1,1.2,5000,0.0
127,2012-04-02,1.2,1.2,1.2,1.2,31000,0.0
128,2012-04-04,1.12,1.12,1.12,1.12,14000,0.0
129,2012-04-12,1.02,1.02,1.02,1.02,10000,0.0
130,2012-04-16,1.17,1.2,1.17,1.2,34000,0.0
131,2012-04-17,1.2,1.2,1.2,1.2,28000,-14400.0
132,2012-04-18,1.21,1.21,1.2,1.2,36000,-18000.0
133,2012-04-23,1.2,1.25,1.2,1.22,91000,-13420.0
134,2012-04-27,1.18,1.18,1.18,1.18,2000,0.0
135,2012-05-02,1.2,1.2,1.2,1.2,32000,-6000.0
136,2012-05-03,1.2,1.2,1.2,1.2,55000,0.0
137,2012-05-04,1.2,1.2,1.2,1.2,27000,-18000.0
