,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,0.54,0.54,0.54,0.54,220000.0,118800.0
1,2006-08-02,0.56,0.56,0.55,0.55,270000.0,66000.0
2,2006-08-03,0.55,0.55,0.55,0.55,300000.0,0.0
3,2006-08-04,0.52,0.54,0.52,0.54,250000.0,132000.0
4,2006-08-07,0.51,0.54,0.51,0.54,860000.0,326400.0
5,2006-08-09,0.55,0.55,0.55,0.55,160000.0,0.0
6,2006-08-11,0.56,0.57,0.55,0.55,210000.0,-67800.0
7,2006-08-14,0.55,0.55,0.54,0.54,550000.0,0.0
8,2006-08-15,0.56,0.56,0.56,0.56,50000.0,0.0
9,2006-08-16,0.55,0.55,0.55,0.55,50000.0,0.0
10,2006-08-17,0.55,0.55,0.54,0.54,1090000.0,598600.0
11,2006-12-05,0.67,0.67,0.67,0.67,80000.0,0.0
12,2006-12-08,0.65,0.65,0.65,0.65,300000.0,0.0
13,2006-12-11,0.64,0.64,0.64,0.64,650000.0,0.0
14,2006-12-12,0.64,0.64,0.64,0.64,440000.0,0.0
15,2006-12-13,0.65,0.65,0.64,0.65,310000.0,0.0
16,2006-12-14,0.65,0.65,0.65,0.65,830000.0,0.0
17,2006-12-15,0.65,0.67,0.65,0.67,1460000.0,0.0
18,2006-12-19,0.67,0.67,0.67,0.67,40000.0,0.0
19,2006-12-20,0.66,0.66,0.66,0.66,100000.0,0.0
20,2006-12-21,0.65,0.65,0.65,0.65,60000.0,0.0
21,2006-12-29,0.65,0.65,0.65,0.65,1100000.0,0.0
22,2006-11-02,0.74,0.77,0.72,0.77,1760000.0,0.0
23,2006-11-03,0.73,0.73,0.73,0.73,100000.0,0.0
24,2006-11-06,0.73,0.75,0.73,0.75,70000.0,0.0
25,2006-11-07,0.75,0.76,0.75,0.76,330000.0,0.0
26,2006-11-08,0.75,0.75,0.75,0.75,510000.0,0.0
27,2006-11-09,0.75,0.78,0.75,0.75,730000.0,0.0
28,2006-11-10,0.74,0.74,0.73,0.73,300000.0,0.0
29,2006-11-13,0.72,0.73,0.72,0.73,310000.0,0.0
30,2006-11-14,0.73,0.73,0.72,0.72,970000.0,0.0
31,2006-11-15,0.73,0.74,0.73,0.74,360000.0,0.0
32,2006-11-16,0.73,0.73,0.73,0.73,40000.0,0.0
33,2006-11-17,0.7,0.73,0.7,0.73,110000.0,0.0
34,2006-11-20,0.71,0.73,0.71,0.73,110000.0,0.0
35,2006-11-22,0.72,0.73,0.71,0.71,1230000.0,0.0
36,2006-11-23,0.7,0.7,0.69,0.7,360000.0,0.0
37,2006-11-24,0.7,0.7,0.69,0.7,530000.0,0.0
38,2006-11-27,0.68,0.68,0.68,0.68,400000.0,0.0
39,2006-10-02,0.6,0.6,0.6,0.6,70000.0,-12000.0
40,2006-10-03,0.6,0.6,0.6,0.6,560000.0,-108000.0
41,2006-10-04,0.6,0.6,0.6,0.6,10000.0,0.0
42,2006-10-05,0.6,0.6,0.6,0.6,150000.0,-90000.0
43,2006-10-06,0.6,0.6,0.6,0.6,1630000.0,-324000.0
44,2006-10-09,0.6,0.6,0.6,0.6,550000.0,0.0
45,2006-10-11,0.6,0.6,0.6,0.6,150000.0,0.0
46,2006-10-12,0.6,0.6,0.6,0.6,620000.0,0.0
47,2006-10-13,0.61,0.63,0.61,0.63,1100000.0,0.0
48,2006-10-16,0.63,0.67,0.63,0.65,1020000.0,0.0
49,2006-10-17,0.65,0.7,0.65,0.69,1930000.0,0.0
50,2006-10-18,0.72,0.81,0.72,0.78,7040000.0,0.0
51,2006-10-19,0.77,0.83,0.77,0.77,3800000.0,-1017700.0
52,2006-10-20,0.79,0.79,0.76,0.77,1580000.0,-371900.0
53,2006-10-23,0.76,0.77,0.76,0.77,1030000.0,-462000.0
54,2006-10-25,0.8,0.85,0.8,0.84,6880000.0,-408100.0
55,2006-10-26,0.84,0.84,0.82,0.82,190000.0,41000.0
56,2006-10-27,0.81,0.82,0.78,0.78,1900000.0,0.0
57,2006-10-30,0.78,0.78,0.77,0.77,1150000.0,0.0
58,2006-10-31,0.76,0.76,0.76,0.76,900000.0,0.0
59,2006-09-01,0.59,0.59,0.59,0.59,40000.0,0.0
60,2006-09-04,0.6,0.6,0.58,0.59,860000.0,0.0
61,2006-09-05,0.6,0.6,0.6,0.6,310000.0,0.0
62,2006-09-06,0.61,0.65,0.6,0.6,5060000.0,-18900.0
63,2006-09-12,0.59,0.59,0.58,0.58,320000.0,0.0
64,2006-09-13,0.57,0.57,0.57,0.57,170000.0,0.0
65,2006-09-14,0.57,0.57,0.57,0.57,10000.0,0.0
66,2006-09-18,0.58,0.58,0.58,0.58,910000.0,0.0
67,2006-09-19,0.58,0.58,0.58,0.58,70000.0,0.0
68,2006-09-20,0.59,0.6,0.59,0.6,140000.0,53100.0
69,2006-09-21,0.6,0.6,0.6,0.6,560000.0,0.0
70,2006-09-22,0.6,0.6,0.6,0.6,100000.0,0.0
71,2006-09-25,0.6,0.61,0.6,0.61,140000.0,0.0
72,2006-09-26,0.63,0.64,0.6,0.6,540000.0,0.0
73,2006-09-27,0.6,0.6,0.59,0.59,800000.0,218300.0
74,2007-04-04,0.75,0.75,0.75,0.75,110000.0,0.0
75,2007-04-10,0.75,0.77,0.75,0.77,450000.0,0.0
76,2007-04-11,0.78,0.79,0.77,0.79,910000.0,0.0
77,2007-04-17,0.79,0.8,0.79,0.8,200000.0,0.0
78,2007-04-18,0.78,0.78,0.78,0.78,200000.0,0.0
79,2007-04-20,0.77,0.77,0.77,0.77,160000.0,0.0
80,2007-04-24,0.75,0.75,0.75,0.75,540000.0,0.0
81,2007-04-25,0.71,0.71,0.71,0.71,20000.0,0.0
82,2007-04-26,0.72,0.72,0.72,0.72,240000.0,0.0
83,2007-04-27,0.72,0.72,0.72,0.72,10000.0,0.0
84,2007-04-30,0.74,0.74,0.73,0.73,120000.0,0.0
85,2007-08-01,0.91,0.91,0.91,0.91,10000.0,0.0
86,2007-08-02,0.85,0.85,0.85,0.85,100000.0,0.0
87,2007-08-03,0.84,0.84,0.75,0.75,1060000.0,0.0
88,2007-08-06,0.73,0.73,0.73,0.73,100000.0,0.0
89,2007-08-07,0.72,0.73,0.72,0.72,300000.0,0.0
90,2007-08-08,0.75,0.75,0.75,0.75,100000.0,0.0
91,2007-08-10,0.74,0.74,0.74,0.74,90000.0,0.0
92,2007-08-14,0.75,0.75,0.75,0.75,100000.0,0.0
93,2007-08-17,0.68,0.68,0.68,0.68,290000.0,0.0
94,2007-08-24,0.71,0.71,0.71,0.71,50000.0,0.0
95,2007-08-29,0.71,0.71,0.71,0.71,20000.0,0.0
96,2007-08-30,0.71,0.71,0.71,0.71,20000.0,0.0
97,2007-12-04,0.63,0.63,0.62,0.62,100000.0,-62500.0
98,2007-12-06,0.64,0.64,0.63,0.63,100000.0,0.0
99,2007-12-14,0.8,0.8,0.8,0.8,60000.0,0.0
100,2007-12-18,0.7,0.7,0.7,0.7,100000.0,0.0
101,2007-12-27,0.73,0.73,0.73,0.73,10000.0,0.0
102,2007-12-28,0.73,0.75,0.73,0.75,60000.0,0.0
103,2007-02-01,0.7,0.72,0.7,0.72,1310000.0,0.0
104,2007-02-02,0.73,0.73,0.73,0.73,190000.0,0.0
105,2007-02-05,0.73,0.73,0.72,0.72,530000.0,0.0
106,2007-02-06,0.73,0.73,0.72,0.72,400000.0,0.0
107,2007-02-07,0.72,0.72,0.72,0.72,180000.0,0.0
108,2007-02-08,0.71,0.71,0.71,0.71,80000.0,0.0
109,2007-02-09,0.7,0.7,0.7,0.7,10000.0,0.0
110,2007-02-12,0.7,0.7,0.7,0.7,100000.0,0.0
111,2007-02-14,0.73,0.75,0.7,0.75,360000.0,0.0
112,2007-02-15,0.75,0.75,0.73,0.73,550000.0,0.0
113,2007-02-19,0.73,0.73,0.72,0.73,600000.0,0.0
114,2007-02-20,0.73,0.79,0.73,0.79,2580000.0,0.0
115,2007-02-21,0.79,0.81,0.79,0.81,1690000.0,0.0
116,2007-02-22,0.82,0.82,0.82,0.82,690000.0,0.0
117,2007-02-23,0.82,0.83,0.81,0.83,1100000.0,0.0
118,2007-02-26,0.81,0.83,0.81,0.83,2360000.0,0.0
119,2007-02-27,0.83,0.84,0.8,0.8,1360000.0,415000.0
120,2007-02-28,0.8,0.8,0.8,0.8,10000.0,0.0
121,2007-01-02,0.65,0.65,0.65,0.65,300000.0,0.0
122,2007-01-03,0.65,0.65,0.65,0.65,390000.0,-65000.0
123,2007-01-05,0.65,0.65,0.65,0.65,40000.0,0.0
124,2007-01-08,0.66,0.66,0.66,0.66,50000.0,0.0
125,2007-01-09,0.66,0.66,0.65,0.65,70000.0,0.0
126,2007-01-11,0.7,0.71,0.7,0.71,450000.0,-14200.0
127,2007-01-15,0.72,0.72,0.72,0.72,60000.0,0.0
128,2007-01-16,0.72,0.73,0.72,0.72,1900000.0,0.0
129,2007-01-17,0.72,0.72,0.71,0.72,510000.0,0.0
130,2007-01-18,0.72,0.72,0.72,0.72,1430000.0,0.0
131,2007-01-19,0.72,0.72,0.72,0.72,500000.0,0.0
132,2007-01-22,0.72,0.72,0.72,0.72,50000.0,0.0
133,2007-01-23,0.72,0.73,0.72,0.73,1230000.0,0.0
134,2007-01-24,0.74,0.74,0.73,0.73,210000.0,0.0
135,2007-01-25,0.73,0.73,0.73,0.73,580000.0,0.0
136,2007-01-30,0.7,0.7,0.7,0.7,610000.0,0.0
137,2007-01-31,0.7,0.7,0.7,0.7,480000.0,0.0
138,2007-07-02,0.82,0.82,0.78,0.78,810000.0,0.0
139,2007-07-03,0.79,0.88,0.79,0.8,680000.0,-8800.0
140,2007-07-04,0.79,0.88,0.79,0.88,1050000.0,-299200.0
141,2007-07-05,0.88,0.9,0.87,0.88,1590000.0,-1092200.0
142,2007-07-06,0.88,0.9,0.88,0.88,1370000.0,-689900.0
143,2007-07-09,0.88,0.88,0.87,0.87,700000.0,-220000.0
144,2007-07-10,0.88,0.88,0.87,0.87,240000.0,-44000.0
145,2007-07-12,0.88,0.89,0.88,0.89,1200000.0,-961700.0
146,2007-07-13,0.89,0.89,0.88,0.88,2830000.0,-1769800.0
147,2007-07-16,0.88,0.89,0.88,0.88,660000.0,-477600.0
148,2007-07-17,0.88,0.88,0.88,0.88,100000.0,0.0
149,2007-07-18,0.87,0.88,0.87,0.87,560000.0,0.0
150,2007-07-19,0.87,0.87,0.86,0.86,600000.0,0.0
151,2007-07-23,0.92,0.92,0.92,0.92,150000.0,0.0
152,2007-07-25,0.92,0.92,0.9,0.9,460000.0,0.0
153,2007-07-27,0.89,0.89,0.88,0.89,690000.0,0.0
154,2007-07-30,0.87,0.87,0.87,0.87,210000.0,-139200.0
155,2007-06-01,0.67,0.71,0.67,0.67,1200000.0,0.0
156,2007-06-04,0.72,0.72,0.7,0.71,610000.0,0.0
157,2007-06-05,0.71,0.71,0.71,0.71,250000.0,0.0
158,2007-06-06,0.71,0.71,0.71,0.71,550000.0,0.0
159,2007-06-07,0.7,0.7,0.7,0.7,530000.0,0.0
160,2007-06-08,0.71,0.71,0.71,0.71,120000.0,0.0
161,2007-06-12,0.74,0.77,0.74,0.75,3260000.0,-1501700.0
162,2007-06-13,0.75,1.04,0.75,0.98,17220000.0,-2410500.0
163,2007-06-14,1.04,1.06,0.88,0.92,3080000.0,28800.0
164,2007-06-15,0.91,0.93,0.91,0.92,940000.0,184200.0
165,2007-06-18,0.79,0.9,0.79,0.88,2090000.0,174000.0
166,2007-06-19,0.9,0.96,0.88,0.96,920000.0,150400.0
167,2007-06-20,0.9,0.94,0.9,0.94,220000.0,18800.0
168,2007-06-21,0.9,0.94,0.9,0.93,650000.0,9400.0
169,2007-06-22,0.92,0.92,0.92,0.92,790000.0,-73600.0
170,2007-06-25,0.92,0.93,0.91,0.92,1500000.0,-83100.0
171,2007-06-26,0.92,0.92,0.92,0.92,870000.0,-184000.0
172,2007-06-27,0.9,0.9,0.88,0.88,380000.0,0.0
173,2007-06-28,0.88,0.88,0.88,0.88,220000.0,0.0
174,2007-06-29,0.85,0.85,0.83,0.83,200000.0,0.0
175,2007-03-02,0.75,0.75,0.75,0.75,70000.0,0.0
176,2007-03-05,0.71,0.71,0.67,0.67,1260000.0,0.0
177,2007-03-06,0.67,0.67,0.67,0.67,150000.0,0.0
178,2007-03-07,0.73,0.73,0.73,0.73,1140000.0,0.0
