,Date,Open,High,Low,Close,Volume,OtherData
0,2016-11-03,67.0,67.2,66.6,67.2,31163370,154321176
1,2016-11-04,67.4,69.5,67.25,69.5,7100510,73477132
2,2016-11-07,70.0,70.8,69.7,70.6,4750410,158831740
3,2016-11-08,70.95,72.15,70.6,72.0,3908160,180539101
4,2016-11-09,72.1,73.0,68.4,69.8,3570360,75804073
5,2016-11-11,70.75,70.75,69.3,69.5,2508060,89361525
6,2016-11-14,69.55,69.55,68.0,69.0,726160,20911835
7,2016-11-15,69.0,69.4,68.2,68.8,1433000,24634311
8,2016-11-16,69.2,69.2,68.7,68.95,1355320,7687597
9,2016-11-17,68.95,69.0,68.25,68.5,861440,31910939
10,2016-11-18,68.5,68.7,68.1,68.5,191760,4244651
11,2016-11-21,68.5,68.5,68.2,68.4,369210,13706376
12,2016-11-22,68.3,69.1,67.0,67.0,2106070,25831008
13,2016-11-23,67.5,68.2,67.2,67.4,2075570,10819673
14,2016-11-24,67.4,68.0,67.1,67.6,997910,19372067
15,2016-11-25,67.6,67.75,67.35,67.6,615290,15712908
16,2016-11-28,67.6,67.6,67.25,67.4,931820,15889212
17,2016-11-29,67.5,67.5,67.0,67.0,946390,23126031
18,2016-12-01,68.0,68.35,67.8,68.35,1602020,33605237
19,2016-12-02,68.4,68.5,67.5,68.1,1239720,13922230
20,2016-12-05,68.1,68.1,67.0,67.15,923820,43224553
21,2016-12-06,67.5,67.7,67.1,67.65,277210,16829913
22,2016-12-07,67.65,67.65,67.35,67.5,710260,42208707
23,2016-12-08,67.5,67.8,67.4,67.75,571710,32339631
24,2016-12-09,67.75,67.75,67.4,67.7,589790,33780704
25,2016-12-12,67.7,68.4,67.6,68.05,2846880,63045766
26,2016-12-13,68.0,68.0,67.3,68.0,546790,-4860303
27,2016-12-14,68.0,68.3,67.9,68.2,867950,23874956
28,2016-12-15,68.1,68.25,67.9,68.25,912230,51790770
29,2016-12-16,68.25,70.0,68.1,70.0,2222490,122953448
30,2016-12-19,69.9,69.9,69.0,69.6,797570,30763750
31,2016-12-20,69.7,69.7,69.05,69.6,494340,22755058
32,2016-12-21,69.6,70.0,69.25,69.5,720650,23706866
33,2016-12-22,69.5,69.5,69.05,69.15,302480,2046484
34,2016-12-23,69.15,69.8,69.05,69.8,1123590,52155462
35,2016-12-27,69.75,69.85,69.05,69.65,1314630,88269664
36,2016-12-28,69.7,69.8,69.6,69.7,731190,48355254
37,2016-12-29,69.2,70.0,69.2,69.8,1469530,79733902
38,2017-01-03,69.8,70.65,69.5,70.65,1665920,11108959
39,2017-01-04,70.55,71.2,70.15,70.85,736390,5287363
40,2017-01-05,71.1,72.05,71.0,71.95,1773720,83931248
41,2017-01-06,71.95,71.95,71.05,71.45,806490,39985774
42,2017-01-09,71.45,71.55,71.15,71.4,1059910,60062629
43,2017-01-10,71.4,72.7,71.4,72.5,1159630,28220925
44,2017-01-11,72.45,75.35,72.45,75.3,3388140,111964825
45,2017-01-12,75.25,75.25,74.0,74.3,1259920,57179991
46,2017-01-13,74.95,75.2,74.3,75.2,1107820,32137073
47,2017-01-16,75.1,75.35,74.5,75.3,666530,23415627
48,2017-01-17,75.3,75.5,74.3,74.5,1088480,22498138
49,2017-01-18,74.5,75.7,74.3,75.5,978350,11495563
50,2017-01-19,75.8,76.2,75.4,75.9,1097690,11236010
51,2017-01-20,75.9,76.0,75.0,75.0,237590,4626817
52,2017-01-23,75.0,77.4,75.0,77.3,1042150,37284202
53,2017-01-24,77.2,77.25,76.8,77.25,291430,18650826
54,2017-01-25,77.0,77.5,77.0,77.3,722080,13453007
55,2017-01-26,77.3,78.0,76.95,77.95,1110910,56091509
56,2017-01-27,78.0,78.1,77.5,78.05,487410,23914794
57,2017-01-30,78.1,78.1,77.7,78.05,314770,17992339
58,2017-01-31,78.05,78.95,77.85,78.7,485950,21767721
59,2017-02-01,78.5,79.75,78.0,79.75,465000,14783368
60,2017-02-02,79.75,80.0,78.05,78.5,519700,3337777
61,2017-02-03,79.0,79.0,78.1,78.6,180010,3709809
62,2017-02-06,78.5,79.0,77.9,78.6,461320,12158293
63,2017-02-07,78.5,78.65,78.2,78.55,251820,8277591
64,2017-02-08,78.2,78.55,77.5,77.9,1117470,18730751
65,2017-02-09,77.65,78.4,77.45,78.2,922610,18345017
66,2017-02-10,78.2,78.4,78.15,78.35,436560,4181948
67,2017-02-13,78.35,78.5,78.25,78.5,595030,-5743983
68,2017-02-14,78.5,79.5,78.5,79.5,472400,11691700
69,2017-02-15,79.5,79.9,79.1,79.4,357390,2630038
70,2017-02-16,78.6,79.8,78.6,79.15,473640,-6052210
71,2017-02-17,79.15,79.5,78.6,78.6,87030,-4785205
72,2017-02-20,78.6,80.0,78.6,80.0,1781150,5238826
73,2017-02-21,80.0,80.0,78.7,79.35,177040,3159061
74,2017-02-22,79.35,79.35,79.0,79.0,442110,5963114
75,2017-02-23,78.5,79.0,78.5,78.65,320390,-2339688
76,2017-02-24,78.65,78.95,78.4,78.6,958310,3157352
77,2017-02-27,78.4,78.5,77.6,77.85,194720,4287412
78,2017-02-28,78.0,78.0,77.75,78.0,401400,-4250539
79,2017-03-01,79.0,79.0,78.0,78.25,782400,-5883972
80,2017-03-02,78.5,78.5,77.45,77.95,155860,703812
81,2017-03-03,78.0,78.3,77.85,77.9,1197210,-3115621
82,2017-03-06,77.9,77.9,76.7,77.5,631030,6393474
83,2017-03-07,77.8,78.0,76.8,78.0,1703560,12626342
84,2017-03-08,77.9,78.0,77.2,77.55,614260,-2474140
85,2017-03-09,77.95,77.95,75.2,75.5,741040,-16280213
86,2017-03-10,76.0,76.0,73.2,74.5,946420,8808666
87,2017-03-13,75.4,75.4,73.05,73.8,240770,877321
88,2017-03-14,73.5,73.8,73.2,73.55,470460,12848374
89,2017-03-15,73.8,73.8,72.05,72.7,533450,8564631
90,2017-03-16,72.7,73.9,72.2,73.0,401950,2724725
91,2017-03-17,72.7,73.45,72.5,73.0,536100,12526781
92,2017-03-20,73.5,75.95,72.4,75.75,954820,33486538
93,2017-03-21,75.5,75.65,74.25,74.8,140610,239886
94,2017-03-22,74.95,74.95,73.5,73.95,156580,6958241
95,2017-03-23,73.5,73.75,73.0,73.5,614480,-3818761
96,2017-03-24,73.5,73.7,73.25,73.55,167370,2737291
97,2017-03-27,73.95,74.1,73.55,74.1,2029070,2862977
98,2017-03-28,74.1,74.5,73.9,74.4,655730,-25734
99,2017-03-29,74.4,74.4,73.5,74.15,631480,1146947
100,2017-03-30,74.2,74.2,73.9,74.0,423150,-10256647
101,2017-03-31,73.9,73.9,71.8,72.0,1332460,23333590
102,2017-04-03,72.0,73.35,72.0,72.45,640520,-9064539
103,2017-04-04,72.45,72.6,72.0,72.05,2769480,-5420370
104,2017-04-05,72.45,72.6,72.1,72.1,82710,-3963673
105,2017-04-06,72.15,72.55,72.15,72.35,423670,662666
106,2017-04-07,72.35,74.3,72.05,73.95,296740,1970770
107,2017-04-10,74.2,74.2,72.5,72.9,29540,-294115
108,2017-04-11,72.95,72.95,72.0,72.0,2329280,-7427655
109,2017-04-12,72.45,72.45,71.95,72.05,2565200,-2891388
110,2017-04-17,72.1,72.45,71.95,72.0,225960,3265796
111,2017-04-18,72.1,72.1,70.9,71.45,1142110,42353882
112,2017-04-19,71.45,71.45,70.75,70.95,173550,-1029297
113,2017-04-20,70.8,71.45,70.75,70.95,92120,-5076802
114,2017-04-21,71.2,73.0,71.2,72.9,599490,-3511400
115,2017-04-24,72.9,72.9,70.75,71.65,188740,-508546
116,2017-04-25,72.3,72.3,71.1,72.1,167300,3750150
117,2017-04-26,72.2,73.0,72.2,72.9,479540,6556695
118,2017-04-27,73.0,73.5,72.8,73.5,994730,32032090
119,2017-05-02,73.45,73.45,72.0,73.1,1278580,50903090
120,2017-05-03,73.1,73.1,72.0,72.2,189280,3057044
121,2017-05-04,71.85,72.2,71.8,72.1,1582220,1827802
122,2017-05-05,72.1,72.15,71.85,72.05,576350,10907746
123,2017-05-08,72.1,72.15,72.0,72.1,551330,5352041
124,2017-05-09,72.15,72.45,72.15,72.35,613670,2683347
125,2017-05-10,72.35,73.0,71.85,73.0,3524390,26236275
126,2017-05-11,73.0,73.0,72.0,72.6,209960,-1800322
127,2017-05-12,72.2,72.2,71.95,72.0,2123470,-2799263
128,2017-05-15,72.0,72.05,71.55,71.6,578430,-5890876
129,2017-05-16,71.6,72.45,71.0,71.0,1270640,-12058630
130,2017-05-17,71.0,71.2,70.3,70.45,1136200,-17068646
131,2017-05-18,70.2,70.2,67.25,67.95,1782910,-79517075
132,2017-05-19,68.0,68.1,67.65,67.8,435500,-20462099
133,2017-05-22,68.0,69.5,67.6,67.8,1461880,-22453764
134,2017-05-23,68.0,68.2,67.7,67.8,806010,-13973829
135,2017-05-24,67.8,67.8,67.05,67.05,1106210,-22429745
136,2017-05-25,67.8,67.8,66.6,66.95,939850,-35853492
137,2017-05-26,67.5,67.8,64.2,64.2,6693090,-60241610
138,2017-05-29,64.25,66.85,64.25,66.0,3445660,13023163
139,2017-05-30,66.0,66.4,65.7,65.85,2606430,-4039800
140,2017-05-31,65.9,66.4,65.9,66.05,607050,12916507
141,2017-06-01,66.1,67.7,66.1,67.45,1239150,-4621625
142,2017-06-02,67.45,69.9,67.45,69.5,1237100,24650840
143,2017-06-05,69.8,69.8,69.0,69.55,818930,3755900
144,2017-06-06,69.55,69.6,69.4,69.55,1199600,10593474
145,2017-06-07,69.6,69.8,69.4,69.6,1740840,-20156042
146,2017-06-08,69.6,69.6,69.1,69.4,2142700,4168748
147,2017-06-09,69.4,69.65,69.4,69.55,3226820,-611228
148,2017-06-13,69.6,69.95,69.5,69.95,2107430,18254285
149,2017-06-14,70.0,71.4,70.0,71.2,3009850,11380092
150,2017-06-15,71.2,71.4,70.0,70.6,907140,10873233
151,2017-06-16,71.0,71.0,70.0,70.7,17108350,241693129
152,2017-06-19,70.7,70.7,69.65,70.0,2659480,-679135
