,Date,Open,High,Low,Close,Volume,OtherData
0,2007-08-13,3.0,3.0,3.0,3.0,2000.0,6000.0
1,2007-08-15,2.8,2.8,2.7,2.7,550000.0,0.0
2,2007-08-16,2.6,2.7,2.6,2.7,700000.0,-260000.0
3,2007-08-17,2.7,2.75,2.6,2.7,850000.0,0.0
4,2007-08-22,2.7,2.7,2.7,2.7,252000.0,0.0
5,2007-08-23,2.7,2.7,2.7,2.7,200000.0,0.0
6,2007-08-24,2.7,2.7,2.65,2.65,532000.0,135000.0
7,2007-08-28,2.55,2.7,2.55,2.7,557000.0,0.0
8,2007-08-30,2.7,2.7,2.7,2.7,52000.0,0.0
9,2007-08-31,2.7,2.8,2.65,2.7,420000.0,0.0
10,2007-12-03,2.22,2.22,2.2,2.2,101000.0,-222000.0
11,2007-12-04,2.22,2.22,2.22,2.22,101000.0,0.0
12,2007-12-05,2.24,2.28,2.2,2.22,2528000.0,0.0
13,2007-12-06,2.22,2.28,2.2,2.22,3567000.0,-813960.0
14,2007-12-07,2.22,2.22,2.18,2.2,1603000.0,0.0
15,2007-12-10,2.2,2.2,2.18,2.18,302000.0,0.0
16,2007-12-11,2.16,2.2,2.16,2.2,1535000.0,0.0
17,2007-12-12,2.16,2.2,2.16,2.2,310000.0,0.0
18,2007-12-13,2.18,2.22,2.18,2.22,451000.0,-545000.0
19,2007-12-14,2.18,2.2,2.18,2.18,810000.0,0.0
20,2007-12-17,2.14,2.14,2.14,2.14,74000.0,-151940.0
21,2007-12-19,2.22,2.24,2.16,2.16,2262000.0,-560000.0
22,2007-12-20,2.2,2.2,2.2,2.2,312000.0,0.0
23,2007-12-26,2.2,2.24,2.2,2.2,1762000.0,-228760.0
24,2007-12-27,2.2,2.22,2.2,2.22,980000.0,222000.0
25,2007-12-28,2.18,2.48,2.18,2.22,514000.0,724080.0
26,2007-11-05,2.36,2.36,2.36,2.36,200000.0,0.0
27,2007-11-06,2.36,2.36,2.34,2.34,383000.0,0.0
28,2007-11-07,2.34,2.34,2.3,2.3,638000.0,0.0
29,2007-11-08,2.2,2.26,2.2,2.22,16000.0,0.0
30,2007-11-09,2.2,2.24,2.2,2.24,6000.0,0.0
31,2007-11-14,2.4,2.4,2.4,2.4,20000.0,0.0
32,2007-11-16,2.2,2.22,2.2,2.2,354000.0,-345400.0
33,2007-11-19,2.2,2.2,2.18,2.18,182000.0,0.0
34,2007-11-20,2.18,2.22,2.18,2.22,105000.0,-48000.0
35,2007-11-21,2.18,2.18,2.18,2.18,218000.0,0.0
36,2007-11-23,2.2,2.2,2.14,2.2,317000.0,-59920.0
37,2007-11-26,2.18,2.22,2.18,2.2,152000.0,-52320.0
38,2007-11-27,2.2,2.2,2.2,2.2,50000.0,0.0
39,2007-11-28,2.2,2.32,2.2,2.3,906000.0,220000.0
40,2007-11-29,2.26,2.26,2.22,2.22,193000.0,0.0
41,2007-10-01,2.34,2.42,2.34,2.36,386000.0,98420.0
42,2007-10-02,2.4,2.4,2.4,2.4,446000.0,0.0
43,2007-10-03,2.4,2.42,2.4,2.42,66000.0,0.0
44,2007-10-04,2.4,2.4,2.4,2.4,60000.0,0.0
45,2007-10-05,2.4,2.42,2.4,2.4,2808000.0,240000.0
46,2007-10-08,2.32,2.4,2.32,2.4,79000.0,0.0
47,2007-10-09,2.5,2.55,2.5,2.5,432000.0,125000.0
48,2007-10-10,2.48,2.5,2.48,2.5,208000.0,-40000.0
49,2007-10-11,2.48,2.55,2.48,2.55,70000.0,-102000.0
50,2007-10-15,2.55,2.55,2.55,2.55,48000.0,0.0
51,2007-10-16,2.55,2.55,2.5,2.5,217000.0,0.0
52,2007-10-17,2.42,2.46,2.42,2.46,250000.0,0.0
53,2007-10-18,2.42,2.46,2.42,2.46,250000.0,0.0
54,2007-10-19,2.4,2.4,2.4,2.4,261000.0,240000.0
55,2007-10-22,2.4,2.4,2.4,2.4,31000.0,0.0
56,2007-10-23,2.4,2.4,2.4,2.4,1000.0,0.0
57,2007-10-24,2.4,2.4,2.4,2.4,142000.0,0.0
58,2007-10-25,2.4,2.4,2.34,2.4,1101000.0,0.0
59,2007-10-26,2.36,2.36,2.36,2.36,255000.0,236000.0
60,2007-10-30,2.36,2.36,2.32,2.34,201000.0,-350500.0
61,2007-10-31,2.36,2.36,2.36,2.36,661000.0,0.0
62,2007-09-03,2.6,2.6,2.4,2.5,294000.0,0.0
63,2007-09-04,2.5,2.6,2.5,2.6,96000.0,0.0
64,2007-09-05,2.6,2.6,2.5,2.6,582000.0,0.0
65,2007-09-06,2.6,2.65,2.5,2.65,397000.0,0.0
66,2007-09-07,2.7,2.7,2.7,2.7,100000.0,0.0
67,2007-09-10,2.5,2.7,2.5,2.7,102000.0,0.0
68,2007-09-11,2.55,2.55,2.5,2.5,26000.0,0.0
69,2007-09-12,2.55,2.55,2.55,2.55,119000.0,-35700.0
70,2007-09-13,2.65,2.65,2.65,2.65,23000.0,0.0
71,2007-09-17,2.65,2.65,2.6,2.6,89000.0,0.0
72,2007-09-18,2.55,2.55,2.55,2.55,50000.0,0.0
73,2007-09-19,2.55,2.6,2.55,2.6,33000.0,0.0
74,2007-09-20,2.55,2.6,2.55,2.6,89000.0,0.0
75,2007-09-21,2.65,2.65,2.55,2.55,186000.0,0.0
76,2007-09-24,2.55,2.55,2.5,2.5,510000.0,0.0
77,2007-09-25,2.42,2.42,2.42,2.42,8000.0,0.0
78,2007-09-26,2.42,2.42,2.34,2.34,163000.0,0.0
79,2007-09-27,2.36,2.4,2.3,2.4,745000.0,287000.0
80,2007-09-28,2.42,2.42,2.36,2.36,224000.0,0.0
81,2008-04-01,1.84,1.84,1.84,1.84,837000.0,0.0
82,2008-04-02,1.84,1.84,1.8,1.8,1108000.0,0.0
83,2008-04-03,1.82,1.82,1.8,1.8,346000.0,0.0
84,2008-04-04,1.78,1.78,1.78,1.78,123000.0,0.0
85,2008-04-08,1.76,1.76,1.76,1.76,155000.0,0.0
86,2008-04-09,1.78,1.78,1.74,1.74,41000.0,0.0
87,2008-04-10,1.7,1.7,1.7,1.7,4000.0,0.0
88,2008-04-14,1.7,1.7,1.6,1.6,67000.0,0.0
89,2008-04-15,1.28,1.58,1.28,1.46,1005000.0,9780.0
90,2008-04-16,1.46,1.48,1.46,1.48,19000.0,0.0
91,2008-04-17,1.48,1.64,1.48,1.54,244000.0,0.0
92,2008-04-18,1.54,1.58,1.54,1.56,58000.0,78200.0
93,2008-04-21,1.56,1.64,1.56,1.64,125000.0,31200.0
94,2008-04-22,1.6,1.6,1.6,1.6,9000.0,0.0
95,2008-04-23,1.6,1.6,1.6,1.6,9000.0,0.0
96,2008-04-24,1.6,1.62,1.6,1.62,11000.0,3200.0
97,2008-04-25,1.62,1.62,1.62,1.62,9000.0,0.0
98,2008-04-28,1.62,1.64,1.62,1.64,12000.0,0.0
99,2008-04-29,1.64,1.64,1.64,1.64,20000.0,0.0
100,2008-04-30,1.66,1.66,1.64,1.64,337000.0,0.0
101,2008-08-01,1.36,1.36,1.36,1.36,4000.0,0.0
102,2008-08-05,1.36,1.36,1.36,1.36,2000.0,2720.0
103,2008-08-06,1.76,1.76,1.76,1.76,22000.0,0.0
104,2008-08-08,1.68,1.68,1.68,1.68,62000.0,0.0
105,2008-08-11,1.68,1.68,1.68,1.68,10000.0,0.0
106,2008-08-13,1.68,1.68,1.68,1.68,10000.0,0.0
107,2008-08-14,1.52,1.56,1.52,1.56,40000.0,0.0
108,2008-08-15,1.52,1.52,1.52,1.52,20000.0,0.0
109,2008-08-21,1.66,1.68,1.6,1.6,350000.0,0.0
110,2008-08-22,1.6,1.6,1.6,1.6,1000.0,0.0
111,2008-08-26,1.6,1.6,1.6,1.6,20000.0,0.0
112,2008-08-27,1.6,1.6,1.6,1.6,362000.0,0.0
113,2008-08-28,1.56,1.64,1.56,1.64,23000.0,0.0
114,2008-08-29,1.7,1.7,1.7,1.7,1000.0,0.0
115,2008-12-02,0.92,0.92,0.92,0.92,50000.0,0.0
116,2008-12-03,0.91,0.91,0.91,0.91,100000.0,0.0
117,2008-12-04,0.9,0.9,0.9,0.9,100000.0,0.0
118,2008-12-05,0.89,0.89,0.88,0.88,30000.0,0.0
119,2008-12-08,0.88,0.88,0.88,0.88,290000.0,0.0
120,2008-12-10,0.88,0.88,0.88,0.88,280000.0,0.0
121,2008-12-12,0.88,0.88,0.88,0.88,100000.0,0.0
122,2008-12-17,0.91,0.91,0.91,0.91,70000.0,0.0
123,2008-12-24,0.92,0.92,0.92,0.92,60000.0,0.0
124,2008-02-04,1.88,1.9,1.88,1.9,552000.0,0.0
125,2008-02-13,1.82,1.82,1.82,1.82,8000.0,0.0
126,2008-02-14,1.8,1.8,1.8,1.8,102000.0,0.0
127,2008-02-15,1.8,1.8,1.8,1.8,10000.0,-1800.0
