,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,0.13,0.14,0.125,0.125,10750000,-522700.0
1,2006-08-02,0.125,0.125,0.125,0.125,4550000,-3750.0
2,2006-08-03,0.125,0.125,0.125,0.125,500000,0.0
3,2006-08-04,0.13,0.13,0.125,0.125,12800000,-1250000.0
4,2006-08-07,0.125,0.125,0.125,0.125,3180000,0.0
5,2006-08-08,0.12,0.12,0.115,0.12,11630000,0.0
6,2006-08-09,0.12,0.12,0.115,0.12,7100000,0.0
7,2006-08-10,0.12,0.15,0.12,0.14,95300000,-1404000.0
8,2006-08-11,0.145,0.155,0.14,0.14,40770000,-584250.0
9,2006-08-14,0.135,0.14,0.135,0.135,8230000,0.0
10,2006-08-15,0.135,0.135,0.135,0.135,210000,0.0
11,2006-08-16,0.135,0.135,0.125,0.125,21430000,-637000.0
12,2006-08-17,0.13,0.13,0.125,0.125,9890000,-878000.0
13,2006-12-04,0.15,0.15,0.145,0.15,6940000,0.0
14,2006-12-05,0.15,0.15,0.14,0.145,5060000,-290000.0
15,2006-12-06,0.14,0.15,0.14,0.145,1720000,0.0
16,2006-12-07,0.145,0.145,0.14,0.14,1280000,0.0
17,2006-12-08,0.14,0.145,0.14,0.145,12110000,-980600.0
18,2006-12-11,0.145,0.145,0.145,0.145,2500000,0.0
19,2006-12-12,0.155,0.16,0.15,0.15,15260000,10000.0
20,2006-12-13,0.15,0.155,0.15,0.15,2110000,0.0
21,2006-12-14,0.155,0.155,0.155,0.155,2000000,0.0
22,2006-12-15,0.16,0.165,0.16,0.16,22760000,0.0
23,2006-12-18,0.16,0.165,0.16,0.165,7240000,0.0
24,2006-12-19,0.165,0.165,0.15,0.15,14840000,0.0
25,2006-12-20,0.16,0.16,0.155,0.155,2750000,0.0
26,2006-12-21,0.16,0.165,0.16,0.16,3130000,0.0
27,2006-12-22,0.155,0.155,0.155,0.155,2120000,0.0
28,2006-12-27,0.155,0.155,0.155,0.155,500000,0.0
29,2006-12-28,0.155,0.155,0.155,0.155,500000,-46500.0
30,2006-12-29,0.155,0.16,0.155,0.16,430000,0.0
31,2006-11-02,0.135,0.135,0.135,0.135,580000,0.0
32,2006-11-03,0.135,0.135,0.13,0.13,840000,0.0
33,2006-11-06,0.13,0.13,0.13,0.13,2490000,0.0
34,2006-11-07,0.13,0.13,0.13,0.13,180000,0.0
35,2006-11-08,0.135,0.135,0.13,0.13,2070000,-24000.0
36,2006-11-09,0.13,0.135,0.13,0.135,12120000,-118800.0
37,2006-11-10,0.14,0.14,0.135,0.135,16990000,135000.0
38,2006-11-13,0.135,0.135,0.135,0.135,690000,-25650.0
39,2006-11-14,0.13,0.13,0.13,0.13,290000,-10400.0
40,2006-11-15,0.135,0.14,0.135,0.14,2650000,-140000.0
41,2006-11-16,0.14,0.155,0.14,0.155,79030000,0.0
42,2006-11-17,0.155,0.165,0.155,0.165,63060000,-620000.0
43,2006-11-20,0.165,0.165,0.155,0.155,12870000,0.0
44,2006-11-21,0.155,0.155,0.15,0.15,8080000,0.0
45,2006-11-22,0.155,0.155,0.15,0.15,7300000,0.0
46,2006-11-23,0.15,0.17,0.15,0.17,30890000,-3000.0
47,2006-11-24,0.175,0.185,0.17,0.175,46740000,-350000.0
48,2006-11-27,0.175,0.175,0.16,0.16,11830000,0.0
49,2006-11-28,0.155,0.16,0.15,0.16,7820000,0.0
50,2006-11-29,0.155,0.16,0.15,0.155,11700000,1531400.0
51,2006-11-30,0.155,0.155,0.15,0.15,2790000,0.0
52,2006-10-02,0.13,0.13,0.13,0.13,1500000,0.0
53,2006-10-03,0.13,0.13,0.13,0.13,1200000,0.0
54,2006-10-04,0.13,0.13,0.13,0.13,500000,0.0
55,2006-10-05,0.13,0.135,0.13,0.13,3540000,-33750.0
56,2006-10-06,0.135,0.135,0.13,0.13,580000,0.0
57,2006-10-09,0.13,0.13,0.13,0.13,7530000,0.0
58,2006-10-10,0.125,0.13,0.125,0.13,20000,0.0
59,2006-10-11,0.13,0.13,0.125,0.125,16710000,62500.0
60,2006-10-12,0.13,0.135,0.13,0.13,8630000,0.0
61,2006-10-13,0.135,0.14,0.135,0.14,21040000,67500.0
62,2006-10-16,0.135,0.135,0.135,0.135,5000000,0.0
63,2006-10-17,0.13,0.13,0.13,0.13,5280000,0.0
64,2006-10-19,0.13,0.135,0.13,0.135,5050000,0.0
65,2006-10-20,0.135,0.135,0.135,0.135,1600000,0.0
66,2006-10-23,0.135,0.135,0.13,0.13,2100000,0.0
67,2006-10-25,0.14,0.145,0.135,0.135,8200000,0.0
68,2006-10-26,0.135,0.135,0.135,0.135,6520000,0.0
69,2006-10-27,0.135,0.135,0.135,0.135,6560000,0.0
70,2006-10-30,0.135,0.14,0.135,0.135,5050000,0.0
71,2006-10-31,0.135,0.135,0.135,0.135,1100000,0.0
72,2006-09-01,0.14,0.14,0.135,0.135,3100000,0.0
73,2006-09-04,0.145,0.145,0.14,0.14,7710000,-350000.0
74,2006-09-05,0.14,0.14,0.14,0.14,16180000,0.0
75,2006-09-06,0.14,0.14,0.14,0.14,8690000,0.0
76,2006-09-07,0.14,0.14,0.14,0.14,4600000,0.0
77,2006-09-08,0.14,0.14,0.135,0.135,10310000,-1086750.0
78,2006-09-11,0.135,0.135,0.135,0.135,1100000,0.0
79,2006-09-12,0.13,0.13,0.13,0.13,5800000,-260000.0
80,2006-09-13,0.13,0.13,0.125,0.125,970000,-52000.0
81,2006-09-14,0.125,0.13,0.125,0.13,640000,-27850.0
82,2006-09-15,0.135,0.135,0.13,0.135,280000,-13500.0
83,2006-09-18,0.135,0.135,0.135,0.135,1300000,-64800.0
84,2006-09-19,0.14,0.14,0.14,0.14,200000,0.0
85,2006-09-20,0.13,0.13,0.13,0.13,10090000,-388700.0
86,2006-09-21,0.13,0.135,0.13,0.13,1940000,0.0
87,2006-09-22,0.13,0.13,0.13,0.13,4190000,-1300.0
88,2006-09-25,0.13,0.13,0.13,0.13,1200000,0.0
89,2006-09-26,0.13,0.13,0.125,0.125,400000,31250.0
90,2006-09-27,0.13,0.13,0.13,0.13,1700000,0.0
