,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,1980.0,1980.0,1980.0,1980.0,130.0,0.0
1,2006-08-03,1975.0,1975.0,1950.0,1950.0,210.0,0.0
2,2006-08-04,1950.0,1950.0,1940.0,1940.0,850.0,0.0
3,2006-08-07,1930.0,1940.0,1930.0,1940.0,690.0,0.0
4,2006-08-08,1925.0,1925.0,1925.0,1925.0,930.0,0.0
5,2006-08-09,1930.0,1930.0,1930.0,1930.0,100.0,-193000.0
6,2006-08-10,1925.0,1925.0,1920.0,1925.0,590.0,0.0
7,2006-08-11,1920.0,1920.0,1920.0,1920.0,10.0,0.0
8,2006-08-14,1900.0,1900.0,1895.0,1895.0,470.0,0.0
9,2006-08-15,1900.0,1900.0,1900.0,1900.0,560.0,0.0
10,2006-08-16,1920.0,2005.0,1920.0,2005.0,2450.0,1677900.0
11,2006-08-17,2005.0,2005.0,2000.0,2000.0,110.0,0.0
12,2006-12-04,2085.0,2085.0,2080.0,2080.0,740.0,0.0
13,2006-12-05,2085.0,2130.0,2085.0,2130.0,2550.0,3745800.0
14,2006-12-06,2120.0,2125.0,2120.0,2125.0,60.0,0.0
15,2006-12-08,2110.0,2120.0,2110.0,2115.0,610.0,0.0
16,2006-12-11,2150.0,2165.0,2150.0,2165.0,1560.0,237600.0
17,2006-12-12,2120.0,2130.0,2120.0,2130.0,1240.0,191700.0
18,2006-12-13,2115.0,2120.0,2115.0,2115.0,1870.0,2812950.0
19,2006-12-14,2115.0,2120.0,2115.0,2120.0,1710.0,2944350.0
20,2006-12-15,2100.0,2100.0,2100.0,2100.0,530.0,0.0
21,2006-12-18,2070.0,2085.0,2070.0,2085.0,1700.0,2478900.0
22,2006-12-19,2085.0,2085.0,2085.0,2085.0,770.0,583800.0
23,2006-12-20,2070.0,2070.0,2070.0,2070.0,300.0,0.0
24,2006-12-21,2080.0,2105.0,2080.0,2100.0,2100.0,2473850.0
25,2006-12-27,2085.0,2085.0,2085.0,2085.0,410.0,0.0
26,2006-12-28,2040.0,2040.0,2040.0,2040.0,260.0,0.0
27,2006-12-29,2040.0,2045.0,2040.0,2045.0,690.0,-142800.0
28,2006-11-03,2050.0,2080.0,2050.0,2080.0,6640.0,4501150.0
29,2006-11-06,2070.0,2070.0,2070.0,2070.0,570.0,0.0
30,2006-11-07,2070.0,2070.0,2070.0,2070.0,310.0,0.0
31,2006-11-08,2070.0,2070.0,2070.0,2070.0,670.0,1035000.0
