,Date,Open,High,Low,Close,Volume,OtherData
0,2007-12-03,1.98,2.0,1.94,1.94,906000.0,0.0
1,2007-12-04,1.92,2.0,1.82,1.9,723000.0,0.0
2,2007-12-05,1.96,1.96,1.9,1.9,6000.0,0.0
3,2007-12-06,1.92,2.08,1.92,2.0,1611000.0,0.0
4,2007-12-07,2.02,2.06,2.0,2.0,823000.0,484800.0
5,2007-12-10,2.0,2.24,2.0,2.18,8429000.0,-508400.0
6,2007-12-11,2.2,2.2,2.1,2.16,1697000.0,0.0
7,2007-12-12,2.16,2.16,2.06,2.06,441000.0,0.0
8,2007-12-13,2.02,2.04,2.0,2.02,956000.0,0.0
9,2007-12-14,1.94,2.0,1.84,1.84,2240000.0,0.0
10,2007-12-17,1.82,1.82,1.72,1.78,181000.0,0.0
11,2007-12-18,1.68,1.78,1.68,1.78,323000.0,0.0
12,2007-12-19,1.78,1.82,1.76,1.76,111000.0,0.0
13,2007-12-20,1.82,1.82,1.64,1.64,1751000.0,0.0
14,2007-12-26,1.6,1.64,1.6,1.64,204000.0,0.0
15,2007-12-27,1.62,1.64,1.6,1.64,155000.0,0.0
16,2007-12-28,1.64,1.64,1.6,1.6,50000.0,0.0
17,2007-11-07,2.9,3.1,2.9,2.9,3035000.0,89000.0
18,2007-11-08,2.75,2.8,2.55,2.6,4432000.0,0.0
19,2007-11-09,2.6,2.65,2.38,2.44,3576000.0,0.0
20,2007-11-12,2.38,2.38,2.1,2.22,2007000.0,0.0
21,2007-11-13,2.2,2.38,2.18,2.38,876000.0,-59500.0
22,2007-11-14,2.3,2.46,2.26,2.26,347000.0,0.0
23,2007-11-15,2.3,2.3,2.24,2.26,752000.0,0.0
24,2007-11-16,2.38,2.38,2.22,2.22,121000.0,0.0
25,2007-11-19,2.22,2.26,2.18,2.26,888000.0,0.0
26,2007-11-20,2.22,2.22,2.16,2.16,586000.0,0.0
27,2007-11-21,2.22,2.24,1.98,2.08,1006000.0,0.0
28,2007-11-22,1.9,2.0,1.9,1.98,318000.0,-380000.0
29,2007-11-23,2.04,2.04,1.9,2.0,239000.0,0.0
30,2007-11-26,2.0,2.2,1.96,2.04,494000.0,0.0
31,2007-11-27,2.0,2.0,1.92,2.0,158000.0,0.0
32,2007-11-28,2.06,2.06,1.96,1.96,685000.0,0.0
33,2007-11-29,2.04,2.04,1.9,1.92,604000.0,0.0
34,2008-04-01,1.02,1.08,1.02,1.08,2000.0,-1080.0
35,2008-04-02,1.1,1.22,1.04,1.16,5403000.0,-179400.0
36,2008-04-03,1.16,1.16,1.08,1.16,664000.0,0.0
37,2008-04-04,1.18,1.18,1.1,1.1,142000.0,0.0
38,2008-04-08,1.1,1.1,1.1,1.1,180000.0,0.0
39,2008-04-09,1.08,1.08,1.06,1.06,134000.0,0.0
40,2008-04-10,1.06,1.08,1.06,1.08,203000.0,-43200.0
41,2008-04-11,1.06,1.06,1.06,1.06,455000.0,0.0
42,2008-04-15,1.06,1.06,1.04,1.04,47000.0,0.0
43,2008-04-16,1.04,1.04,1.04,1.04,99000.0,-20800.0
44,2008-04-17,1.06,1.06,1.06,1.06,117000.0,0.0
45,2008-04-18,1.04,1.04,1.04,1.04,260000.0,52000.0
46,2008-04-21,1.02,1.06,1.02,1.06,1262000.0,0.0
47,2008-04-22,1.02,1.02,1.02,1.02,50000.0,0.0
48,2008-04-23,1.02,1.02,1.02,1.02,150000.0,0.0
49,2008-04-24,1.04,1.04,1.02,1.04,55000.0,0.0
50,2008-04-25,1.02,1.02,1.0,1.0,112000.0,11220.0
51,2008-04-28,1.0,1.02,1.0,1.02,470000.0,0.0
52,2008-04-29,1.04,1.04,0.99,0.99,264000.0,0.0
53,2008-04-30,1.02,1.04,1.0,1.0,600000.0,0.0
54,2008-08-01,0.91,0.96,0.91,0.96,110000.0,-9600.0
55,2008-08-05,0.92,0.94,0.92,0.94,160000.0,0.0
56,2008-08-08,0.93,0.93,0.93,0.93,10000.0,0.0
57,2008-08-11,0.93,0.93,0.93,0.93,60000.0,0.0
58,2008-08-26,0.8,0.8,0.8,0.8,90000.0,0.0
59,2008-08-27,0.8,0.8,0.8,0.8,120000.0,0.0
60,2008-12-09,0.45,0.45,0.45,0.45,30000.0,0.0
61,2008-12-17,0.45,0.45,0.45,0.45,150000.0,0.0
62,2008-12-18,0.45,0.45,0.45,0.45,120000.0,0.0
63,2008-02-04,1.02,1.02,1.02,1.02,120000.0,0.0
64,2008-02-05,1.02,1.02,1.0,1.0,84000.0,0.0
65,2008-02-06,1.0,1.0,1.0,1.0,100000.0,0.0
66,2008-02-07,1.0,1.1,1.0,1.02,140000.0,0.0
67,2008-02-08,1.08,1.1,1.04,1.04,165000.0,0.0
68,2008-02-11,1.1,1.1,1.04,1.1,15000.0,0.0
69,2008-02-12,1.08,1.2,1.08,1.14,1509000.0,0.0
70,2008-02-13,1.14,1.44,1.14,1.44,9042000.0,0.0
71,2008-02-14,1.5,1.58,1.38,1.4,11259000.0,0.0
72,2008-02-15,1.38,1.42,1.34,1.34,2609000.0,0.0
73,2008-02-18,1.34,1.44,1.3,1.38,2732000.0,0.0
74,2008-02-19,1.38,1.42,1.34,1.34,1230000.0,0.0
75,2008-02-20,1.38,1.38,1.16,1.24,1811000.0,0.0
76,2008-02-21,1.26,1.26,1.14,1.14,991000.0,0.0
77,2008-02-22,1.12,1.12,1.06,1.08,534000.0,0.0
78,2008-02-26,1.08,1.08,1.02,1.02,951000.0,0.0
79,2008-02-27,1.1,1.22,1.1,1.2,3446000.0,0.0
80,2008-02-28,1.22,1.24,1.12,1.12,767000.0,0.0
81,2008-02-29,1.16,1.18,1.16,1.18,105000.0,0.0
82,2008-01-02,1.62,1.62,1.62,1.62,2000.0,0.0
83,2008-01-03,1.6,1.6,1.56,1.56,386000.0,0.0
84,2008-01-04,1.56,1.6,1.56,1.6,1080000.0,0.0
85,2008-01-07,1.52,1.52,1.48,1.52,1189000.0,0.0
86,2008-01-08,1.52,1.56,1.52,1.56,228000.0,0.0
87,2008-01-09,1.54,1.54,1.54,1.54,188000.0,0.0
88,2008-01-10,1.56,1.58,1.56,1.56,549000.0,0.0
89,2008-01-11,1.58,1.58,1.56,1.56,80000.0,0.0
90,2008-01-14,1.5,1.5,1.5,1.5,80000.0,0.0
91,2008-01-15,1.46,1.5,1.46,1.5,892000.0,0.0
92,2008-01-16,1.46,1.46,1.4,1.42,858000.0,0.0
93,2008-01-17,1.42,1.42,1.3,1.34,1222000.0,0.0
94,2008-01-18,1.32,1.32,1.3,1.3,825000.0,0.0
95,2008-01-21,1.3,1.3,1.3,1.3,150000.0,0.0
