,Date,Open,High,Low,Close,Volume,OtherData
0,2008-08-01,8.4,8.4,8.3,8.4,2498000,-19078000
1,2008-08-04,8.4,8.5,8.3,8.5,2513000,-14938000
2,2008-08-05,8.5,8.5,8.4,8.5,2197000,-15358500
3,2008-08-06,8.5,8.9,8.5,8.9,3399000,-13361500
4,2008-08-07,8.7,9.2,8.7,9.2,1502000,4307600
5,2008-08-08,9.2,9.3,9.0,9.3,837000,-2784500
6,2008-08-11,9.3,9.4,9.3,9.3,1120000,-5440500
7,2008-08-12,9.2,9.2,8.9,9.0,764000,0
8,2008-08-13,9.0,9.1,9.0,9.1,627000,3126700
9,2008-08-14,9.1,9.1,9.1,9.1,1615000,-6825000
10,2008-08-15,9.1,9.1,9.1,9.1,610000,5005000
11,2008-08-19,9.2,9.2,9.1,9.1,10000,0
12,2008-08-20,9.1,9.1,9.1,9.1,15000,0
13,2008-08-21,9.1,9.2,9.1,9.1,114000,0
14,2008-08-22,9.1,9.1,9.1,9.1,329000,-63700
15,2008-08-26,9.1,9.1,9.0,9.0,134000,0
16,2008-08-27,9.1,9.1,9.0,9.0,2123000,-10800000
17,2008-08-28,9.0,9.1,9.0,9.1,2353000,-15120600
18,2008-08-29,9.0,9.1,9.0,9.1,212000,697600
19,2008-12-02,9.0,9.0,8.9,8.9,95000,-270000
20,2008-12-03,9.0,9.0,9.0,9.0,544000,-1881000
21,2008-12-04,9.0,9.0,8.9,9.0,340000,-2250000
22,2008-12-05,8.9,8.9,8.9,8.9,89000,0
23,2008-12-08,8.9,8.9,8.9,8.9,358000,0
24,2008-12-09,8.9,8.9,8.9,8.9,305000,-124600
25,2008-12-10,9.0,9.0,8.8,8.8,251000,-882000
26,2008-12-11,8.8,8.8,8.8,8.8,60000,8800
27,2008-12-12,8.7,8.8,8.6,8.6,186000,-896900
28,2008-12-15,8.7,8.7,8.7,8.7,8000,0
29,2008-12-16,8.3,8.3,8.3,8.3,638000,-4316000
30,2008-12-17,8.3,8.3,8.3,8.3,261000,-1435900
31,2008-12-18,8.2,8.3,8.2,8.3,53000,-224100
32,2008-12-22,8.2,8.3,8.1,8.3,124000,-315400
33,2008-12-23,8.3,8.3,8.3,8.3,85000,-705500
34,2008-12-24,8.3,8.3,8.3,8.3,46000,-298800
35,2008-07-01,8.4,8.5,8.4,8.5,448000,1683000
36,2008-07-02,8.5,8.5,8.4,8.5,213000,-850000
37,2008-07-03,8.5,8.5,8.5,8.5,180000,-578000
38,2008-07-04,8.4,8.5,8.4,8.5,355000,1680000
39,2008-07-07,8.5,8.5,8.4,8.5,218000,-280500
40,2008-07-08,8.5,8.5,8.4,8.4,138000,0
41,2008-07-09,8.5,8.6,8.5,8.6,430000,-2550000
42,2008-07-10,8.4,8.4,8.4,8.4,60000,0
43,2008-07-11,8.4,8.5,8.4,8.5,89000,0
44,2008-07-14,8.5,8.5,8.5,8.5,100000,-450500
45,2008-07-15,8.4,8.4,8.3,8.3,454000,-3241000
46,2008-07-16,8.3,8.4,8.3,8.3,615000,-2494000
47,2008-07-17,8.4,8.4,8.3,8.4,485000,-2784000
48,2008-07-18,8.4,8.5,8.3,8.5,637000,-4096000
49,2008-07-21,8.5,8.5,8.3,8.4,527000,-3539100
50,2008-07-23,8.4,8.5,8.4,8.4,1280000,-9590800
51,2008-07-24,8.4,8.5,8.4,8.5,680000,-4203000
52,2008-07-25,8.4,8.4,8.2,8.3,2048000,-15436500
53,2008-07-28,8.4,8.4,8.3,8.3,2405000,-18656600
54,2008-07-29,8.3,8.4,8.3,8.4,712000,-5438400
55,2008-07-30,8.5,8.5,8.3,8.3,1757000,-14301900
56,2008-07-31,8.4,8.4,8.3,8.4,1493000,-11536200
57,2008-06-02,8.2,8.3,8.2,8.3,974000,-1739200
58,2008-06-04,8.3,8.3,8.2,8.3,519000,0
59,2008-06-05,8.2,8.3,8.2,8.2,2866000,11020800
60,2008-06-06,8.2,8.3,8.2,8.3,699000,-410000
61,2008-06-10,8.2,8.3,8.2,8.3,1402000,0
62,2008-06-11,8.3,8.3,8.2,8.3,1140000,33200
63,2008-06-12,8.3,8.3,8.2,8.3,2571000,-18195800
64,2008-06-13,8.2,8.3,8.2,8.3,1831000,-2490000
65,2008-06-16,8.3,8.3,8.3,8.3,350000,-830000
66,2008-06-17,8.2,8.3,8.2,8.3,167000,0
67,2008-06-18,8.3,8.3,8.2,8.3,294000,0
68,2008-06-19,8.2,8.4,8.2,8.4,1055000,0
69,2008-06-20,8.4,8.4,8.3,8.4,317000,-1545600
70,2008-06-23,8.4,8.4,8.3,8.4,685000,1764000
71,2008-06-24,8.4,8.4,8.3,8.4,450000,-25200
72,2008-06-25,8.4,8.5,8.4,8.5,490000,0
73,2008-06-26,8.5,8.5,8.5,8.5,213000,-850000
74,2008-06-27,8.4,8.5,8.3,8.5,675000,0
75,2008-06-30,8.4,8.5,8.4,8.5,895000,-4205000
76,2008-05-12,8.3,8.5,7.9,8.5,61764000,-167916100
77,2008-05-13,8.6,8.6,8.4,8.4,1250000,-2352000
78,2008-05-14,8.4,8.4,8.1,8.1,756000,0
79,2008-05-15,8.1,8.5,8.1,8.5,6439000,-12289800
80,2008-05-16,8.4,8.5,8.3,8.5,1834000,-10994500
81,2008-05-19,8.5,8.5,8.4,8.4,855000,-2940000
82,2008-05-20,8.4,8.4,8.3,8.4,851000,-1688400
83,2008-05-21,8.4,8.4,8.2,8.3,1991000,-1670000
84,2008-05-22,8.2,8.3,8.2,8.3,1548000,0
85,2008-05-23,8.3,8.3,8.2,8.3,660000,-821700
86,2008-05-26,8.3,8.3,8.2,8.3,8235000,0
87,2008-05-27,8.3,8.3,8.2,8.3,195000,16600
88,2008-05-28,8.3,8.3,8.3,8.3,1436000,-4150000
89,2008-05-29,8.3,8.3,8.2,8.3,1069000,-180400
90,2008-05-30,8.3,8.3,8.2,8.3,1159000,-3891400
91,2008-11-03,9.9,9.9,9.7,9.9,175000,0
92,2008-11-04,9.8,10.0,9.7,9.7,234000,0
93,2008-11-05,9.8,9.8,9.7,9.7,76000,0
94,2008-11-06,9.6,9.6,9.5,9.5,123000,-57000
95,2008-11-07,9.5,9.5,9.3,9.3,228000,8200
96,2008-11-11,10.25,10.5,9.7,9.7,631000,-99800
97,2008-11-12,9.7,9.8,9.6,9.6,101000,-145500
