,Date,Open,High,Low,Close,Volume,OtherData
0,2012-09-28,75.0,75.1,74.9,75.0,695800.0,0.0
1,2012-10-01,75.0,75.0,75.0,75.0,125750.0,0.0
2,2012-10-02,75.0,75.0,74.9,74.9,39600.0,0.0
3,2012-10-03,75.0,75.0,74.95,74.95,4000.0,0.0
4,2012-10-04,75.0,75.0,74.95,75.0,58900.0,0.0
5,2012-10-05,75.0,75.0,75.0,75.0,59010.0,0.0
6,2012-10-08,74.95,75.0,74.95,75.0,1364670.0,-37500000.0
7,2012-10-09,75.0,75.0,74.95,74.95,1026170.0,-51971250.0
8,2012-10-10,75.0,75.15,75.0,75.0,1983900.0,-41236200.0
9,2012-10-11,75.0,75.0,74.95,75.0,681470.0,-33549000.0
10,2012-10-12,75.0,75.0,75.0,75.0,821280.0,-7500000.0
11,2012-10-15,75.0,75.0,74.95,75.0,404070.0,-24374000.0
12,2012-10-16,75.0,75.0,75.0,75.0,435480.0,-12000000.0
13,2012-10-17,75.0,75.0,75.0,75.0,1373820.0,-48559500.0
14,2012-10-18,75.0,75.0,74.95,74.95,384860.0,-7680750.0
15,2012-10-19,75.0,75.0,74.9,75.0,2030200.0,-1837550.0
16,2012-10-22,75.0,75.0,74.85,75.0,112750.0,1082550.0
17,2012-10-23,75.0,75.0,74.95,75.0,738680.0,-25987500.0
18,2012-10-24,75.0,75.0,74.95,75.0,216670.0,-7407750.0
19,2012-10-25,75.0,75.0,75.0,75.0,3145380.0,-49500000.0
20,2012-10-29,75.0,75.0,74.95,74.95,354590.0,-16122750.0
21,2012-10-30,74.95,75.0,74.95,75.0,203730.0,-14729250.0
22,2012-10-31,75.0,75.0,74.95,75.0,2694210.0,-5100750.0
23,2012-11-05,75.0,75.0,75.0,75.0,155800.0,-2685000.0
24,2012-11-06,75.0,75.0,75.0,75.0,36000.0,-2700000.0
25,2012-11-07,75.0,75.0,75.0,75.0,2230030.0,-76005000.0
26,2012-11-08,75.0,75.0,74.95,75.0,108960.0,-5354250.0
27,2012-11-09,74.9,75.0,74.9,75.0,2718680.0,-49999500.0
28,2012-11-12,75.0,75.0,74.95,75.0,139950.0,-8592750.0
29,2012-11-13,75.0,75.0,75.0,75.0,82680.0,-5497500.0
30,2012-11-14,75.0,75.0,74.9,74.95,104100.0,-4213720.0
31,2012-11-15,75.0,75.0,75.0,75.0,404350.0,-17032500.0
32,2012-11-16,75.0,75.0,75.0,75.0,2023740.0,-27633000.0
33,2012-11-19,75.0,75.0,75.0,75.0,258640.0,-19360500.0
34,2012-11-20,75.0,75.0,74.9,74.9,138620.0,3119220.0
35,2012-11-21,74.95,75.0,74.95,75.0,1213220.0,-87865580.0
36,2012-11-22,75.0,75.0,75.0,75.0,873280.0,-40483500.0
37,2012-11-23,75.0,75.0,74.95,75.0,4361260.0,-24174582.0
38,2012-11-26,75.0,75.0,75.0,75.0,650440.0,-47189250.0
39,2012-11-27,75.0,75.0,74.95,75.0,290490.0,-13491750.0
40,2012-11-28,75.0,75.0,74.95,74.95,204300.0,-14662500.0
41,2012-11-29,75.0,75.0,74.95,74.95,3117660.0,-29517750.0
42,2012-12-03,75.0,75.0,74.95,75.0,703550.0,-12918750.0
43,2012-12-04,75.0,75.0,74.95,75.0,223720.0,-16636510.0
44,2012-12-05,75.0,75.0,74.95,75.0,521720.0,-28995505.0
45,2012-12-06,75.0,75.0,74.95,75.0,1749710.0,-70288500.0
46,2012-12-07,75.0,75.0,75.0,75.0,2758090.0,-30381750.0
47,2012-12-10,75.0,75.0,74.95,74.95,478400.0,-22567500.0
48,2012-12-11,75.0,75.0,75.0,75.0,351020.0,-25938750.0
49,2012-12-12,74.95,75.0,74.95,75.0,541500.0,-35049750.0
50,2012-12-13,75.0,75.0,74.95,75.0,767760.0,-53094800.0
51,2012-12-14,75.0,75.0,75.0,75.0,5339510.0,-79197000.0
52,2012-12-17,74.95,74.95,74.85,74.85,73950.0,0.0
53,2012-12-18,74.85,74.85,74.75,74.75,61400.0,-1002990.0
