,Date,Open,High,Low,Close,Volume,OtherData
0,2015-09-21,80.0,80.0,76.0,77.0,48160,-406700
1,2015-09-22,78.5,78.6,78.0,78.0,255010,-2120820
2,2015-09-23,78.0,78.5,78.0,78.5,252820,-4288150
3,2015-09-24,78.5,78.5,78.0,78.0,261080,-39000
4,2015-09-28,78.5,78.55,78.0,78.55,82330,0
5,2015-09-29,78.5,78.5,78.5,78.5,84200,0
6,2015-09-30,78.5,78.6,78.5,78.5,121650,0
7,2015-10-01,78.5,78.8,78.0,78.8,77900,-1886400
8,2015-10-02,78.8,79.0,78.5,79.0,74550,0
9,2015-10-05,78.9,78.9,78.9,78.9,10110,0
10,2015-10-06,78.7,79.0,78.55,78.9,184540,0
11,2015-10-07,78.9,79.0,78.9,79.0,51700,0
12,2015-10-08,78.5,79.0,78.5,79.0,84090,0
13,2015-10-09,78.9,79.0,78.9,79.0,57500,1501000
14,2015-10-12,79.0,79.2,79.0,79.2,46780,0
15,2015-10-14,79.1,79.1,79.1,79.1,45900,0
16,2015-10-15,79.0,79.0,78.5,79.0,82600,0
17,2015-10-16,79.0,79.1,79.0,79.0,29140,0
18,2015-10-21,79.05,79.05,79.0,79.0,30070,0
19,2015-10-22,79.0,79.0,79.0,79.0,66500,0
20,2015-10-23,79.2,79.2,79.2,79.2,12500,0
21,2015-10-26,79.05,79.1,79.05,79.1,5100,0
22,2015-10-27,79.05,79.05,79.05,79.05,1520,0
23,2015-10-30,79.1,79.2,79.1,79.2,1001250,0
24,2015-11-02,79.05,79.1,79.05,79.1,700,0
25,2015-11-03,79.05,79.05,79.05,79.05,2100,0
26,2015-11-04,79.05,79.2,79.05,79.2,67800,-830808
27,2015-11-05,79.2,79.2,79.05,79.05,80010,830808
28,2015-11-06,79.2,79.2,79.1,79.1,17800,-1392160
29,2015-11-09,79.0,79.1,79.0,79.1,2900,-142380
30,2015-11-10,79.05,79.2,79.05,79.05,54900,0
31,2015-11-11,79.0,79.15,79.0,79.05,31840,0
32,2015-11-13,79.05,79.2,79.05,79.2,47200,0
33,2015-11-16,79.05,79.05,79.05,79.05,9200,0
34,2015-11-17,79.1,79.1,79.05,79.05,5500,0
35,2015-11-20,79.05,79.05,79.05,79.05,31000,0
36,2015-11-24,79.1,79.15,79.1,79.15,13700,0
37,2015-11-25,79.1,79.2,79.1,79.2,63010,0
38,2015-11-26,79.2,79.4,79.2,79.25,2028500,-118800
39,2015-11-27,79.4,79.4,79.4,79.4,7500,0
40,2015-12-01,79.2,79.2,79.2,79.2,500,-39600
41,2015-12-02,79.2,79.2,79.2,79.2,20,0
42,2015-12-04,79.4,79.4,79.4,79.4,20,0
43,2015-12-07,79.3,79.4,79.3,79.3,8300,0
44,2015-12-09,79.3,79.3,79.3,79.3,480,0
45,2015-12-10,79.2,79.2,79.2,79.2,1000,0
46,2015-12-15,78.05,78.4,78.0,78.0,15850,0
47,2015-12-18,78.0,78.4,78.0,78.4,1490,0
48,2015-12-21,78.25,78.3,78.25,78.3,8310,0
49,2015-12-22,78.05,78.3,78.0,78.3,1511350,0
50,2015-12-23,78.3,78.4,78.3,78.4,1230,77616
51,2015-12-28,78.3,78.6,78.0,78.6,63800,0
52,2015-12-29,79.0,85.0,79.0,85.0,9300,742500
53,2016-01-05,78.0,78.0,78.0,78.0,4700,0
54,2016-01-08,79.0,79.0,79.0,79.0,20,0
55,2016-01-11,78.2,78.25,78.2,78.25,11000,0
56,2016-01-12,78.2,78.2,78.2,78.2,3850,0
57,2016-01-13,79.0,79.0,79.0,79.0,11600,0
58,2016-01-14,79.0,79.0,79.0,79.0,4400,0
59,2016-01-19,78.3,78.3,78.3,78.3,19500,0
60,2016-01-20,78.3,78.3,78.3,78.3,3000,0
61,2016-01-21,78.2,78.4,78.2,78.4,414600,0
62,2016-01-22,78.4,78.4,78.4,78.4,4410,0
63,2016-01-26,78.2,79.0,78.2,79.0,1030,0
64,2016-01-27,79.0,79.0,79.0,79.0,4370,345230
65,2016-02-03,79.0,79.0,78.2,78.5,110710,0
66,2016-02-04,78.2,78.2,78.2,78.2,4400,0
67,2016-02-05,78.5,78.75,78.5,78.75,3020,0
68,2016-02-15,78.5,78.5,78.2,78.2,1200,0
69,2016-02-16,78.2,78.2,78.2,78.2,4300,0
70,2016-02-18,78.2,78.2,78.0,78.0,66700,0
71,2016-02-19,78.0,78.0,78.0,78.0,19000,0
72,2016-02-22,78.0,78.0,78.0,78.0,270,0
73,2016-02-23,78.0,78.0,78.0,78.0,2500,-156000
74,2016-02-24,78.1,79.0,78.0,79.0,32750,-221200
75,2016-02-26,78.0,78.0,78.0,78.0,95320,0
76,2016-02-29,78.0,78.5,78.0,78.0,1020850,0
77,2016-03-01,76.5,76.5,76.5,76.5,13300,0
78,2016-03-02,76.5,76.5,76.5,76.5,29000,0
79,2016-03-04,76.5,76.5,76.5,76.5,300,0
80,2016-03-08,76.5,76.6,76.5,76.5,63850,0
81,2016-03-09,76.5,76.5,76.5,76.5,14100,0
82,2016-03-11,76.55,76.55,76.5,76.5,35500,0
83,2016-03-14,76.5,76.5,76.5,76.5,12900,0
84,2016-03-15,76.5,76.5,76.5,76.5,91600,0
85,2016-03-16,75.5,75.5,75.5,75.5,4300,0
86,2016-03-17,75.6,75.6,75.5,75.5,165030,-5519050
87,2016-03-18,75.5,75.5,75.5,75.5,25060,-1642880
