,Date,Open,High,Low,Close,Volume,OtherData
0,2016-03-30,75.05,76.0,75.05,76.0,144310,677120
1,2016-03-31,75.9,76.0,75.5,75.5,100170,0
2,2016-04-01,75.7,76.0,75.6,75.6,75100,0
3,2016-04-04,76.0,76.0,75.7,76.0,32350,19760
4,2016-04-05,76.0,76.1,76.0,76.1,223080,76100
5,2016-04-06,76.3,76.3,76.3,76.3,2500,0
6,2016-04-07,76.5,77.7,76.5,77.4,32130,0
7,2016-04-08,77.0,77.0,77.0,77.0,20000,0
8,2016-04-11,76.9,77.0,76.9,77.0,30300,207900
9,2016-04-12,77.0,77.5,77.0,77.5,53000,0
10,2016-04-13,77.4,77.5,77.1,77.5,45430,-1238800
11,2016-04-14,77.0,77.0,77.0,77.0,14000,0
12,2016-04-18,76.0,77.0,76.0,77.0,15100,464700
13,2016-04-19,76.8,77.0,76.8,76.9,45400,3464760
14,2016-04-20,77.0,77.0,75.6,76.95,7350,0
15,2016-04-25,76.2,76.2,75.0,75.0,226400,-16686484
16,2016-04-26,76.5,76.5,76.0,76.5,11800,0
17,2016-04-27,76.85,77.0,76.6,77.0,119720,0
18,2016-04-28,77.0,77.0,77.0,77.0,7050,0
19,2016-04-29,77.0,77.0,77.0,77.0,8270,0
20,2016-05-02,77.0,77.0,77.0,77.0,620,0
21,2016-05-03,77.6,78.15,77.5,78.0,142180,0
22,2016-05-05,78.0,78.0,77.8,78.0,22490,0
23,2016-05-11,77.95,78.0,77.85,78.0,30700,0
24,2016-05-12,78.0,78.0,78.0,78.0,25560,0
25,2016-05-17,78.0,78.0,78.0,78.0,59390,0
26,2016-05-18,77.0,77.0,77.0,77.0,2000,0
27,2016-05-23,77.0,77.0,77.0,77.0,14000,0
28,2016-05-24,77.0,78.0,77.0,78.0,491300,-2239900
29,2016-05-25,78.0,78.1,78.0,78.1,45500,0
30,2016-05-26,77.5,77.5,77.5,77.5,500,0
31,2016-05-27,77.2,77.2,77.2,77.2,15000,0
32,2016-05-31,77.5,78.0,77.5,78.0,27200,3895
33,2016-06-01,78.0,78.0,78.0,78.0,24690,0
34,2016-06-02,77.9,77.9,77.5,77.5,18800,0
35,2016-06-03,77.9,77.9,76.5,76.5,80300,38500
36,2016-06-06,77.9,78.0,77.05,78.0,26000,0
37,2016-06-07,78.0,78.0,78.0,78.0,1440,0
38,2016-06-09,77.1,77.1,76.55,76.55,29400,0
39,2016-06-13,76.6,76.8,76.6,76.6,27900,0
40,2016-06-15,78.0,78.1,78.0,78.0,249840,0
41,2016-06-16,77.95,78.0,77.9,77.95,49760,0
42,2016-06-17,77.0,77.0,77.0,77.0,3000,0
43,2016-06-20,77.0,77.0,77.0,77.0,1500,100100
44,2016-06-21,76.9,77.0,76.65,76.65,26870,0
