,Date,Open,High,Low,Close,Volume,OtherData
0,2016-03-30,75.0,75.5,75.0,75.0,222430,-1500
1,2016-03-31,75.0,75.0,75.0,75.0,282130,0
2,2016-04-01,75.0,75.05,74.95,75.0,113500,0
3,2016-04-04,75.0,75.0,75.0,75.0,93250,0
4,2016-04-05,75.1,75.1,75.0,75.1,180000,0
5,2016-04-06,75.1,75.1,75.05,75.05,142620,0
6,2016-04-07,75.0,75.05,75.0,75.0,167800,0
7,2016-04-08,75.0,75.0,75.0,75.0,108710,0
8,2016-04-11,75.0,75.05,75.0,75.0,97400,0
9,2016-04-12,75.1,75.1,75.0,75.0,345010,0
10,2016-04-13,75.0,75.0,74.95,75.0,254810,0
11,2016-04-14,75.0,75.0,75.0,75.0,285620,-37500
12,2016-04-15,75.0,75.05,75.0,75.0,250790,0
13,2016-04-18,75.0,75.0,75.0,75.0,235860,1500000
14,2016-04-19,75.0,75.0,75.0,75.0,201460,0
15,2016-04-20,75.0,75.05,75.0,75.05,116790,742995
16,2016-04-21,75.1,75.2,75.1,75.1,138000,2857600
17,2016-04-22,75.1,75.1,75.05,75.1,132300,0
18,2016-04-25,75.1,75.5,75.1,75.1,229200,0
19,2016-04-26,75.1,75.2,75.05,75.05,269700,0
20,2016-04-27,75.6,75.6,75.05,75.05,54450,0
21,2016-04-28,75.05,75.5,75.05,75.5,50800,0
22,2016-04-29,75.5,75.5,75.25,75.5,190430,0
23,2016-05-02,75.1,75.15,75.1,75.1,677000,0
24,2016-05-03,75.1,75.1,75.05,75.05,20200,0
25,2016-05-04,75.1,75.5,75.1,75.5,118400,0
26,2016-05-05,75.5,75.6,75.1,75.6,57570,0
27,2016-05-06,75.4,75.4,75.0,75.05,194220,4995000
28,2016-05-10,75.0,75.05,75.0,75.0,42290,0
29,2016-05-11,75.0,75.0,75.0,75.0,73400,0
30,2016-05-12,75.1,75.1,75.05,75.05,92250,0
31,2016-05-13,75.05,75.5,75.05,75.5,1120,0
32,2016-05-16,75.2,75.5,75.1,75.5,125010,0
33,2016-05-17,75.2,75.5,75.1,75.5,77920,1016854
34,2016-05-18,75.85,75.85,75.1,75.1,18310,998830
35,2016-05-20,75.4,75.5,75.4,75.5,206690,2184583
36,2016-05-23,75.5,75.5,75.5,75.5,54190,0
37,2016-05-24,75.5,75.7,75.5,75.7,81350,498204
38,2016-05-25,75.9,76.5,75.9,76.0,99620,-1518000
39,2016-05-26,76.0,76.0,76.0,76.0,500,0
40,2016-05-30,76.05,76.1,76.05,76.1,41000,0
41,2016-05-31,77.0,77.0,76.1,76.9,43120,-2804340
42,2016-06-01,76.5,77.0,76.5,76.9,35200,-520200
43,2016-06-02,76.9,77.0,76.9,77.0,199200,-631400
44,2016-06-03,76.9,76.9,76.9,76.9,31750,0
45,2016-06-06,77.0,77.0,76.9,76.9,75580,-414260
46,2016-06-07,76.9,77.05,76.9,77.05,92320,0
47,2016-06-08,77.05,77.05,77.05,77.05,30950,0
48,2016-06-09,77.05,77.05,77.05,77.05,29130,0
49,2016-06-10,77.05,77.05,77.0,77.0,31400,0
50,2016-06-13,77.05,77.5,77.05,77.5,31620,-1908050
51,2016-06-15,77.0,77.0,77.0,77.0,118140,0
52,2016-06-16,77.0,77.0,77.0,77.0,26600,0
53,2016-06-17,76.0,76.0,75.5,75.5,188000,0
54,2016-06-20,76.95,76.95,76.5,76.5,26500,0
55,2016-06-21,76.25,76.6,76.25,76.6,149830,0
56,2016-06-23,76.6,76.6,76.6,76.6,2100,0
57,2016-06-24,76.3,76.9,76.3,76.9,8710,0
58,2016-06-27,76.0,76.9,76.0,76.9,13200,0
59,2016-06-29,76.95,76.95,76.95,76.95,159000,-7194825
60,2016-07-01,76.05,77.0,76.05,77.0,43510,0
61,2016-07-04,76.9,76.9,76.9,76.9,6320,0
62,2016-07-05,76.9,76.9,76.9,76.9,4000,0
63,2016-07-07,76.95,77.05,76.95,77.0,553300,7680750
64,2016-07-08,76.1,77.1,76.1,77.0,141150,-7680750
65,2016-07-11,77.0,77.0,76.0,77.0,131370,-566720
66,2016-07-12,77.0,77.8,77.0,77.8,102900,-3875000
67,2016-07-14,77.0,77.7,76.25,76.25,60700,-722610
68,2016-07-15,76.9,77.7,76.9,77.7,68000,1654210
69,2016-07-18,77.0,77.0,77.0,77.0,1000,0
70,2016-07-19,77.7,77.7,77.0,77.0,131100,-3224550
71,2016-07-20,77.0,77.0,77.0,77.0,87690,0
72,2016-07-21,77.1,77.1,77.0,77.0,78900,0
73,2016-07-22,77.0,77.1,77.0,77.1,54100,0
74,2016-07-25,77.0,77.1,76.7,77.1,184790,0
75,2016-07-26,77.1,77.1,77.1,77.1,62590,0
76,2016-07-27,77.1,77.1,77.0,77.1,92530,0
77,2016-07-28,77.1,77.1,77.1,77.1,784900,-2299122
78,2016-07-29,77.1,77.1,77.0,77.0,246200,0
79,2016-08-01,77.1,77.15,76.95,76.95,147100,0
80,2016-08-03,76.6,77.0,76.6,77.0,145550,0
81,2016-08-04,77.0,77.2,77.0,77.2,273880,0
82,2016-08-05,77.2,77.25,77.2,77.25,90000,0
83,2016-08-08,77.1,77.25,77.0,77.0,270700,3855000
84,2016-08-09,77.1,77.3,77.1,77.3,118400,3084000
85,2016-08-10,77.2,77.2,77.0,77.2,126380,655300
86,2016-08-11,77.35,77.5,77.35,77.45,134300,0
87,2016-08-12,77.45,77.45,77.45,77.45,10000,0
88,2016-08-15,77.5,77.55,77.5,77.5,99700,0
89,2016-08-16,77.5,77.6,77.5,77.55,30400,0
90,2016-08-17,77.5,77.8,77.45,77.55,1622980,0
91,2016-08-18,77.8,77.8,77.55,77.55,25010,0
92,2016-08-19,77.55,77.55,77.25,77.25,121400,0
93,2016-08-22,77.55,77.8,77.55,77.55,7910,0
94,2016-08-23,77.55,77.75,77.55,77.75,6500,0
95,2016-08-24,77.7,77.8,77.1,77.1,370620,77100
96,2016-08-25,77.2,78.0,77.2,77.8,1508020,0
97,2016-08-26,77.8,78.05,77.8,78.05,768570,0
98,2016-08-30,78.05,78.05,78.0,78.0,832970,0
99,2016-08-31,78.0,78.0,77.85,77.85,774030,0
100,2016-09-01,78.0,78.1,78.0,78.1,753100,0
101,2016-09-02,78.1,78.25,78.0,78.25,167310,0
102,2016-09-05,78.3,78.3,78.1,78.1,7200,-523278
103,2016-09-06,78.2,78.35,78.2,78.35,750500,0
104,2016-09-07,78.35,78.6,78.3,78.3,759190,0
105,2016-09-08,78.5,78.6,78.3,78.6,185550,0
106,2016-09-09,78.6,78.6,78.6,78.6,154940,0
107,2016-09-13,78.65,79.0,78.65,79.0,50200,0
108,2016-09-14,78.7,79.0,78.7,79.0,61740,0
109,2016-09-15,78.4,78.6,78.4,78.6,10410,0
110,2016-09-16,78.1,78.5,78.1,78.5,63520,0
111,2016-09-19,78.2,78.4,77.8,77.8,84070,0
112,2016-09-20,77.8,78.0,77.8,78.0,305760,0
113,2016-09-21,78.0,78.2,77.8,78.2,61410,0
114,2016-09-22,78.1,78.2,78.1,78.2,148700,0
115,2016-09-23,78.2,78.2,78.2,78.2,6650,0
116,2016-09-26,78.2,78.4,78.2,78.4,179830,0
117,2016-09-27,78.2,78.2,78.2,78.2,230,0
118,2016-09-28,78.2,78.2,78.2,78.2,1840,0
119,2016-09-29,78.2,78.4,78.2,78.4,76300,0
120,2016-09-30,78.2,78.4,78.2,78.4,37670,0
121,2016-10-03,77.8,78.0,77.8,78.0,6600,0
