,Date,Open,High,Low,Close,Volume,OtherData
0,2016-03-30,75.3,75.3,71.5,75.0,258390,0
1,2016-03-31,75.0,75.0,75.0,75.0,96810,0
2,2016-04-01,75.0,75.0,75.0,75.0,374600,225000
3,2016-04-04,75.0,75.0,75.0,75.0,166050,195000
4,2016-04-05,75.0,75.3,74.9,75.0,279900,0
5,2016-04-06,75.0,75.0,74.9,75.0,59650,0
6,2016-04-07,75.0,75.0,75.0,75.0,598520,0
7,2016-04-08,75.0,75.0,75.0,75.0,244090,0
8,2016-04-11,75.0,75.0,75.0,75.0,275000,0
9,2016-04-12,75.05,75.05,75.0,75.0,90040,0
10,2016-04-13,75.0,75.0,75.0,75.0,110960,3000000
11,2016-04-14,75.0,75.0,75.0,75.0,98460,-37500
12,2016-04-15,75.0,75.05,75.0,75.0,98810,0
13,2016-04-19,75.05,75.05,75.0,75.0,68200,0
14,2016-04-20,75.05,75.1,75.05,75.1,103140,0
15,2016-04-21,75.1,75.1,75.05,75.05,100000,-150100
16,2016-04-22,75.5,75.5,75.1,75.1,16060,0
17,2016-04-25,75.1,75.1,75.1,75.1,58250,0
18,2016-04-26,75.1,75.2,75.05,75.2,73800,0
19,2016-04-27,75.5,75.5,75.1,75.1,87080,-150300
20,2016-04-28,75.5,75.5,75.5,75.5,30400,0
21,2016-04-29,75.5,75.5,75.0,75.0,80890,375000
22,2016-05-02,75.1,75.1,75.0,75.0,183750,0
23,2016-05-03,75.05,75.6,75.05,75.6,5060,0
24,2016-05-04,75.1,75.2,75.1,75.1,50000,0
25,2016-05-05,75.5,75.5,75.5,75.5,700,0
26,2016-05-06,75.4,75.4,75.15,75.15,76030,0
27,2016-05-10,75.5,75.5,75.15,75.2,25350,0
28,2016-05-11,75.2,75.2,75.2,75.2,209850,0
29,2016-05-12,75.2,75.2,75.1,75.1,700,0
30,2016-05-13,75.2,75.2,75.2,75.2,20,0
31,2016-05-16,75.6,75.6,75.6,75.6,2180,0
32,2016-05-17,75.5,75.5,75.5,75.5,17820,0
33,2016-05-18,75.7,75.7,75.6,75.6,2010,0
34,2016-05-20,75.8,75.8,75.7,75.8,17460,0
35,2016-05-23,75.8,75.8,75.6,75.8,21100,0
36,2016-05-24,75.7,75.8,75.7,75.8,53480,148478
37,2016-05-25,75.8,76.3,75.8,76.3,30710,-1518000
38,2016-05-26,76.2,76.3,76.2,76.3,116000,0
39,2016-05-27,76.3,76.4,76.0,76.0,74030,0
40,2016-05-31,76.5,77.0,76.5,76.5,207490,-3850000
41,2016-06-01,77.0,77.0,76.8,77.0,436320,0
42,2016-06-02,77.0,77.0,77.0,77.0,35250,0
43,2016-06-03,77.0,77.1,77.0,77.0,161170,0
44,2016-06-06,77.0,77.0,76.8,77.0,50580,0
45,2016-06-07,76.9,77.0,76.9,77.0,18400,0
46,2016-06-08,77.0,77.0,77.0,77.0,30430,0
47,2016-06-09,77.0,77.0,77.0,77.0,30420,0
48,2016-06-10,76.75,77.0,76.65,76.8,97740,0
49,2016-06-13,76.75,77.0,76.5,76.95,72410,0
50,2016-06-15,76.2,77.0,76.0,77.0,166990,0
51,2016-06-16,77.0,77.0,75.2,77.0,343600,0
52,2016-06-17,76.95,76.95,76.95,76.95,12000,0
53,2016-06-21,76.95,76.95,76.9,76.9,33180,0
54,2016-06-23,76.1,76.9,76.1,76.9,135000,0
55,2016-06-24,76.95,76.95,76.9,76.95,7500,-61560
56,2016-06-27,76.9,76.9,76.6,76.6,16470,-649168
57,2016-06-28,76.6,76.6,76.6,76.6,76850,-5496050
58,2016-06-30,76.6,76.7,76.6,76.7,32730,-2412900
59,2016-07-01,76.7,76.9,76.6,76.9,129300,-6988137
60,2016-07-04,77.0,77.0,76.6,76.6,99350,-2691500
61,2016-07-05,76.95,76.95,76.95,76.95,27750,-1789087
62,2016-07-07,77.0,77.0,76.85,77.0,47510,0
63,2016-07-08,77.0,77.0,77.0,77.0,103400,-3850000
64,2016-07-11,77.0,77.0,77.0,77.0,142700,-3722950
65,2016-07-12,76.8,77.0,76.8,77.0,107650,-26950
66,2016-07-13,77.0,77.0,76.8,76.9,50740,-26180
67,2016-07-14,76.9,76.95,76.9,76.95,98400,-6879330
68,2016-07-15,76.75,77.0,76.0,76.9,203130,-73920
69,2016-07-18,76.6,77.0,76.5,77.0,59000,0
70,2016-07-19,77.1,77.1,77.0,77.0,315600,-2408604
71,2016-07-20,77.0,77.1,76.5,76.5,579100,0
72,2016-07-21,77.0,77.1,77.0,77.1,106610,0
73,2016-07-22,76.5,77.1,76.5,77.0,318990,0
74,2016-07-25,77.0,77.0,76.9,77.0,213220,40040
75,2016-07-26,77.0,77.2,77.0,77.0,223200,0
76,2016-07-27,77.0,77.1,77.0,77.1,214530,770000
77,2016-07-28,77.1,77.2,77.1,77.2,61910,547410
78,2016-07-29,77.1,77.2,77.1,77.1,398250,1542000
79,2016-08-01,77.2,77.25,77.2,77.25,32700,0
80,2016-08-03,77.25,77.3,77.25,77.3,32340,0
81,2016-08-04,77.4,77.4,77.3,77.3,184440,7730000
82,2016-08-05,77.4,77.4,77.25,77.25,106420,0
83,2016-08-08,77.4,77.4,77.2,77.2,129750,0
84,2016-08-09,77.3,77.3,77.3,77.3,13000,0
85,2016-08-10,77.2,77.5,77.2,77.2,20410,-115800
86,2016-08-11,77.5,77.5,77.5,77.5,78900,0
87,2016-08-12,77.5,77.5,77.5,77.5,41540,0
88,2016-08-15,77.6,77.7,77.6,77.7,55000,0
89,2016-08-16,77.7,77.8,77.7,77.75,143310,0
90,2016-08-17,77.7,77.8,77.7,77.8,119700,0
91,2016-08-18,77.8,77.8,77.7,77.7,57900,0
92,2016-08-19,77.7,77.8,77.7,77.7,109200,0
93,2016-08-22,77.7,78.0,77.7,78.0,346600,0
94,2016-08-23,78.0,78.0,78.0,78.0,20,0
95,2016-08-24,77.8,78.0,77.7,78.0,228920,0
96,2016-08-25,77.7,78.0,77.7,78.0,106120,0
97,2016-08-26,78.5,79.0,78.2,78.2,35500,0
98,2016-08-30,78.2,78.2,78.2,78.2,50,0
99,2016-08-31,78.2,78.5,78.2,78.2,13590,0
100,2016-09-01,78.2,78.3,78.2,78.3,1000,0
101,2016-09-02,78.3,78.8,78.3,78.8,5310,0
102,2016-09-05,78.8,78.8,78.8,78.8,46990,0
103,2016-09-06,78.85,78.85,78.8,78.8,4110,0
104,2016-09-07,78.85,78.85,78.8,78.8,4500,0
105,2016-09-08,78.9,79.0,78.9,79.0,164000,0
106,2016-09-09,79.1,79.15,79.0,79.0,55710,0
107,2016-09-13,78.5,79.0,78.5,79.0,220,0
108,2016-09-14,79.0,79.0,78.3,78.3,42180,0
109,2016-09-15,79.05,79.1,79.05,79.1,58800,0
110,2016-09-16,78.5,78.5,78.5,78.5,12710,0
111,2016-09-19,78.0,78.0,78.0,78.0,112900,0
112,2016-09-20,78.0,78.0,78.0,78.0,73660,0
113,2016-09-21,78.0,78.0,77.65,77.65,1215000,3106
114,2016-09-22,78.0,78.0,78.0,78.0,68200,0
115,2016-09-23,78.1,78.1,78.0,78.0,65430,0
116,2016-09-26,78.0,78.2,78.0,78.2,161400,0
