,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,75.0,75.0,74.5,75.0,59400,3697500
1,2006-08-02,73.0,73.0,71.0,71.5,463100,-15049250
2,2006-08-03,71.5,72.0,71.0,72.0,49500,-2110250
3,2006-08-04,71.5,72.0,71.5,72.0,129400,-4570300
4,2006-08-07,72.0,72.5,72.0,72.5,56000,1282900
5,2006-08-08,72.5,74.0,72.5,73.0,105200,5149150
6,2006-08-09,73.5,73.5,73.0,73.5,61800,1958400
7,2006-08-10,72.5,73.5,72.5,73.5,94000,546750
8,2006-08-11,73.5,74.5,73.5,74.5,46700,-14800
9,2006-08-14,74.5,74.5,74.0,74.5,41600,0
10,2006-08-15,74.5,74.5,73.0,73.5,57000,-850200
11,2006-08-16,74.0,74.0,73.0,73.5,59000,-915000
12,2006-08-17,71.5,73.5,71.5,73.5,49500,367500
13,2006-12-04,73.5,74.0,73.5,74.0,108400,-784100
14,2006-12-05,74.0,74.0,73.0,73.5,155500,-2190950
15,2006-12-06,73.0,73.5,73.0,73.5,118000,486950
16,2006-12-07,73.5,73.5,72.5,73.5,63600,-624750
17,2006-12-08,73.0,73.0,72.5,73.0,84600,-58400
18,2006-12-11,73.0,73.0,72.0,72.0,60900,-2291400
19,2006-12-12,71.5,71.5,70.5,71.0,330200,-483400
20,2006-12-13,70.0,71.5,70.0,71.5,41000,-1711000
21,2006-12-14,71.5,71.5,70.5,71.5,176300,-7616900
22,2006-12-15,71.0,71.0,70.5,71.0,172600,-5745200
23,2006-12-18,71.0,72.0,71.0,72.0,4041300,-255210400
24,2006-12-19,72.0,73.0,71.5,72.0,569500,-9602250
25,2006-12-20,72.5,73.5,72.0,73.5,418900,-14338650
26,2006-12-21,72.0,74.5,72.0,74.5,201700,-3008600
27,2006-12-22,74.5,74.5,74.0,74.0,117700,966000
28,2006-12-27,74.0,74.5,74.0,74.0,105000,1619100
29,2006-12-28,74.0,75.0,74.0,75.0,160500,1087350
30,2006-12-29,74.5,77.5,74.5,77.5,385800,2231100
31,2006-11-02,74.5,74.5,74.0,74.0,181800,-9840500
32,2006-11-03,74.0,75.0,74.0,74.5,51100,-3045650
33,2006-11-06,74.5,74.5,74.5,74.5,266400,156450
34,2006-11-07,74.5,74.5,74.0,74.5,191800,-6660000
35,2006-11-08,74.0,74.0,73.5,74.0,543500,-38341000
36,2006-11-09,74.0,74.0,73.0,74.0,1297400,-4030200
37,2006-11-10,74.0,74.0,73.0,73.0,158500,-5897200
38,2006-11-13,73.0,73.5,72.5,73.5,232400,-9061350
39,2006-11-14,73.0,73.5,72.5,73.0,411000,-15884300
40,2006-11-15,73.0,73.5,72.5,73.5,222300,-2682350
41,2006-11-16,73.0,73.5,73.0,73.0,154400,-11199200
42,2006-11-17,73.5,73.5,72.5,73.0,102400,-4047250
43,2006-11-20,73.0,73.5,73.0,73.0,390400,-21478950
44,2006-11-21,73.0,73.0,72.0,72.5,945700,-39018000
45,2006-11-22,73.0,73.0,72.5,73.0,87600,-511500
46,2006-11-23,73.0,73.5,72.5,73.5,170900,-10387900
47,2006-11-24,73.5,74.5,73.5,74.0,327000,-19222300
48,2006-11-27,74.0,74.5,74.0,74.5,179600,-8465250
49,2006-11-28,74.0,74.5,73.0,74.0,229700,-14828600
50,2006-11-29,74.0,74.0,73.0,74.0,303600,-12649200
51,2006-11-30,74.0,74.0,73.5,74.0,220100,-9931200
52,2006-10-02,75.5,76.5,75.5,76.5,288000,-602400
53,2006-10-03,76.5,76.5,75.5,76.0,125600,-988950
54,2006-10-04,75.5,76.5,75.5,76.5,145400,-7787000
55,2006-10-05,76.0,77.5,76.0,77.5,101700,-1217250
56,2006-10-06,77.5,77.5,77.0,77.0,228600,-13670950
57,2006-10-09,76.5,76.5,76.0,76.5,206600,-13815900
58,2006-10-10,76.0,76.0,75.0,76.0,302000,-18388250
59,2006-10-11,75.5,75.5,74.0,75.0,487600,-35861600
60,2006-10-12,75.0,75.0,73.5,74.0,263800,-18982950
61,2006-10-13,74.5,76.5,74.5,76.5,216800,-6054150
62,2006-10-16,76.0,76.5,75.5,75.5,189600,-3200750
63,2006-10-17,75.5,75.5,73.5,74.0,238500,-16611000
64,2006-10-18,74.0,74.0,72.5,73.0,171800,-12230600
65,2006-10-19,73.0,73.5,73.0,73.5,277900,-18031750
66,2006-10-20,73.5,73.5,73.5,73.5,133000,-5556600
67,2006-10-23,73.5,73.5,73.5,73.5,108700,-5549250
68,2006-10-25,73.5,75.0,73.5,74.5,2112600,-33750200
69,2006-10-26,74.0,75.0,73.0,74.0,1048100,-43800150
70,2006-10-27,74.0,74.0,73.0,74.0,735800,-26501450
71,2006-10-30,73.5,74.5,73.5,74.5,507400,-36750000
72,2006-10-31,73.5,75.0,73.5,74.5,715800,4157900
73,2006-09-01,70.5,71.0,70.5,71.0,52500,-1406300
74,2006-09-04,70.5,71.0,70.5,70.5,132000,3626000
75,2006-09-05,71.0,71.0,71.0,71.0,118300,-1178600
76,2006-09-06,71.0,71.0,70.0,71.0,515000,-21707900
77,2006-09-07,71.0,71.5,71.0,71.0,69200,1362700
78,2006-09-08,71.0,71.0,70.5,71.0,324500,-22087200
79,2006-09-11,71.0,71.5,70.5,71.0,101000,-4013050
80,2006-09-12,71.0,71.0,70.5,71.0,72300,-1292200
81,2006-09-13,71.0,71.5,70.5,71.5,88500,-3297100
82,2006-09-14,71.5,71.5,70.0,71.0,190900,-11656100
83,2006-09-15,71.0,71.0,70.5,71.0,398800,-7158350
84,2006-09-18,70.5,72.0,70.5,72.0,175500,-9208400
85,2006-09-19,72.0,73.5,72.0,73.5,116500,-14700
86,2006-09-20,73.0,74.0,73.0,74.0,113200,3293850
87,2006-09-21,74.0,74.5,74.0,74.5,101900,-4323700
88,2006-09-22,74.5,75.0,74.5,74.5,281300,-7613900
89,2006-09-25,74.5,74.5,74.0,74.5,54900,-223500
90,2006-09-26,74.5,75.0,74.5,74.5,129400,-5229900
91,2006-09-27,74.5,76.0,74.5,76.0,165100,-1029750
92,2007-04-02,72.0,72.0,71.5,72.0,37000,1262800
93,2007-04-03,72.0,73.5,72.0,73.0,142000,-1490400
94,2007-04-04,73.0,74.0,73.0,73.5,144000,-154550
95,2007-04-10,73.5,73.5,72.5,73.0,227100,-8357750
96,2007-04-11,73.0,74.0,73.0,73.5,74100,-494800
97,2007-04-12,73.0,73.5,72.0,73.5,1067800,-74624150
98,2007-04-13,73.5,73.5,73.0,73.5,53500,1282000
99,2007-04-16,73.5,73.5,73.0,73.5,395100,-17828100
100,2007-04-17,73.5,74.0,73.5,74.0,111000,4190500
101,2007-04-18,74.0,74.0,73.5,73.5,220700,-6607650
102,2007-04-19,73.5,73.5,73.0,73.5,160900,-5727250
103,2007-04-20,73.5,73.5,73.0,73.5,60800,281800
104,2007-04-23,73.5,74.0,73.5,74.0,228100,-10152850
105,2007-04-24,73.5,73.5,73.0,73.5,202200,-7739250
106,2007-04-25,73.0,73.5,72.5,73.5,157000,-5309450
107,2007-04-26,73.5,73.5,73.0,73.5,161300,-4360800
108,2007-04-27,73.0,73.0,72.5,73.0,113200,-1197200
