,Date,Open,High,Low,Close,Volume,OtherData
0,2010-12-08,90.5,112.5,90.5,112.5,402920,0
1,2010-12-09,115.0,120.0,110.0,118.5,545070,-1699750
2,2010-12-10,110.0,117.0,110.0,115.0,132150,0
3,2010-12-13,115.5,118.0,115.0,115.5,168070,0
4,2010-12-14,115.0,115.5,114.5,115.0,81790,0
5,2010-12-15,114.5,115.0,110.0,110.0,293680,0
6,2010-12-16,110.0,110.0,105.0,109.0,85140,0
7,2010-12-17,105.0,105.0,96.0,98.0,72280,-485000
8,2010-12-20,98.0,106.0,90.0,95.5,193050,0
9,2010-12-21,101.0,103.0,95.0,97.5,63880,0
10,2010-12-22,95.0,99.0,95.0,95.0,9020,0
11,2010-12-23,91.0,94.9,90.0,90.0,220390,-3831300
12,2010-12-28,90.0,93.5,89.0,90.0,10260,-446870
13,2010-12-29,90.0,90.0,86.05,87.0,13200,0
14,2010-12-30,87.0,90.0,86.1,90.0,33150,0
15,2011-01-03,90.0,100.0,90.0,100.0,797190,-4759400
16,2011-01-04,100.0,100.0,93.0,95.0,12000,0
17,2011-01-05,92.0,92.0,91.0,91.0,6230,9200
18,2011-01-06,91.0,93.0,91.0,93.0,2090,0
19,2011-01-07,95.0,97.0,95.0,95.0,2150,0
20,2011-01-10,90.0,90.0,90.0,90.0,2780,0
21,2011-01-11,90.0,90.0,90.0,90.0,4260,0
22,2011-01-12,87.25,91.0,87.25,87.5,13010,0
23,2011-01-13,90.0,90.0,87.5,87.5,4680,9000
24,2011-01-14,90.0,90.0,87.5,88.0,9000,0
25,2011-01-17,89.0,89.0,87.0,89.0,49590,0
26,2011-01-18,88.5,88.5,88.0,88.0,220,0
27,2011-01-19,86.25,86.25,81.0,83.0,6520,0
28,2011-01-20,82.0,82.75,80.0,80.0,43570,0
29,2011-01-21,80.0,80.0,78.0,80.0,38130,0
30,2011-01-24,79.0,83.0,79.0,80.0,117650,0
31,2011-01-25,80.0,85.0,80.0,83.0,165850,0
32,2011-01-26,80.0,84.0,80.0,83.0,112120,0
33,2011-01-27,80.5,83.0,80.0,83.0,139070,-830000
34,2011-01-28,83.0,83.0,79.5,82.0,96780,0
35,2011-01-31,82.0,82.0,80.0,82.0,56940,0
36,2011-02-01,80.1,81.0,80.0,80.0,22100,0
37,2011-02-02,80.0,80.0,80.0,80.0,15630,0
38,2011-02-03,79.75,80.0,79.5,80.0,11180,0
39,2011-02-04,79.5,80.0,79.0,80.0,19640,0
40,2011-02-07,79.5,80.0,79.5,80.0,8720,0
41,2011-02-08,80.0,80.0,79.55,80.0,10210,0
42,2011-02-09,79.0,80.0,65.0,80.0,205810,151390
43,2011-02-10,79.9,80.0,78.0,80.0,23930,0
44,2011-02-11,79.5,80.0,78.5,80.0,10130,0
45,2011-02-14,77.1,80.0,77.1,80.0,10710,0
46,2011-02-15,77.3,80.0,77.3,80.0,29980,0
47,2011-02-16,77.5,79.9,77.5,79.9,11500,0
48,2011-02-17,80.0,80.0,79.5,80.0,27110,0
49,2011-02-18,80.0,80.0,79.5,79.5,3250,0
50,2011-02-21,79.95,80.0,79.5,80.0,5600,0
51,2011-02-22,80.0,80.0,80.0,80.0,200,16000
